target	capacity	lookups	hits	misses	coverage_vs_c4_hits	potential_physical_lookup_suppression	hits_over_baseline_physical_lookup_requests	replacements	stale_generation_mismatches	access_compatibility_mismatches	ppn_consistency_mismatches
T0	1	3090304	2722464	367840	1.000000000	2722464	0.128195187	24112	0	0	0
T0	2	3090304	2722464	367840	1.000000000	2722464	0.128195187	0	0	0	0
T0	4	3090304	2722464	367840	1.000000000	2722464	0.128195187	0	0	0	0
T1	1	7159808	6629952	529856	1.000000000	6629952	0.108811413	82368	0	0	0
T1	2	7159808	6629952	529856	1.000000000	6629952	0.108811413	0	0	0	0
T1	4	7159808	6629952	529856	1.000000000	6629952	0.108811413	0	0	0	0
T2	1	411008	132544	278464	1.000000000	132544	0.241337055	3648	0	0	0
T2	2	411008	132544	278464	1.000000000	132544	0.241337055	0	0	0	0
T2	4	411008	132544	278464	1.000000000	132544	0.241337055	0	0	0	0
SPLITKV	1	233814	218862	14952	1.000000000	218862	0.109576957	0	0	0	0
SPLITKV	2	233814	218862	14952	1.000000000	218862	0.109576957	0	0	0	0
SPLITKV	4	233814	218862	14952	1.000000000	218862	0.109576957	0	0	0	0
COMBINE	1	1099	1016	83	1.000000000	1016	0.110099697	0	0	0	0
COMBINE	2	1099	1016	83	1.000000000	1016	0.110099697	0	0	0	0
COMBINE	4	1099	1016	83	1.000000000	1016	0.110099697	0	0	0	0
A1	1	409024	116032	292992	1.000000000	116032	0.212525665	20160	0	0	0
A1	2	409024	116032	292992	1.000000000	116032	0.212525665	0	0	0	0
A1	4	409024	116032	292992	1.000000000	116032	0.212525665	0	0	0	0
A2	1	409024	116032	292992	1.000000000	116032	0.212545520	20160	0	0	0
A2	2	409024	116032	292992	1.000000000	116032	0.212545520	0	0	0	0
A2	4	409024	116032	292992	1.000000000	116032	0.212545520	0	0	0	0
