kind	identity	path_or_reference	sha256_or_commit	status
authority	coordination_head	git	b977494676f27493c4da0a802f8782319edb76f8	VERIFIED
authority	paper_qualification_parent	git	f4c5b942d39f8805529c09704b183ddc42eb4324	VERIFIED
authority	frozen_prel1_source	git	2bbbceabb5261777fe385289ecb6579791e0f232	UNCHANGED
authority	prel1_development	git	163a8572f9272891b8109f9158aa79ca88d9e153	READ_ONLY
authority	passive_observer	git	6441fe9f91266220a52587c0313fb767007b5d92	READ_ONLY
authority	observatory	git	b85d388abe98e5da70b749b52075c33fad7cede4	READ_ONLY
authority	A2_attribution	git	b8a4064cb1bbe832758acf9dceb1461844c1fe4e	READ_ONLY
source	coordination_and_goals	docs/vm_tlb/chatgpt_handoff/awma/post_novelty_reset_v1/COORDINATION_AND_GOALS.md	a1dd55fa8732852a802e3c9f1e89e239a0f27a954946615f6e006483a32d2789	READ_FULL
source	frozen_mechanism_patch	docs/vm_tlb/review_packs/AWMA_PREL1_TRANSLATION_REQUEST_COALESCING_DISCOVERY_AND_PROTOTYPE_V1/MECHANISM_CORE.patch	b37a616a92875aa43dacd91e2fda2047eca721f45b59f19e476a0a5456823e90	READ_FULL
source	passive_observer_patch	docs/vm_tlb/review_packs/AWMA_PASSIVE_TRANSLATION_RESULT_REUSE_OPPORTUNITY_V1/OBSERVER_CORE.patch	bd7b1862c0801aedb1302689b5a0a0f7bfbd1cefc7a25929cf627e2b550f0b5e	READ_FULL
evidence	frozen_all_targets	docs/vm_tlb/review_packs/AWMA_PREL1_COALESCER_PAPER_QUALIFICATION_V1/FROZEN_MECHANISM_ALL_TARGETS.tsv	294b514a2b6cc9d4148ca705fe987c121ee32dd777c9e3d7d2c5b25aa083bc86	READ_ONLY
evidence	A2_attribution_report	docs/vm_tlb/review_packs/AWMA_C1_A2_NONSHARING_REGRESSION_ATTRIBUTION_V1/ATTRIBUTION_REPORT.md	04b7060153cb7c0a4b415c341f8ad00061472971cbdd928dbd569035e1a84f69	READ_ONLY
literature	R1_full_text	/root/share/mnt164/huangrulin/awma_post_coalescing_research_hypotheses_v1/literature/R1_DCS_TR_703.pdf	54f1343f5a491a8ea84cd8a14d5d8e75f8974bb2497df6c075e6953031eb8d30	SCRATCH_NOT_COMMITTED
literature	R5_full_text	/root/share/mnt164/huangrulin/awma_post_coalescing_research_hypotheses_v1/literature/R5_MASK.pdf	552248a1fc03710458c379b7d1a8212ca82ef18a89f41887309c751bdc3477e4	SCRATCH_NOT_COMMITTED
literature	R6_full_text	/root/share/mnt164/huangrulin/awma_post_coalescing_research_hypotheses_v1/literature/R6_RPAWS.pdf	787bc563bde94913e8b8d315528142678d979c4f31c52851c7ceb0c321520eff	SCRATCH_NOT_COMMITTED
literature	R2_source	https://github.com/gem5/gem5/blob/56aca813700a6b107f2282f15af5e4d2cad0d0e2/src/arch/amdgpu/vega/tlb_coalescer.cc	56aca813700a6b107f2282f15af5e4d2cad0d0e2	KEY_FUNCTIONS_READ
literature	CAC_full_text	DOI:10.1145/3243176.3243203		FULL_TEXT_NOT_OBTAINED
literature	LATPC_full_text	DOI:10.1145/3725843.3756069		FULL_TEXT_NOT_OBTAINED
fixture	residual_event_model	util/vm_tlb/awma/post_coalescing/residual_event_model.py	571af073c8b63999c70405ddbbb8cadbc423c93bff64323af943db0371fd7b6d	14_TESTS_PASS
fixture	residual_event_tests	util/vm_tlb/awma/post_coalescing/test_residual_event_model.py	6c47882553d41e4173b9fd54403f01ac65afb47ec53d8aab648e4d1de8ada3e9	14_TESTS_PASS
fixture	review_pack_validator	util/vm_tlb/awma/post_coalescing/validate_review_pack.py	c82210f4f3abaf5622f4104ebe864436cc1dcde6ef9a0e948ca6d825f8331311	PASS
coordination	lane_b_handoff	refs/heads/hrl/awma-intrawarp-translation-baseline-residual-v1		REMOTE_BRANCH_NOT_PRESENT_AT_2026-09-26T02:30:12Z
