target	evidence_role	speedup_percent	response_sign
T0	DEVELOPMENT	5.390266264567263	POSITIVE
T1	DEVELOPMENT	2.758327550833431	POSITIVE
T2	DEVELOPMENT	-1.0260101634095768	NEGATIVE
SPLITKV	DEVELOPMENT	0.010822071615058913	POSITIVE
COMBINE	DEVELOPMENT	0.0	EXACT_ZERO
A1	DEVELOPMENT	-1.1321118442382343	NEGATIVE
A2	DEVELOPMENT	1.6975649543747555	POSITIVE
H1	ADDITIONAL_FROZEN_EVALUATION	0.24006537950761056	POSITIVE
H2	ADDITIONAL_FROZEN_EVALUATION	1.2033572656487006	POSITIVE
REDUCE	INDEPENDENT_HOLDOUT	0.0	EXACT_ZERO
