variant	registered_compare	waiter_metadata_bits	requirement	status	test_log_sha256
same_cycle_minimal	0	32	unique	PASS	66cd7e05838a6a6b7305c41c967fe3ade26538e745a45632d1194f7634b10fdb
same_cycle_minimal	0	32	inflight_exact_merge	PASS	66cd7e05838a6a6b7305c41c967fe3ade26538e745a45632d1194f7634b10fdb
same_cycle_minimal	0	32	different_vpn	PASS	66cd7e05838a6a6b7305c41c967fe3ade26538e745a45632d1194f7634b10fdb
same_cycle_minimal	0	32	asid_mismatch	PASS	66cd7e05838a6a6b7305c41c967fe3ade26538e745a45632d1194f7634b10fdb
same_cycle_minimal	0	32	generation_mismatch	PASS	66cd7e05838a6a6b7305c41c967fe3ade26538e745a45632d1194f7634b10fdb
same_cycle_minimal	0	32	access_mismatch	PASS	66cd7e05838a6a6b7305c41c967fe3ade26538e745a45632d1194f7634b10fdb
same_cycle_minimal	0	32	two_entry_full	PASS	66cd7e05838a6a6b7305c41c967fe3ade26538e745a45632d1194f7634b10fdb
same_cycle_minimal	0	32	thirty_two_waiter_full	PASS	66cd7e05838a6a6b7305c41c967fe3ade26538e745a45632d1194f7634b10fdb
same_cycle_minimal	0	32	completion_and_drain	PASS	66cd7e05838a6a6b7305c41c967fe3ade26538e745a45632d1194f7634b10fdb
same_cycle_minimal	0	32	entry_reuse	PASS	66cd7e05838a6a6b7305c41c967fe3ade26538e745a45632d1194f7634b10fdb
same_cycle_minimal	0	32	no_duplicate_follower_completion	PASS	66cd7e05838a6a6b7305c41c967fe3ade26538e745a45632d1194f7634b10fdb
same_cycle_minimal	0	32	concurrent_completion_exact_request	PASS	66cd7e05838a6a6b7305c41c967fe3ade26538e745a45632d1194f7634b10fdb
registered_minimal	1	32	unique	PASS	c0fa4c6f0eeb2d119aa8e7e110fa2752d24bfa6afb10bc4db7361ba6aef3d7d2
registered_minimal	1	32	inflight_exact_merge	PASS	c0fa4c6f0eeb2d119aa8e7e110fa2752d24bfa6afb10bc4db7361ba6aef3d7d2
registered_minimal	1	32	different_vpn	PASS	c0fa4c6f0eeb2d119aa8e7e110fa2752d24bfa6afb10bc4db7361ba6aef3d7d2
registered_minimal	1	32	asid_mismatch	PASS	c0fa4c6f0eeb2d119aa8e7e110fa2752d24bfa6afb10bc4db7361ba6aef3d7d2
registered_minimal	1	32	generation_mismatch	PASS	c0fa4c6f0eeb2d119aa8e7e110fa2752d24bfa6afb10bc4db7361ba6aef3d7d2
registered_minimal	1	32	access_mismatch	PASS	c0fa4c6f0eeb2d119aa8e7e110fa2752d24bfa6afb10bc4db7361ba6aef3d7d2
registered_minimal	1	32	two_entry_full	PASS	c0fa4c6f0eeb2d119aa8e7e110fa2752d24bfa6afb10bc4db7361ba6aef3d7d2
