target	evidence_role	family	l1_suppression_fraction	l2_suppression	mshr_merge_reduction	S_L1	S_ALL	translation_not_ready_delta	scheduler_dependency_delta	icnt_to_l2_mean_delta	dram_queue_mean_delta	speedup_percent	response_sign	head_block_cycles
T0	DEVELOPMENT	FLASH	0.8809030068201704	58682	9817	0.060098959	0.153469623	-86910.0	-13219.0	-0.1576749409999998	0.39838291800000025	5.390266264567263	POSITIVE	0
T1	DEVELOPMENT	GEMM	0.9259243245896966	111124	8868	0.001497442	-0.074848078	-1765866.0	-113907.0	-0.5986545540000003	0.007616568999999962	2.758327550833431	POSITIVE	0
T2	DEVELOPMENT	GEMV	0.32299686462604665	1109	657	0.103567937	0.100624201	110878.0	-365260.0	-10.205403085	-6.837567839000002	-1.0260101634095768	NEGATIVE	0
SPLITKV	DEVELOPMENT	FLASH	0.935711691010619	5568	2664	NA	NA	NA	NA	NA	NA	0.010822071615058913	POSITIVE	0
COMBINE	DEVELOPMENT	FLASH	0.9236172080772608	36	36	NA	NA	NA	NA	NA	NA	0.0	EXACT_ZERO	0
A1	DEVELOPMENT	GEMV	0.2838608552984951	226	234	NA	NA	-203571.0	366262.0	0.5300768920000003	-0.6870510890000006	-1.1321118442382343	NEGATIVE	0
A2	DEVELOPMENT	GEMV	0.2837783062865961	226	186	NA	NA	13486.0	-2041906.0	1.0663605979999993	1.1086440989999993	1.6975649543747555	POSITIVE	0
H1	ADDITIONAL_FROZEN_EVALUATION	GEMV	0.4911966170065575	321	236	NA	NA	NA	NA	NA	NA	0.24006537950761056	POSITIVE	0
H2	ADDITIONAL_FROZEN_EVALUATION	GEMV	0.4912014030985092	321	236	NA	NA	NA	NA	NA	NA	1.2033572656487006	POSITIVE	0
REDUCE	INDEPENDENT_HOLDOUT	REDUCE	0.9230769230769231	15	15	NA	NA	NA	NA	NA	NA	0.0	EXACT_ZERO	0
