target	capacity_per_sid	lookups	merge_opportunities	same_cycle_merges	inflight_merges	full_events	occupancy_hwm	waiter_hwm	l2_probe_overlap	existing_mshr_overlap	equal_to_8_entry	occupancy_histogram_0_to_capacity
T0	1	3101682	2524367	0	2524367	98784	1	15	56174	9375	False	0,3101682
T0	2	3101682	2598969	0	2598969	0	2	15	58715	9972	True	0,3002326,99356
T0	4	3101682	2598969	0	2598969	0	2	15	58715	9972	True	0,3002326,99356,0,0
T0	8	3101682	2598969	0	2598969	0	2	15	58715	9972	True	0,3002326,99356,0,0,0,0,0,0
T1	1	7169938	5974918	0	5974918	306719	1	15	107323	8831	False	0,7169938
T1	2	7169938	6236244	0	6236244	0	2	15	111202	9150	True	0,6862958,306980
T1	4	7169938	6236244	0	6236244	0	2	15	111202	9150	True	0,6862958,306980,0,0
T1	8	7169938	6236244	0	6236244	0	2	15	111202	9150	True	0,6862958,306980,0,0,0,0,0,0
T2	1	412391	133168	0	133168	3660	1	1	1079	624	True	0,412391
T2	2	412391	133168	0	133168	0	2	1	1079	624	True	0,408717,3674
T2	4	412391	133168	0	133168	0	2	1	1079	624	True	0,408717,3674,0,0
T2	8	412391	133168	0	133168	0	2	1	1079	624	True	0,408717,3674,0,0,0,0,0,0
SPLITKV	1	236746	207294	0	207294	0	1	15	5568	2671	True	0,236746
SPLITKV	2	236746	207294	0	207294	0	1	15	5568	2671	True	0,236746,0
SPLITKV	4	236746	207294	0	207294	0	1	15	5568	2671	True	0,236746,0,0,0
SPLITKV	8	236746	207294	0	207294	0	1	15	5568	2671	True	0,236746,0,0,0,0,0,0,0
COMBINE	1	1139	989	0	989	0	1	15	36	36	True	0,1139
COMBINE	2	1139	989	0	989	0	1	15	36	36	True	0,1139,0
COMBINE	4	1139	989	0	989	0	1	15	36	36	True	0,1139,0,0,0
COMBINE	8	1139	989	0	989	0	1	15	36	36	True	0,1139,0,0,0,0,0,0,0
A1	1	409588	116219	0	116219	20190	1	1	226	187	True	0,409588
A1	2	409588	116219	0	116219	0	2	1	226	187	True	0,389369,20219
A1	4	409588	116219	0	116219	0	2	1	226	187	True	0,389369,20219,0,0
A1	8	409588	116219	0	116219	0	2	1	226	187	True	0,389369,20219,0,0,0,0,0,0
A2	1	409538	116218	0	116218	20190	1	1	226	186	True	0,409538
A2	2	409538	116218	0	116218	0	2	1	226	186	True	0,389322,20216
A2	4	409538	116218	0	116218	0	2	1	226	186	True	0,389322,20216,0,0
A2	8	409538	116218	0	116218	0	2	1	226	186	True	0,389322,20216,0,0,0,0,0,0
