vpn64k	lane_address_events	cta_count	warp_count
0	18694144	224	896
ff	6483456	224	896
7cad54ba	59392	16	64
7cad54be	59392	16	64
7cad54c2	59392	16	64
7cad54c6	59392	16	64
7cad54ca	59392	16	64
7cad54ce	59392	16	64
7cad54d2	59392	16	64
7cad54d6	59392	16	64
7cad54da	59392	16	64
7cad54de	59392	16	64
7cad54e2	59392	16	64
7cad54e6	59392	16	64
7cad54ea	59392	16	64
7cad54ee	59392	16	64
7cb92600	59392	16	64
7cb92604	59392	16	64
7cb92608	59392	16	64
7cb9260c	59392	16	64
7cb92610	59392	16	64
7cb92614	59392	16	64
7cb92618	59392	16	64
7cb9261c	59392	16	64
7cb92620	59392	16	64
7cb92624	59392	16	64
7cb92628	59392	16	64
7cb9262c	59392	16	64
7cb92630	59392	16	64
7cb92634	59392	16	64
7cad54bb	43008	12	48
7cad54bf	43008	12	48
7cad54c3	43008	12	48
7cad54c7	43008	12	48
7cad54cb	43008	12	48
7cad54cf	43008	12	48
7cad54d3	43008	12	48
7cad54d7	43008	12	48
7cad54db	43008	12	48
7cad54df	43008	12	48
7cad54e3	43008	12	48
7cad54e7	43008	12	48
7cad54eb	43008	12	48
7cad54ef	43008	12	48
7cb92601	43008	12	48
7cb92605	43008	12	48
7cb92609	43008	12	48
7cb9260d	43008	12	48
7cb92611	43008	12	48
7cb92615	43008	12	48
7cb92619	43008	12	48
7cb9261d	43008	12	48
7cb92621	43008	12	48
7cb92625	43008	12	48
7cb92629	43008	12	48
7cb9262d	43008	12	48
7cb92631	43008	12	48
7cb92635	43008	12	48
7cad54bc	26624	8	32
7cad54c0	26624	8	32
7cad54c4	26624	8	32
7cad54c8	26624	8	32
7cad54cc	26624	8	32
7cad54d0	26624	8	32
7cad54d4	26624	8	32
7cad54d8	26624	8	32
7cad54dc	26624	8	32
7cad54e0	26624	8	32
7cad54e4	26624	8	32
7cad54e8	26624	8	32
7cad54ec	26624	8	32
7cad54f0	26624	8	32
7cb92602	26624	8	32
7cb92606	26624	8	32
7cb9260a	26624	8	32
7cb9260e	26624	8	32
7cb92612	26624	8	32
7cb92616	26624	8	32
7cb9261a	26624	8	32
7cb9261e	26624	8	32
7cb92622	26624	8	32
7cb92626	26624	8	32
7cb9262a	26624	8	32
7cb9262e	26624	8	32
7cb92632	26624	8	32
7cb92636	26624	8	32
7cad5d5e	16384	128	512
7cad5d5f	12288	96	384
7cad54bd	10240	4	16
7cad54c1	10240	4	16
7cad54c5	10240	4	16
7cad54c9	10240	4	16
7cad54cd	10240	4	16
7cad54d1	10240	4	16
7cad54d5	10240	4	16
7cad54d9	10240	4	16
7cad54dd	10240	4	16
7cad54e1	10240	4	16
7cad54e5	10240	4	16
7cad54e9	10240	4	16
7cad54ed	10240	4	16
7cad54f1	10240	4	16
7cb92603	10240	4	16
7cb92607	10240	4	16
7cb9260b	10240	4	16
7cb9260f	10240	4	16
7cb92613	10240	4	16
7cb92617	10240	4	16
7cb9261b	10240	4	16
