row	awma_stream_sm_raw
P34_10_80_STREAM_CONTROL	sid=0 cta_assignments=4 distinct_cta_slots=2 global_accesses=14926 local_accesses=6448 param_local_accesses=0 cta_logical_sequence=27,62,143,170
P34_10_80_STREAM_CONTROL	sid=1 cta_assignments=6 distinct_cta_slots=2 global_accesses=18815 local_accesses=7992 param_local_accesses=0 cta_logical_sequence=28,63,151,178,207,218
P34_10_80_STREAM_CONTROL	sid=2 cta_assignments=6 distinct_cta_slots=2 global_accesses=14450 local_accesses=5968 param_local_accesses=0 cta_logical_sequence=29,64,73,134,152,200
P34_10_80_STREAM_CONTROL	sid=3 cta_assignments=5 distinct_cta_slots=2 global_accesses=13175 local_accesses=5480 param_local_accesses=0 cta_logical_sequence=30,65,79,166,197
P34_10_80_STREAM_CONTROL	sid=4 cta_assignments=7 distinct_cta_slots=2 global_accesses=17282 local_accesses=7144 param_local_accesses=0 cta_logical_sequence=31,66,84,115,149,174,202
P34_10_80_STREAM_CONTROL	sid=5 cta_assignments=7 distinct_cta_slots=2 global_accesses=14472 local_accesses=5840 param_local_accesses=0 cta_logical_sequence=32,67,70,85,114,127,139
P34_10_80_STREAM_CONTROL	sid=6 cta_assignments=6 distinct_cta_slots=2 global_accesses=15735 local_accesses=6552 param_local_accesses=0 cta_logical_sequence=33,68,77,91,183,189
P34_10_80_STREAM_CONTROL	sid=7 cta_assignments=8 distinct_cta_slots=2 global_accesses=15774 local_accesses=6312 param_local_accesses=0 cta_logical_sequence=34,69,80,90,98,120,172,198
P34_10_80_STREAM_CONTROL	sid=8 cta_assignments=8 distinct_cta_slots=2 global_accesses=14237 local_accesses=5592 param_local_accesses=0 cta_logical_sequence=0,35,72,87,129,141,148,195
P34_10_80_STREAM_CONTROL	sid=9 cta_assignments=6 distinct_cta_slots=2 global_accesses=18054 local_accesses=7632 param_local_accesses=0 cta_logical_sequence=1,36,78,93,191,203
P34_10_80_STREAM_CONTROL	sid=10 cta_assignments=7 distinct_cta_slots=2 global_accesses=14766 local_accesses=5944 param_local_accesses=0 cta_logical_sequence=2,37,83,99,108,126,212
P34_10_80_STREAM_CONTROL	sid=11 cta_assignments=6 distinct_cta_slots=2 global_accesses=16004 local_accesses=6672 param_local_accesses=0 cta_logical_sequence=3,38,88,105,156,188
P34_10_80_STREAM_CONTROL	sid=12 cta_assignments=5 distinct_cta_slots=2 global_accesses=16773 local_accesses=7160 param_local_accesses=0 cta_logical_sequence=4,39,95,110,223
P34_10_80_STREAM_CONTROL	sid=13 cta_assignments=7 distinct_cta_slots=2 global_accesses=14735 local_accesses=5944 param_local_accesses=0 cta_logical_sequence=5,40,101,118,147,182,186
P34_10_80_STREAM_CONTROL	sid=14 cta_assignments=5 distinct_cta_slots=2 global_accesses=13435 local_accesses=5600 param_local_accesses=0 cta_logical_sequence=6,41,106,125,196
