row	space	dynamic_insts	active_lanes	generated_accesses	unique_uids	bytes	tx32	tx64	tx128	loads	stores	atomics
P34_10_80_STREAM_CONTROL	GLOBAL	139776	4386816	549754	549754	17592128	549754	0	0	517498	32256	0
P34_10_80_STREAM_CONTROL	LOCAL	203952	6483456	226912	226912	7261184	226912	0	0	164304	62608	0
P34_10_80_STREAM_CONTROL	PARAM_LOCAL	0	0	0	0	0	0	0	0	0	0	0
P34_5_80_STREAM	GLOBAL	139776	4386816	551798	551798	17657536	551798	0	0	519542	32256	0
P34_5_80_STREAM	LOCAL	203952	6483456	226912	226912	7261184	226912	0	0	164304	62608	0
P34_5_80_STREAM	PARAM_LOCAL	0	0	0	0	0	0	0	0	0	0	0
P34_0_80_STREAM	GLOBAL	139776	4386816	637816	637816	20410112	637816	0	0	605558	32258	0
P34_0_80_STREAM	LOCAL	203952	6483456	226912	226912	7261184	226912	0	0	164304	62608	0
P34_0_80_STREAM	PARAM_LOCAL	0	0	0	0	0	0	0	0	0	0	0
P34_0_0_STREAM	GLOBAL	139776	4386816	644990	644990	20639680	644990	0	0	612725	32265	0
P34_0_0_STREAM	LOCAL	203952	6483456	226912	226912	7261184	226912	0	0	164304	62608	0
P34_0_0_STREAM	PARAM_LOCAL	0	0	0	0	0	0	0	0	0	0	0
P8_10_80_STREAM_CONTROL	GLOBAL	139776	4386816	550452	550452	17614464	550452	0	0	518196	32256	0
P8_10_80_STREAM_CONTROL	LOCAL	203952	6483456	226912	226912	7261184	226912	0	0	164304	62608	0
P8_10_80_STREAM_CONTROL	PARAM_LOCAL	0	0	0	0	0	0	0	0	0	0	0
P8_0_80_STREAM	GLOBAL	139776	4386816	630676	630676	20181632	630676	0	0	598419	32257	0
P8_0_80_STREAM	LOCAL	203952	6483456	226912	226912	7261184	226912	0	0	164304	62608	0
P8_0_80_STREAM	PARAM_LOCAL	0	0	0	0	0	0	0	0	0	0	0
