phase	normalized_kernel_family	exact_implementation	grid	block	launch_count	accumulated_gpu_duration_ns	gpu_time_share	decode_step_count	launches_per_decode_step_min	launches_per_decode_step_max	launches_per_decode_step_mean	recurrence_stable	s2_catalog_join
AUXILIARY	AT_NATIVE_REDUCE	void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::Half, at::native::ArgMaxOps<float>, unsigned int, long, (int)4>>(T3)	1,19,1	512,1,1	33	182272	0.0005735526217617033						NEW_OR_RESTRATIFIED
DECODE	AT_NATIVE_ELEMENTWISE	void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)	1,1,1	64,1,1	32	25792	8.115930708215113e-05	32	1	1	1.0	True	MATCH
DECODE	AT_NATIVE_ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	4,1,1	128,1,1	1568	1973446	0.006209813505119527	32	49	49	49.0	True	MATCH
DECODE	AT_NATIVE_ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	1,1,1	128,1,1	1536	1785634	0.005618828246833509	32	48	48	48.0	True	MATCH
DECODE	AT_NATIVE_ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	2,1,1	128,1,1	1536	2555780	0.008042235338648427	32	48	48	48.0	True	MATCH
DECODE	AT_NATIVE_ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	14338,1,1	128,1,1	48	1067682	0.0033596592472117433	1	48	48	48.0	True	NEW_OR_RESTRATIFIED
DECODE	AT_NATIVE_ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	14340,1,1	128,1,1	48	1072420	0.0033745682421309135	1	48	48	48.0	True	NEW_OR_RESTRATIFIED
DECODE	AT_NATIVE_ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	14342,1,1	128,1,1	48	1072096	0.0033735487160959175	1	48	48	48.0	True	NEW_OR_RESTRATIFIED
DECODE	AT_NATIVE_ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	14343,1,1	128,1,1	48	1073152	0.003376871615765534	1	48	48	48.0	True	NEW_OR_RESTRATIFIED
DECODE	AT_NATIVE_ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	14345,1,1	128,1,1	48	1073024	0.0033764688400480048	1	48	48	48.0	True	NEW_OR_RESTRATIFIED
DECODE	AT_NATIVE_ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	14347,1,1	128,1,1	48	950560	0.0029911131723018604	1	48	48	48.0	True	NEW_OR_RESTRATIFIED
DECODE	AT_NATIVE_ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	14349,1,1	128,1,1	48	950945	0.0029923246461397413	1	48	48	48.0	True	NEW_OR_RESTRATIFIED
DECODE	AT_NATIVE_ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	14350,1,1	128,1,1	48	952389	0.0029968684597031186	1	48	48	48.0	True	NEW_OR_RESTRATIFIED
DECODE	AT_NATIVE_ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	14352,1,1	128,1,1	48	951364	0.002993643107277591	1	48	48	48.0	True	NEW_OR_RESTRATIFIED
DECODE	AT_NATIVE_ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	14354,1,1	128,1,1	48	951552	0.0029942346841127124	1	48	48	48.0	True	NEW_OR_RESTRATIFIED
DECODE	AT_NATIVE_ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	14356,1,1	128,1,1	48	951265	0.0029933315854335646	1	48	48	48.0	True	NEW_OR_RESTRATIFIED
