candidate_id	candidate_type	phase	family	implementation_family_key	scenario_mass_ns	total_native_mass_ns	max_scenario_share	actual_target_count	selected	selection_reason
EXT_EXACT_a01c2b11d255	EXACT_SHAPE_EXTENSION	PREFILL	CUBLAS_GEMM	EXACT_SHA256_6772506365e233da090e0ec1971f29a2a97bb416727f6cee57157daa8f9f1462	B4:36828986;T8192:36834608	73663594	0.11936160776649773	1	YES	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_237af3de300d	EXACT_SHAPE_EXTENSION	PREFILL	CUBLAS_GEMM	CUTLASS_F16_GEMM_256X128_32X3_TN_ALIGN8	B4:24483238;T8192:24471716	48954954	0.07934941925932505	1	YES	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_002cdb044939	EXACT_SHAPE_EXTENSION	PREFILL	PYTORCH_FLASH_FWD	FLASH_FWD	T8192:37437222	37437222	0.11780315588557166	1	YES	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_b9e960de7c28	EXACT_SHAPE_EXTENSION	PREFILL	CUBLAS_GEMM	EXACT_SHA256_8530e1eefcc894c7e7a5fc850f51ffdce69371602db40ea0cca0c9242443f1f5	B4:18267771;T8192:18263298	36531069	0.059205282406368784	1	YES	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_TRJ_c23e188c1e40	CONTEXT_SHAPE_TRAJECTORY	DECODE	AT_NATIVE_ELEMENTWISE	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	B4:31434347	31434347	0.10187774914601191	3	YES	SOURCE_MONOTONIC_GRID_RECURRENCE_48
EXT_TRJ_874f0472206c	CONTEXT_SHAPE_TRAJECTORY	DECODE	AT_NATIVE_ELEMENTWISE	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	T8192:31077217	31077217	0.0977902216874088	3	YES	SOURCE_MONOTONIC_GRID_RECURRENCE_48
EXT_TRJ_f72c35c4785d	HORIZON_SHAPE_CONTINUATION	DECODE	AT_NATIVE_ELEMENTWISE	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	D128:28654328	28654328	0.057630455009377746	3	YES	SOURCE_MONOTONIC_GRID_RECURRENCE_48
EXT_EXACT_73cbec7be9f1	EXACT_SHAPE_EXTENSION	DECODE	PYTORCH_FLASH_FWD	FLASH_FWD_SPLITKV	B4:28056212	28056212	0.09092931779760939	1	YES	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_954048933e32	EXACT_SHAPE_EXTENSION	DECODE	CUBLAS_GEMM	EXACT_SHA256_b222ed3c50b83fc08d44b95f8e2b6efab304392da9252c918dd6edf51446b02a	B4:23128106	23128106	0.0749574782415672	1	YES	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_b32af2ffd236	EXACT_SHAPE_EXTENSION	PREFILL	AT_NATIVE_VECTORIZED_ELEMENTWISE	EXACT_SHA256_e88663be9a32f280a8174eef80811f6610d41523e6f08d34561f29442abd05c4	B4:9365871;T8192:9377218	18743089	0.03035449905391411	1	YES	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_941ea37d7171	EXACT_SHAPE_EXTENSION	DECODE	CUBLAS_GEMM	EXACT_SHA256_b222ed3c50b83fc08d44b95f8e2b6efab304392da9252c918dd6edf51446b02a	B4:14731543	14731543	0.04774447652078435	1	YES	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_871d8b36578c	EXACT_SHAPE_EXTENSION	DECODE	CUBLAS_GEMM	EXACT_SHA256_b222ed3c50b83fc08d44b95f8e2b6efab304392da9252c918dd6edf51446b02a	B4:12715729	12715729	0.041211285517420454	1	YES	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_d24393dd9bd1	EXACT_SHAPE_EXTENSION	PREFILL	AT_NATIVE_VECTORIZED_ELEMENTWISE	EXACT_SHA256_0c13d038c2620873928ae5a36dd84e84b24a70287e3637f75bc0f3ed71c8a4d1	B4:5796680;T8192:5795192	11591872	0.018786861101956542	1	YES	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_44d57d3e244c	EXACT_SHAPE_EXTENSION	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	EXACT_SHA256_3d29b9d568dac897004721d1cb9b00837e19e4db53054e85678fd4b8a9ca1e47	B4:1433793;D128:5662123;T256:1560994;T8192:1414432	10071342	0.013787390258774766	1	YES	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_d01bca44e9a3	EXACT_SHAPE_EXTENSION	PREFILL	PYTORCH_FLASH_FWD	FLASH_FWD	B4:9882478	9882478	0.032028806408002736	1	YES	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_dbce3f018c9a	EXACT_SHAPE_EXTENSION	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	EXACT_SHA256_5711aa9db8c527013d97f362d04044929dca517a8e05fc11bfa622179d9a60ed	B4:1406849;D128:5546159;T256:1517057;T8192:1387169	9857234	0.013399319218271222	1	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_b262054021c2	EXACT_SHAPE_EXTENSION	DECODE	CUBLAS_GEMM	EXACT_SHA256_b222ed3c50b83fc08d44b95f8e2b6efab304392da9252c918dd6edf51446b02a	B4:8820683	8820683	0.0285875615603051	1	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_4f420de48de8	EXACT_SHAPE_EXTENSION	DECODE	CUBLAS_GEMM	EXACT_SHA256_944c439ce7856ba1b82bb05e2ec1be30aae379d26ccb629052dc6da785b6e013	B4:8819404	8819404	0.028583416360751318	1	YES	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_b75d31eb95cd	EXACT_SHAPE_EXTENSION	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	EXACT_SHA256_6d15560c6de4c556736b71012a902ff283d9e88f8b16006697b7b9723dae7877	D128:5576621;T256:1556323;T8192:1399234	8532178	0.013746133918328397	1	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_2ac8c67f9804	EXACT_SHAPE_EXTENSION	PREFILL	CUBLAS_GEMM	EXACT_SHA256_6772506365e233da090e0ec1971f29a2a97bb416727f6cee57157daa8f9f1462	B4:3563878;T8192:3580513	7144391	0.011550418682818213	1	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_4ae956cd560d	EXACT_SHAPE_EXTENSION	PREFILL	CUBLAS_GEMM	EXACT_SHA256_ddf4121b5073a646d5c26175c07a8db0df30b54cd0e9e17e3393e3fadcc2d348	B4:3556454;T8192:3555777	7112231	0.011526357727785173	1	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_d146525bae6d	EXACT_SHAPE_EXTENSION	DECODE	AT_NATIVE_ELEMENTWISE	EXACT_SHA256_3152a5cb6f7e1e6677da5888d1fefa8b3ca559fddf1fb0c4617d0cb56def4477	B4:5568290	5568290	0.018046656155836376	1	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_07c56f6ca0ef	EXACT_SHAPE_EXTENSION	DECODE	PYTORCH_FLASH_FWD	FLASH_FWD_SPLITKV	T256:5489477	5489477	0.0484854917543361	1	YES	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_ea19b4a6cdf4	EXACT_SHAPE_EXTENSION	PREFILL	AT_NATIVE_ELEMENTWISE	EXACT_SHA256_3152a5cb6f7e1e6677da5888d1fefa8b3ca559fddf1fb0c4617d0cb56def4477	B4:2551973;T8192:2591840	5143813	0.008270865786440401	1	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_606446979381	EXACT_SHAPE_EXTENSION	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	EXACT_SHA256_0c13d038c2620873928ae5a36dd84e84b24a70287e3637f75bc0f3ed71c8a4d1	D128:3205829;T256:886529;T8192:800769	4893127	0.007830216707252771	1	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_a3d8160717b2	EXACT_SHAPE_EXTENSION	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	EXACT_SHA256_2cd3f805e75b60f437e0ecf47f1945becd532a081eeb10bb36e7cc262e6f7e26	B4:680704;D128:2745510;T256:749409;T8192:681120	4856743	0.006619112146771953	1	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_d1d3cb6464f0	EXACT_SHAPE_EXTENSION	PREFILL	AT_NATIVE_VECTORIZED_ELEMENTWISE	EXACT_SHA256_2cd3f805e75b60f437e0ecf47f1945becd532a081eeb10bb36e7cc262e6f7e26	B4:2399333;T8192:2380808	4780141	0.007776164254080042	1	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_10de23d94326	EXACT_SHAPE_EXTENSION	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	EXACT_SHA256_e88663be9a32f280a8174eef80811f6610d41523e6f08d34561f29442abd05c4	D128:2781413;T256:769472;T8192:697025	4247910	0.006796317447216284	1	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_1cdb63d06ad9	EXACT_SHAPE_EXTENSION	DECODE	AT_NATIVE_REDUCE	EXACT_SHA256_d1934c1198203f32a8446aa6060a5371f039492e919c517e67a0ff56e061d5c8	B4:3738690	3738690	0.01211697898336184	1	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_93a82c892eea	EXACT_SHAPE_EXTENSION	PREFILL	AT_NATIVE_VECTORIZED_ELEMENTWISE	EXACT_SHA256_6d15560c6de4c556736b71012a902ff283d9e88f8b16006697b7b9723dae7877	B4:1671940;T8192:1688643	3360583	0.005418705974938279	1	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_TRJ_305523e4b3a4	CONTEXT_SHAPE_TRAJECTORY	DECODE	AT_NATIVE_ELEMENTWISE	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	T256:3356867	3356867	0.0296493358563854	3	YES	SOURCE_MONOTONIC_GRID_RECURRENCE_48
EXT_EXACT_aa0dc0c5b077	EXACT_SHAPE_EXTENSION	DECODE	AT_NATIVE_UNROLLED_ELEMENTWISE	EXACT_SHA256_26d2f4f0b5d9d5b83d006b5e996d302bc2540a6b46e756e9c77b55f1b382e8bb	B4:3160195	3160195	0.010242094529989159	1	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_4bd67c6939c6	EXACT_SHAPE_EXTENSION	PREFILL	COPY_KERNEL	EXACT_SHA256_e593dab8aec90bd69f8465eb6a67ce3b4db21258884d7c33fec094f870a90650	B4:1230273;D128:405217;T256:154912;T8192:1233376	3023778	0.003987276849591039	1	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_97dfaa28b7df	EXACT_SHAPE_EXTENSION	DECODE	AT_NATIVE_UNROLLED_ELEMENTWISE	EXACT_SHA256_3702ca85440b806203a31d138d80432ce866ff4ba454c09654edbe7c32daf526	B4:2937476	2937476	0.009520269119967102	1	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_15263a40e4f9	EXACT_SHAPE_EXTENSION	PREFILL	CUBLAS_GEMM	EXACT_SHA256_c6fed542427f8d1a626db048ac76e10f1ff72cb0e122b4ddce331b01f52dfdc3	B4:1362497;T8192:1363168	2725665	0.004415810755610537	1	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_5032995adab9	EXACT_SHAPE_EXTENSION	PREFILL	AT_NATIVE_ELEMENTWISE	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	B4:1415394;T8192:1243586	2658980	0.004587248301190109	1	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_4ae4375de9b2	EXACT_SHAPE_EXTENSION	PREFILL	AT_NATIVE_UNROLLED_ELEMENTWISE	EXACT_SHA256_3702ca85440b806203a31d138d80432ce866ff4ba454c09654edbe7c32daf526	B4:1222720;T8192:1216609	2439329	0.003962797809536546	1	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_0bc7553ecf19	EXACT_SHAPE_EXTENSION	PREFILL	AT_NATIVE_ELEMENTWISE	EXACT_SHA256_91297a911e5ce0bc544f9f1e69b7e03db76a50894146196e6db519747eea57d6	B4:1142113;T8192:1142048	2284161	0.0037015530085736824	1	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_c2d7a364b51e	EXACT_SHAPE_EXTENSION	PREFILL	AT_NATIVE_UNROLLED_ELEMENTWISE	EXACT_SHA256_26d2f4f0b5d9d5b83d006b5e996d302bc2540a6b46e756e9c77b55f1b382e8bb	B4:1134722;T8192:1135296	2270018	0.003677599005522874	1	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_f52d02dbd04b	EXACT_SHAPE_EXTENSION	DECODE	AT_NATIVE_ELEMENTWISE	EXACT_SHA256_91297a911e5ce0bc544f9f1e69b7e03db76a50894146196e6db519747eea57d6	B4:2088262	2088262	0.006767992736962188	1	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_12d521b7becb	EXACT_SHAPE_EXTENSION	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	EXACT_SHA256_2cd3f805e75b60f437e0ecf47f1945becd532a081eeb10bb36e7cc262e6f7e26	B4:2074787	2074787	0.0067243206775507896	1	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_fdd5d6873444	EXACT_SHAPE_EXTENSION	DECODE	PYTORCH_FLASH_FWD	FLASH_FWD_SPLITKV_COMBINE	B4:1599106	1599106	0.005182653227244789	1	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_f02063971e11	EXACT_SHAPE_EXTENSION	PREFILL	AT_NATIVE_ELEMENTWISE	EXACT_SHA256_8aa3a46aafcd3bec14540f327e0544e4b2dca8d0f1ff0980a31a7beb6a88c7d6	B4:767426;T8192:723104	1490530	0.0024872039974658086	1	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_364babb43818	EXACT_SHAPE_EXTENSION	DECODE	PYTORCH_FLASH_FWD	FLASH_FWD_SPLITKV_COMBINE	T256:1418563	1418563	0.0125293765944381	1	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
