phase_class	phase	decode_step	assignment_method	launch_count	accumulated_gpu_duration_ns	gpu_time_share_all_launches	launch_count_share_all_launches
PREFILL	PREFILL		CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	980	32229639	0.20809841182910996	0.028260806874873836
DECODE	DECODE	1	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3959814	0.025567490983646305	0.030337111053435995
DECODE	DECODE	28	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3852937	0.024877413941174317	0.030337111053435995
DECODE	DECODE	22	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3852009	0.024871422086094046	0.030337111053435995
DECODE	DECODE	26	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3851140	0.024865811178696684	0.030337111053435995
DECODE	DECODE	24	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3849831	0.0248573593055285	0.030337111053435995
DECODE	DECODE	20	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3849225	0.024853446520853237	0.030337111053435995
DECODE	DECODE	18	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3848972	0.024851812965535017	0.030337111053435995
DECODE	DECODE	25	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3848838	0.024850947762322995	0.030337111053435995
DECODE	DECODE	23	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3848584	0.024849307750264386	0.030337111053435995
DECODE	DECODE	6	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3847717	0.0248437097563478	0.030337111053435995
DECODE	DECODE	16	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3847016	0.024839183581335654	0.030337111053435995
DECODE	DECODE	27	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3846730	0.024837336953584623	0.030337111053435995
DECODE	DECODE	29	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3846218	0.024834031102505854	0.030337111053435995
DECODE	DECODE	10	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3845992	0.024832571879178117	0.030337111053435995
DECODE	DECODE	8	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3845099	0.024826806010011433	0.030337111053435995
DECODE	DECODE	9	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3843850	0.024818741541266544	0.030337111053435995
DECODE	DECODE	21	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3843720	0.024817902165016077	0.030337111053435995
DECODE	DECODE	12	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3842249	0.024808404299905003	0.030337111053435995
DECODE	DECODE	13	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3842249	0.024808404299905003	0.030337111053435995
DECODE	DECODE	14	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3841511	0.024803639225498494	0.030337111053435995
DECODE	DECODE	19	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3841349	0.024802593233555603	0.030337111053435995
DECODE	DECODE	2	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3839690	0.024791881501251542	0.030337111053435995
DECODE	DECODE	7	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3838824	0.024786289964075343	0.030337111053435995
DECODE	DECODE	17	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3838056	0.02478133118745719	0.030337111053435995
DECODE	DECODE	15	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3837928	0.024780504724687496	0.030337111053435995
DECODE	DECODE	11	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3836682	0.02477245962616377	0.030337111053435995
DECODE	DECODE	5	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3835017	0.024761709153417383	0.030337111053435995
DECODE	DECODE	4	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3832360	0.024744553594205874	0.030337111053435995
DECODE	DECODE	3	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3830601	0.024733196187862995	0.030337111053435995
DECODE	DECODE	30	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3717770	0.024004675713119535	0.030337111053435995
DECODE	DECODE	32	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3577224	0.023097206678516505	0.030337111053435995
DECODE	DECODE	31	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3575205	0.023084170519672688	0.030337111053435995
AUXILIARY	AUXILIARY		AUXILIARY_RUNTIME_START_OUTSIDE_ALL_C16_PHASE_RANGES	33	192864	0.0012452727782340182	0.0009516394151743231
