metric	pre_q05_cumulative	post_q05_cumulative	target_delta
L2_Alloc	0	0	0
L2_WB	121976	137428	15452
L2_cache_stats_breakdown[CONST_ACC_R][HIT]	0	0	0
L2_cache_stats_breakdown[CONST_ACC_R][HIT_RESERVED]	0	0	0
L2_cache_stats_breakdown[CONST_ACC_R][MISS]	0	0	0
L2_cache_stats_breakdown[CONST_ACC_R][MSHR_HIT]	0	0	0
L2_cache_stats_breakdown[CONST_ACC_R][RESERVATION_FAIL]	0	0	0
L2_cache_stats_breakdown[CONST_ACC_R][SECTOR_MISS]	0	0	0
L2_cache_stats_breakdown[GLOBAL_ACC_R][HIT]	2378929	3530501	1151572
L2_cache_stats_breakdown[GLOBAL_ACC_R][HIT_RESERVED]	102774	102914	140
L2_cache_stats_breakdown[GLOBAL_ACC_R][MISS]	602259	830427	228168
L2_cache_stats_breakdown[GLOBAL_ACC_R][MSHR_HIT]	102774	102914	140
L2_cache_stats_breakdown[GLOBAL_ACC_R][RESERVATION_FAIL]	167448	167487	39
L2_cache_stats_breakdown[GLOBAL_ACC_R][SECTOR_MISS]	1680165	2364669	684504
L2_cache_stats_breakdown[GLOBAL_ACC_R][TOTAL_ACCESS]	4764127	6828511	2064384
L2_cache_stats_breakdown[GLOBAL_ACC_W][HIT]	46344	46344	0
L2_cache_stats_breakdown[GLOBAL_ACC_W][HIT_RESERVED]	0	0	0
L2_cache_stats_breakdown[GLOBAL_ACC_W][MISS]	541752	571320	29568
L2_cache_stats_breakdown[GLOBAL_ACC_W][MSHR_HIT]	0	0	0
L2_cache_stats_breakdown[GLOBAL_ACC_W][RESERVATION_FAIL]	0	0	0
L2_cache_stats_breakdown[GLOBAL_ACC_W][SECTOR_MISS]	1520576	1609280	88704
L2_cache_stats_breakdown[GLOBAL_ACC_W][TOTAL_ACCESS]	2108672	2226944	118272
L2_cache_stats_breakdown[INST_ACC_R][HIT]	0	0	0
L2_cache_stats_breakdown[INST_ACC_R][HIT_RESERVED]	0	0	0
L2_cache_stats_breakdown[INST_ACC_R][MISS]	0	0	0
L2_cache_stats_breakdown[INST_ACC_R][MSHR_HIT]	0	0	0
L2_cache_stats_breakdown[INST_ACC_R][RESERVATION_FAIL]	0	0	0
L2_cache_stats_breakdown[INST_ACC_R][SECTOR_MISS]	0	0	0
L2_cache_stats_breakdown[L1_WRBK_ACC][HIT]	0	0	0
L2_cache_stats_breakdown[L1_WRBK_ACC][HIT_RESERVED]	0	0	0
L2_cache_stats_breakdown[L1_WRBK_ACC][MISS]	0	0	0
L2_cache_stats_breakdown[L1_WRBK_ACC][MSHR_HIT]	0	0	0
L2_cache_stats_breakdown[L1_WRBK_ACC][RESERVATION_FAIL]	0	0	0
L2_cache_stats_breakdown[L1_WRBK_ACC][SECTOR_MISS]	0	0	0
L2_cache_stats_breakdown[L1_WR_ALLOC_R][HIT]	0	0	0
L2_cache_stats_breakdown[L1_WR_ALLOC_R][HIT_RESERVED]	0	0	0
L2_cache_stats_breakdown[L1_WR_ALLOC_R][MISS]	0	0	0
L2_cache_stats_breakdown[L1_WR_ALLOC_R][MSHR_HIT]	0	0	0
L2_cache_stats_breakdown[L1_WR_ALLOC_R][RESERVATION_FAIL]	0	0	0
L2_cache_stats_breakdown[L1_WR_ALLOC_R][SECTOR_MISS]	0	0	0
L2_cache_stats_breakdown[L2_WRBK_ACC][HIT]	0	0	0
L2_cache_stats_breakdown[L2_WRBK_ACC][HIT_RESERVED]	0	0	0
L2_cache_stats_breakdown[L2_WRBK_ACC][MISS]	0	0	0
L2_cache_stats_breakdown[L2_WRBK_ACC][MSHR_HIT]	0	0	0
L2_cache_stats_breakdown[L2_WRBK_ACC][RESERVATION_FAIL]	0	0	0
L2_cache_stats_breakdown[L2_WRBK_ACC][SECTOR_MISS]	0	0	0
L2_cache_stats_breakdown[L2_WR_ALLOC_R][HIT]	0	0	0
L2_cache_stats_breakdown[L2_WR_ALLOC_R][HIT_RESERVED]	0	0	0
L2_cache_stats_breakdown[L2_WR_ALLOC_R][MISS]	0	0	0
L2_cache_stats_breakdown[L2_WR_ALLOC_R][MSHR_HIT]	0	0	0
L2_cache_stats_breakdown[L2_WR_ALLOC_R][RESERVATION_FAIL]	0	0	0
L2_cache_stats_breakdown[L2_WR_ALLOC_R][SECTOR_MISS]	0	0	0
L2_cache_stats_breakdown[LOCAL_ACC_R][HIT]	0	9536	9536
L2_cache_stats_breakdown[LOCAL_ACC_R][HIT_RESERVED]	0	0	0
L2_cache_stats_breakdown[LOCAL_ACC_R][MISS]	0	5427	5427
L2_cache_stats_breakdown[LOCAL_ACC_R][MSHR_HIT]	0	0	0
L2_cache_stats_breakdown[LOCAL_ACC_R][RESERVATION_FAIL]	0	0	0
L2_cache_stats_breakdown[LOCAL_ACC_R][SECTOR_MISS]	0	16281	16281
L2_cache_stats_breakdown[LOCAL_ACC_W][HIT]	0	127491	127491
L2_cache_stats_breakdown[LOCAL_ACC_W][HIT_RESERVED]	0	41	41
L2_cache_stats_breakdown[LOCAL_ACC_W][MISS]	0	30725	30725
L2_cache_stats_breakdown[LOCAL_ACC_W][MSHR_HIT]	0	0	0
L2_cache_stats_breakdown[LOCAL_ACC_W][RESERVATION_FAIL]	0	0	0
L2_cache_stats_breakdown[LOCAL_ACC_W][SECTOR_MISS]	0	92175	92175
L2_cache_stats_breakdown[PTE_ACC_R][HIT]	283	291	8
L2_cache_stats_breakdown[PTE_ACC_R][HIT_RESERVED]	61	61	0
L2_cache_stats_breakdown[PTE_ACC_R][MISS]	74	81	7
L2_cache_stats_breakdown[PTE_ACC_R][MSHR_HIT]	61	61	0
L2_cache_stats_breakdown[PTE_ACC_R][RESERVATION_FAIL]	0	0	0
L2_cache_stats_breakdown[PTE_ACC_R][SECTOR_MISS]	90	93	3
L2_cache_stats_breakdown[PTE_ACC_R][TOTAL_ACCESS]	508	526	18
L2_cache_stats_breakdown[TEXTURE_ACC_R][HIT]	0	0	0
L2_cache_stats_breakdown[TEXTURE_ACC_R][HIT_RESERVED]	0	0	0
L2_cache_stats_breakdown[TEXTURE_ACC_R][MISS]	0	0	0
L2_cache_stats_breakdown[TEXTURE_ACC_R][MSHR_HIT]	0	0	0
L2_cache_stats_breakdown[TEXTURE_ACC_R][RESERVATION_FAIL]	0	0	0
L2_cache_stats_breakdown[TEXTURE_ACC_R][SECTOR_MISS]	0	0	0
L2_cache_stats_fail_breakdown[GLOBAL_ACC_R][MSHR_ENRTY_FAIL]	2670	2709	39
L2_cache_stats_fail_breakdown[GLOBAL_ACC_R][MSHR_MERGE_ENRTY_FAIL]	164778	164778	0
L2_total_cache_accesses	6873307	9337657	2464350
L2_total_cache_misses	4344916	5520478	1175562
L2_total_cache_pending_hits	102835	103016	181
L2_total_cache_reservation_fails	167448	167487	39
gpgpu_n_cmem_portconflict	0	0	0
gpgpu_n_const_mem_insn	0	0	0
gpgpu_n_intrawarp_mshr_merge	0	0	0
gpgpu_n_l1cache_bkconflict	0	0	0
gpgpu_n_load_insn	40864768	49588224	8723456
gpgpu_n_mem_const	0	0	0
gpgpu_n_mem_read_global	4764127	6828511	2064384
gpgpu_n_mem_read_local	0	31244	31244
gpgpu_n_mem_texture	0	0	0
gpgpu_n_mem_write_global	2108672	2226944	118272
gpgpu_n_mem_write_local	0	250432	250432
gpgpu_n_param_mem_insn	0	0	0
gpgpu_n_shmem_bkconflict	1337088	3003648	1666560
gpgpu_n_shmem_insn	17000448	35694592	18694144
gpgpu_n_sstarr_insn	0	0	0
gpgpu_n_stall_shd_mem	89625770	125302718	35676948
gpgpu_n_store_insn	23927808	26074624	2146816
gpgpu_n_tex_insn	0	0	0
gpgpu_n_tot_thrd_icount	1473821184	1905521152	431699968
gpgpu_n_tot_w_icount	46056912	59547536	13490624
gpgpu_stall_shd_mem[c_mem][resource_stall]	0	0	0
