pass	point	native_metric	sim_metric	absolute_relative_error	metric_contract	l1_latency	l2_rop_latency	dram_latency	config_sha256	run_log_sha256	status
V0	P_L1	52.000000000	61.328125000	0.179387019	MEASURED_OCCURRENCE1_CLOCK64_BRACKET	39	187	254	05fe79751bbaab6bdb065ea7b014a10011786e591be2bf0ef00217b1d8ca578f	e035f5656902c9c343335002ffdbde60bb5deb1ec428cafd0ae8c876d14a77d1	TERMINAL_PASS
V0	P_L2	52.000000000	256.945312500	3.941256010	MEASURED_OCCURRENCE1_CLOCK64_BRACKET	39	187	254	05fe79751bbaab6bdb065ea7b014a10011786e591be2bf0ef00217b1d8ca578f	fa4afa05170524a46ce72c035c954a848174649e4fd834b8805af81be81f08c5	TERMINAL_PASS
V0	P_DRAM	154.000000000	327.109375000	1.124086851	MEASURED_OCCURRENCE1_CLOCK64_BRACKET	39	187	254	05fe79751bbaab6bdb065ea7b014a10011786e591be2bf0ef00217b1d8ca578f	75a32a50f70eb3cf7d41028b20ecbccfb2273f8ba25f193ba1fd3dfda4258d8c	TERMINAL_PASS
TUNING_PASS_1	P_L1	52.000000000	54.341796875	0.045034555	MEASURED_OCCURRENCE1_CLOCK64_BRACKET	32	0	254	f537f648629341d36cdaccb81b8e8f0d1dba3e92adb98ab970723f049f906e4b	7ee42aefde7a3a4cb5444a52bb23ab80527609e421b5410d1582e620ce43913b	TERMINAL_PASS
TUNING_PASS_1	P_L2	52.000000000	63.324218750	0.217773438	MEASURED_OCCURRENCE1_CLOCK64_BRACKET	32	0	254	f537f648629341d36cdaccb81b8e8f0d1dba3e92adb98ab970723f049f906e4b	fe7174814a86a63c268fffa00c15229e19d975a72428f0e2c3402fbd637b8b73	TERMINAL_PASS
TUNING_PASS_1	P_DRAM	154.000000000	217.857421875	0.414658584	MEASURED_OCCURRENCE1_CLOCK64_BRACKET	32	0	254	f537f648629341d36cdaccb81b8e8f0d1dba3e92adb98ab970723f049f906e4b	b16f9fa5fc0aced7fd404a618779da6c0ab19b47729d171ae0d3cbe47c97a5e9	TERMINAL_PASS
TUNING_PASS_2_FINAL	P_L1	52.000000000	54.341796875	0.045034555	MEASURED_OCCURRENCE1_CLOCK64_BRACKET	32	0	190	de9ee8f30325c033e0de624640ffa8803f0eae40633eebaa0b3144f549f5ccb8	895ed1a8e6b7f09f3f5c0a93b93643e6f3a4c8f124d8c9236db11a88d78a8d57	TERMINAL_PASS
TUNING_PASS_2_FINAL	P_L2	52.000000000	63.324218750	0.217773438	MEASURED_OCCURRENCE1_CLOCK64_BRACKET	32	0	190	de9ee8f30325c033e0de624640ffa8803f0eae40633eebaa0b3144f549f5ccb8	103a23a7fa9746f03e4d873964c58f2d1dce772b7748850fde05672eeb7f3a20	TERMINAL_PASS
TUNING_PASS_2_FINAL	P_DRAM	154.000000000	182.857421875	0.187385856	MEASURED_OCCURRENCE1_CLOCK64_BRACKET	32	0	190	de9ee8f30325c033e0de624640ffa8803f0eae40633eebaa0b3144f549f5ccb8	79c1df42b05669c40296d975dbc1776e3c1c422957ccec83f63e277c1a2e533a	TERMINAL_PASS
V0	P_BW	609.014020000	NA	NA	NATIVE_GB_PER_S	39	187	254	05fe79751bbaab6bdb065ea7b014a10011786e591be2bf0ef00217b1d8ca578f	48e3e895f2d63af7e3ffac9b1d90b09ad3fa84737b6afc799469ed928b70ba22	NOT_COMPARABLE_TRACE_SCALE_MISMATCH_NATIVE_67108864x100_TRACE_4096x1
