point	process	elements	host_repetitions	total_event_ms	us_per_launch	mean_us_per_launch	cv
H_CACHE	1	1024	1000	1.754112	1.754112		
H_CACHE	2	1024	1000	1.756832	1.756832		
H_CACHE	3	1024	1000	1.758208	1.758208		
H_CACHE	4	1024	1000	1.697216	1.697216		
H_CACHE	5	1024	1000	1.691648	1.691648		
H_CACHE	SUMMARY	1024	1000		1.754112	1.7316032	0.017573171256002336
H_STREAM	1	4096	1000	2.846336	2.846336		
H_STREAM	2	4096	1000	2.846336	2.846336		
H_STREAM	3	4096	1000	2.845600	2.8456		
H_STREAM	4	4096	1000	2.845696	2.845696		
H_STREAM	5	4096	1000	2.845696	2.845696		
H_STREAM	SUMMARY	4096	1000		2.845696	2.8459328	0.00011633178380153288
H_COMPUTE	1	1024	1000	2.846304	2.846304		
H_COMPUTE	2	1024	1000	2.846272	2.846272		
H_COMPUTE	3	1024	1000	2.845664	2.845664		
H_COMPUTE	4	1024	1000	2.845504	2.845504		
H_COMPUTE	5	1024	1000	2.845696	2.845696		
H_COMPUTE	SUMMARY	1024	1000		2.845696	2.845888	0.00011707032257466188
