target_id	run_id	raw_dynamic_records	receipt_records	record_count_matches_receipt	warp_instruction_records	cta_count	cta_warp_count	memory_instruction_records	effective_lane_addresses	vm_entry_4k_unique_pages	vm_entry_64k_unique_pages	mode2_records_observed	opcode_histogram	address_scope
DECODE_FLASH_PRIMARY_1	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_decode-flash-primary-1_20260918T030844Z_fbd73751c9df	1338761	1338761	True	1338761	126	504	156240	3468654	1821	117	0	FMUL:211756;FADD:130574;HMMA.16816.F32:129024;IADD3:69590;FSEL:65520;FMNMX:65520;FSETP.GEU.AND:65054;MUFU.EX2:64512;ISETP.GE.AND:56952;IMAD:38304;LDGSTS.E.BYPASS.LTC128B.128:36288;IMAD.MOV.U32:34272;LDSM.16.M88.4:34272;LDSM.16.MT88.4:32256;F2FP.PACK_AB:32256;LDS:25704	only accepted raw memory-event address fields; PC/register/immediate excluded
DECODE_FLASH_PRIMARY_2	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_decode-flash-primary-2_20260918T034826Z_9e13a6a571f4	2534	2534	True	2534	2	8	188	5340	11	3	0	FFMA:404;IADD3:240;IMAD:141;BRA:86;ISETP.GE.AND:84;LDS:80;FADD:78;LDG.E.128:71;IADD3.X:71;IMAD.MOV.U32:69;MOV:67;LOP3.LUT:67;SHFL.BFLY:64;SHF.R.S32.HI:60;BSYNC:45;IMAD.IADD:44	only accepted raw memory-event address fields; PC/register/immediate excluded
DECODE_GEMV_PRIMARY_STEP16	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_decode-gemv-primary-step16_20260918T074437Z_b0dfb1af1ae1	1515136	1515136	True	1515136	1216	2432	318592	9022720	2132	135	0	HADD2.F32:277248;IMAD.WIDE:252928;FFMA:138624;LDG.E.EF.U16:136192;LDG.E.U16.STRONG.SM:136192;MOV:85120;LEA:53504;IMAD:46208;BRA:38912;IADD3:34048;ISETP.GE.AND:29184;SHF.R.S32.HI:29184;LEA.HI.X:26752;LDS:21888;IMAD.WIDE.U32:19456;ISETP.NE.AND:17024	only accepted raw memory-event address fields; PC/register/immediate excluded
DECODE_GEMV_PRIMARY_STEP24	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_decode-gemv-primary-step24_20260918T075713Z_c4a404488907	1515136	1515136	True	1515136	1216	2432	318592	9022720	2132	135	0	HADD2.F32:277248;IMAD.WIDE:252928;FFMA:138624;LDG.E.EF.U16:136192;LDG.E.U16.STRONG.SM:136192;MOV:85120;LEA:53504;IMAD:46208;BRA:38912;IADD3:34048;ISETP.GE.AND:29184;SHF.R.S32.HI:29184;LEA.HI.X:26752;LDS:21888;IMAD.WIDE.U32:19456;ISETP.NE.AND:17024	only accepted raw memory-event address fields; PC/register/immediate excluded
DECODE_GEMV_PRIMARY_STEP32	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_decode-gemv-primary-step32_20260918T080933Z_df828f6cbcf6	1515136	1515136	True	1515136	1216	2432	318592	9022720	2132	135	0	HADD2.F32:277248;IMAD.WIDE:252928;FFMA:138624;LDG.E.EF.U16:136192;LDG.E.U16.STRONG.SM:136192;MOV:85120;LEA:53504;IMAD:46208;BRA:38912;IADD3:34048;ISETP.GE.AND:29184;SHF.R.S32.HI:29184;LEA.HI.X:26752;LDS:21888;IMAD.WIDE.U32:19456;ISETP.NE.AND:17024	only accepted raw memory-event address fields; PC/register/immediate excluded
DECODE_GEMV_PRIMARY_STEP4	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_decode-gemv-primary-step4_20260918T072000Z_1f540a7c5218	1515136	1515136	True	1515136	1216	2432	318592	9022720	2133	135	0	HADD2.F32:277248;IMAD.WIDE:252928;FFMA:138624;LDG.E.EF.U16:136192;LDG.E.U16.STRONG.SM:136192;MOV:85120;LEA:53504;IMAD:46208;BRA:38912;IADD3:34048;ISETP.GE.AND:29184;SHF.R.S32.HI:29184;LEA.HI.X:26752;LDS:21888;IMAD.WIDE.U32:19456;ISETP.NE.AND:17024	only accepted raw memory-event address fields; PC/register/immediate excluded
DECODE_GEMV_PRIMARY_STEP8	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_decode-gemv-primary-step8_20260918T073217Z_91ee6ec83623	1515136	1515136	True	1515136	1216	2432	318592	9022720	2132	135	0	HADD2.F32:277248;IMAD.WIDE:252928;FFMA:138624;LDG.E.EF.U16:136192;LDG.E.U16.STRONG.SM:136192;MOV:85120;LEA:53504;IMAD:46208;BRA:38912;IADD3:34048;ISETP.GE.AND:29184;SHF.R.S32.HI:29184;LEA.HI.X:26752;LDS:21888;IMAD.WIDE.U32:19456;ISETP.NE.AND:17024	only accepted raw memory-event address fields; PC/register/immediate excluded
PREFILL_FLASH_OCC2	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_prefill_awma-route-b-nvbit1771-sim-native_prefill-flash-occ2_20260918T041053Z_cc66696445b8	13490624	13490624	True	13490624	224	896	1100848	33693184	3625	228	0	FMUL:3530240;FADD:1956864;HMMA.16816.F32:1949696;FMNMX:1032192;FSETP.GEU.AND:1005312;MUFU.EX2:1001728;F2FP.PACK_AB:516096;LDSM.16.M88.4:304640;LDGSTS.E.BYPASS.LTC128B.128:258048;LDSM.16.MT88.4:243712;IADD3:189896;MOV:165256;FSEL:145152;ISETP.GE.AND:120960;IADD3.X:120960;LDL:78960	only accepted raw memory-event address fields; PC/register/immediate excluded
PREFILL_FLASH_OCC4	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_prefill_awma-route-b-nvbit1771-sim-native_prefill-flash-occ4_20260918T042948Z_2a49a61553fb	13490624	13490624	True	13490624	224	896	1100848	33693184	3625	228	0	FMUL:3530240;FADD:1956864;HMMA.16816.F32:1949696;FMNMX:1032192;FSETP.GEU.AND:1005312;MUFU.EX2:1001728;F2FP.PACK_AB:516096;LDSM.16.M88.4:304640;LDGSTS.E.BYPASS.LTC128B.128:258048;LDSM.16.MT88.4:243712;IADD3:189896;MOV:165256;FSEL:145152;ISETP.GE.AND:120960;IADD3.X:120960;LDL:78960	only accepted raw memory-event address fields; PC/register/immediate excluded
PREFILL_FLASH_OCC6	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_prefill_awma-route-b-nvbit1771-sim-native_prefill-flash-occ6_20260918T044821Z_3a843fb98efa	13490624	13490624	True	13490624	224	896	1100848	33693184	3625	228	0	FMUL:3530240;FADD:1956864;HMMA.16816.F32:1949696;FMNMX:1032192;FSETP.GEU.AND:1005312;MUFU.EX2:1001728;F2FP.PACK_AB:516096;LDSM.16.M88.4:304640;LDGSTS.E.BYPASS.LTC128B.128:258048;LDSM.16.MT88.4:243712;IADD3:189896;MOV:165256;FSEL:145152;ISETP.GE.AND:120960;IADD3.X:120960;LDL:78960	only accepted raw memory-event address fields; PC/register/immediate excluded
PREFILL_FLASH_OCC9	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_prefill_awma-route-b-nvbit1771-sim-native_prefill-flash-occ9_20260918T050655Z_89982e74ae20	13490624	13490624	True	13490624	224	896	1100848	33693184	3625	228	0	FMUL:3530240;FADD:1956864;HMMA.16816.F32:1949696;FMNMX:1032192;FSETP.GEU.AND:1005312;MUFU.EX2:1001728;F2FP.PACK_AB:516096;LDSM.16.M88.4:304640;LDGSTS.E.BYPASS.LTC128B.128:258048;LDSM.16.MT88.4:243712;IADD3:189896;MOV:165256;FSEL:145152;ISETP.GE.AND:120960;IADD3.X:120960;LDL:78960	only accepted raw memory-event address fields; PC/register/immediate excluded
PREFILL_GEMM_PRIMARY_OCC0	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_prefill_awma-route-b-nvbit1771-sim-native_prefill-gemm-primary-occ0_20260918T052739Z_01540d931e17	12043648	12043648	True	12043648	384	3072	2298240	70352896	7906	495	0	HMMA.16816.F32:4358144;LDSM.16.M88.4:1108992;LDGSTS.E.BYPASS.LTC128B.128:875520;UIADD3:688256;IADD3:603136;UMOV:420736;IADD3.X:340480;FFMA:311296;R2P:286976;IMAD.MOV.U32:270592;ISETP.NE.AND:170240;CS2R:155648;STS.64:155648;F2FP.PACK_AB:155648;HSETP2.GEU.AND:155648;HMNMX2:155648	only accepted raw memory-event address fields; PC/register/immediate excluded
PREFILL_GEMM_PRIMARY_OCC16	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_prefill_awma-route-b-nvbit1771-sim-native_prefill-gemm-primary-occ16_20260918T063214Z_ee41cf10f0c5	12043648	12043648	True	12043648	384	3072	2298240	70352896	7906	495	0	HMMA.16816.F32:4358144;LDSM.16.M88.4:1108992;LDGSTS.E.BYPASS.LTC128B.128:875520;UIADD3:688256;IADD3:603136;UMOV:420736;IADD3.X:340480;FFMA:311296;R2P:286976;IMAD.MOV.U32:270592;ISETP.NE.AND:170240;CS2R:155648;STS.64:155648;F2FP.PACK_AB:155648;HSETP2.GEU.AND:155648;HMNMX2:155648	only accepted raw memory-event address fields; PC/register/immediate excluded
