priority	target_id	phase	decode_step	identity_status	status	detail
P0	DECODE_FLASH_PRIMARY_1	DECODE	1	HISTORICAL_RAW_REVALIDATED	ACKED_NODE164	completed formal immutable producer bundle and node164 ACK
P1	DECODE_FLASH_PRIMARY_2	DECODE	1	NEEDS_FRESH_SELECTOR	ACKED_NODE164	completed formal immutable producer bundle and node164 ACK
P2A	PREFILL_FLASH_OCC2	PREFILL		NEEDS_FRESH_SELECTOR	ACKED_NODE164	completed formal immutable producer bundle and node164 ACK
P2A	PREFILL_FLASH_OCC4	PREFILL		NEEDS_FRESH_SELECTOR	ACKED_NODE164	completed formal immutable producer bundle and node164 ACK
P2A	PREFILL_FLASH_OCC6	PREFILL		NEEDS_FRESH_SELECTOR	ACKED_NODE164	completed formal immutable producer bundle and node164 ACK
P2A	PREFILL_FLASH_OCC9	PREFILL		NEEDS_FRESH_SELECTOR	ACKED_NODE164	completed formal immutable producer bundle and node164 ACK
P2B	PREFILL_GEMM_PRIMARY_OCC0	PREFILL		NEEDS_FRESH_SELECTOR	ACKED_NODE164	completed formal immutable producer bundle and node164 ACK
P2B	PREFILL_GEMM_PRIMARY_OCC4	PREFILL		NEEDS_FRESH_SELECTOR	ACKED_NODE164	completed formal immutable producer bundle and node164 ACK
P2B	PREFILL_GEMM_PRIMARY_OCC8	PREFILL		NEEDS_FRESH_SELECTOR	ACKED_NODE164	completed formal immutable producer bundle and node164 ACK
P2B	PREFILL_GEMM_PRIMARY_OCC16	PREFILL		NEEDS_FRESH_SELECTOR	ACKED_NODE164	completed formal immutable producer bundle and node164 ACK
P2B	PREFILL_GEMM_PRIMARY_OCC19	PREFILL		NEEDS_FRESH_SELECTOR	ACKED_NODE164	completed formal immutable producer bundle and node164 ACK
P2C	DECODE_GEMV_PRIMARY_STEP4	DECODE	4	NEEDS_FRESH_SELECTOR	ACKED_NODE164	completed formal immutable producer bundle and node164 ACK
P2C	DECODE_GEMV_PRIMARY_STEP8	DECODE	8	NEEDS_FRESH_SELECTOR	ACKED_NODE164	completed formal immutable producer bundle and node164 ACK
P2C	DECODE_GEMV_PRIMARY_STEP16	DECODE	16	NEEDS_FRESH_SELECTOR	ACKED_NODE164	completed formal immutable producer bundle and node164 ACK
P2C	DECODE_GEMV_PRIMARY_STEP24	DECODE	24	NEEDS_FRESH_SELECTOR	ACKED_NODE164	completed formal immutable producer bundle and node164 ACK
P2C	DECODE_GEMV_PRIMARY_STEP32	DECODE	32	NEEDS_FRESH_SELECTOR	ACKED_NODE164	completed formal immutable producer bundle and node164 ACK
P2D	DECODE_FLASH_PRIMARY_1_STEP4	DECODE	4	NEEDS_FRESH_SELECTOR	SKIPPED_BY_USER_EARLY_CLOSE_AFTER_P2C	user early-close override after P2C; no result inferred
P2D	DECODE_FLASH_PRIMARY_1_STEP8	DECODE	8	NEEDS_FRESH_SELECTOR	SKIPPED_BY_USER_EARLY_CLOSE_AFTER_P2C	user early-close override after P2C; no result inferred
P2D	DECODE_FLASH_PRIMARY_1_STEP16	DECODE	16	NEEDS_FRESH_SELECTOR	SKIPPED_BY_USER_EARLY_CLOSE_AFTER_P2C	user early-close override after P2C; no result inferred
P2D	DECODE_FLASH_PRIMARY_1_STEP24	DECODE	24	NEEDS_FRESH_SELECTOR	SKIPPED_BY_USER_EARLY_CLOSE_AFTER_P2C	user early-close override after P2C; no result inferred
P2D	DECODE_FLASH_PRIMARY_1_STEP32	DECODE	32	NEEDS_FRESH_SELECTOR	SKIPPED_BY_USER_EARLY_CLOSE_AFTER_P2C	user early-close override after P2C; no result inferred
P2E	DECODE_FLASH_PRIMARY_2_STEP4	DECODE	4	DEPENDENT_ON_P1	SKIPPED_BY_USER_EARLY_CLOSE_AFTER_P2C	user early-close override after P2C; no result inferred
P2E	DECODE_FLASH_PRIMARY_2_STEP8	DECODE	8	DEPENDENT_ON_P1	SKIPPED_BY_USER_EARLY_CLOSE_AFTER_P2C	user early-close override after P2C; no result inferred
P2E	DECODE_FLASH_PRIMARY_2_STEP16	DECODE	16	DEPENDENT_ON_P1	SKIPPED_BY_USER_EARLY_CLOSE_AFTER_P2C	user early-close override after P2C; no result inferred
P2E	DECODE_FLASH_PRIMARY_2_STEP24	DECODE	24	DEPENDENT_ON_P1	SKIPPED_BY_USER_EARLY_CLOSE_AFTER_P2C	user early-close override after P2C; no result inferred
P2E	DECODE_FLASH_PRIMARY_2_STEP32	DECODE	32	DEPENDENT_ON_P1	SKIPPED_BY_USER_EARLY_CLOSE_AFTER_P2C	user early-close override after P2C; no result inferred
EARLY_CLOSE	DECODE_GEMV_SECONDARY_STEP1			NOT_STARTED	SKIPPED_BY_USER_EARLY_CLOSE_AFTER_P2C	user early-close override after P2C; no result inferred
EARLY_CLOSE	DECODE_GEMV_SECONDARY_STEP8			NOT_STARTED	SKIPPED_BY_USER_EARLY_CLOSE_AFTER_P2C	user early-close override after P2C; no result inferred
EARLY_CLOSE	DECODE_GEMV_SECONDARY_STEP16			NOT_STARTED	SKIPPED_BY_USER_EARLY_CLOSE_AFTER_P2C	user early-close override after P2C; no result inferred
