deployment_id	scenario_id	object_kind	layer_or_expert_scope	quantity	value	unit	formula_id	assumptions_json	page_granule_bytes	evidence_tier	missing_reason
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	static-storage	WEIGHT	ALL	allocated_payload_bytes	988065536	B	SAFETENSORS_OFFSET_UNION_V1	"{""allocation_mode"":""UNVERIFIED_RUNTIME"",""not_gpu_va_or_pa"":true,""runtime_repack"":""UNKNOWN"",""source"":""Safetensors data_offsets""}"	NA	STATIC_DERIVED	NA
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	static-storage	WEIGHT	ALL	reserved_bytes	NA	B	NA	"{""allocation_mode"":""UNVERIFIED_RUNTIME"",""not_gpu_va_or_pa"":true,""runtime_repack"":""UNKNOWN"",""source"":""Safetensors data_offsets""}"	NA	UNRESOLVED	NO_RUNTIME_ALLOCATOR_EVIDENCE
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	static-storage	WEIGHT	ALL	active_parameter_estimate	NA	B	NA	"{""allocation_mode"":""UNVERIFIED_RUNTIME"",""not_gpu_va_or_pa"":true,""runtime_repack"":""UNKNOWN"",""source"":""Safetensors data_offsets""}"	NA	UNRESOLVED	NO_EXECUTED_EXPERT_OR_RUNTIME_ACTIVITY_EVIDENCE
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	static-file-layout-scenario	WEIGHT	ALL	scenario_page_count	241227	pages	OFFSET_RANGE_PAGE_UNION_V1	"{""disk_offsets_not_va_or_pa"":true,""not_tlb_working_set_or_miss"":true,""scenario"":""one contiguous per-shard static file-layout proxy""}"	4096	STATIC_DERIVED	NA
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	static-file-layout-scenario	WEIGHT	ALL	scenario_page_count	15077	pages	OFFSET_RANGE_PAGE_UNION_V1	"{""disk_offsets_not_va_or_pa"":true,""not_tlb_working_set_or_miss"":true,""scenario"":""one contiguous per-shard static file-layout proxy""}"	65536	STATIC_DERIVED	NA
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	static-file-layout-scenario	WEIGHT	ALL	scenario_page_count	472	pages	OFFSET_RANGE_PAGE_UNION_V1	"{""disk_offsets_not_va_or_pa"":true,""not_tlb_working_set_or_miss"":true,""scenario"":""one contiguous per-shard static file-layout proxy""}"	2097152	STATIC_DERIVED	NA
76212cb557a7830eb2692351ee5329e660e83ea54c334924af9cb34391baff7d	static-storage	WEIGHT	ALL	allocated_payload_bytes	15231233024	B	SAFETENSORS_OFFSET_UNION_V1	"{""allocation_mode"":""UNVERIFIED_RUNTIME"",""not_gpu_va_or_pa"":true,""runtime_repack"":""UNKNOWN"",""source"":""Safetensors data_offsets""}"	NA	STATIC_DERIVED	NA
76212cb557a7830eb2692351ee5329e660e83ea54c334924af9cb34391baff7d	static-storage	WEIGHT	ALL	reserved_bytes	NA	B	NA	"{""allocation_mode"":""UNVERIFIED_RUNTIME"",""not_gpu_va_or_pa"":true,""runtime_repack"":""UNKNOWN"",""source"":""Safetensors data_offsets""}"	NA	UNRESOLVED	NO_RUNTIME_ALLOCATOR_EVIDENCE
76212cb557a7830eb2692351ee5329e660e83ea54c334924af9cb34391baff7d	static-storage	WEIGHT	ALL	active_parameter_estimate	NA	B	NA	"{""allocation_mode"":""UNVERIFIED_RUNTIME"",""not_gpu_va_or_pa"":true,""runtime_repack"":""UNKNOWN"",""source"":""Safetensors data_offsets""}"	NA	UNRESOLVED	NO_EXECUTED_EXPERT_OR_RUNTIME_ACTIVITY_EVIDENCE
76212cb557a7830eb2692351ee5329e660e83ea54c334924af9cb34391baff7d	static-file-layout-scenario	WEIGHT	ALL	scenario_page_count	3718564	pages	OFFSET_RANGE_PAGE_UNION_V1	"{""disk_offsets_not_va_or_pa"":true,""not_tlb_working_set_or_miss"":true,""scenario"":""one contiguous per-shard static file-layout proxy""}"	4096	STATIC_DERIVED	NA
76212cb557a7830eb2692351ee5329e660e83ea54c334924af9cb34391baff7d	static-file-layout-scenario	WEIGHT	ALL	scenario_page_count	232411	pages	OFFSET_RANGE_PAGE_UNION_V1	"{""disk_offsets_not_va_or_pa"":true,""not_tlb_working_set_or_miss"":true,""scenario"":""one contiguous per-shard static file-layout proxy""}"	65536	STATIC_DERIVED	NA
76212cb557a7830eb2692351ee5329e660e83ea54c334924af9cb34391baff7d	static-file-layout-scenario	WEIGHT	ALL	scenario_page_count	7264	pages	OFFSET_RANGE_PAGE_UNION_V1	"{""disk_offsets_not_va_or_pa"":true,""not_tlb_working_set_or_miss"":true,""scenario"":""one contiguous per-shard static file-layout proxy""}"	2097152	STATIC_DERIVED	NA
4398395677622815eb3719b6f78c959c7a761febc6211d83cd9d587cccc06f8c	static-storage	WEIGHT	ALL	allocated_payload_bytes	5570747392	B	SAFETENSORS_OFFSET_UNION_V1	"{""allocation_mode"":""UNVERIFIED_RUNTIME"",""not_gpu_va_or_pa"":true,""runtime_repack"":""UNKNOWN"",""source"":""Safetensors data_offsets""}"	NA	STATIC_DERIVED	NA
4398395677622815eb3719b6f78c959c7a761febc6211d83cd9d587cccc06f8c	static-storage	WEIGHT	ALL	reserved_bytes	NA	B	NA	"{""allocation_mode"":""UNVERIFIED_RUNTIME"",""not_gpu_va_or_pa"":true,""runtime_repack"":""UNKNOWN"",""source"":""Safetensors data_offsets""}"	NA	UNRESOLVED	NO_RUNTIME_ALLOCATOR_EVIDENCE
4398395677622815eb3719b6f78c959c7a761febc6211d83cd9d587cccc06f8c	static-storage	WEIGHT	ALL	active_parameter_estimate	NA	B	NA	"{""allocation_mode"":""UNVERIFIED_RUNTIME"",""not_gpu_va_or_pa"":true,""runtime_repack"":""UNKNOWN"",""source"":""Safetensors data_offsets""}"	NA	UNRESOLVED	NO_EXECUTED_EXPERT_OR_RUNTIME_ACTIVITY_EVIDENCE
4398395677622815eb3719b6f78c959c7a761febc6211d83cd9d587cccc06f8c	static-file-layout-scenario	WEIGHT	ALL	scenario_page_count	1360046	pages	OFFSET_RANGE_PAGE_UNION_V1	"{""disk_offsets_not_va_or_pa"":true,""not_tlb_working_set_or_miss"":true,""scenario"":""one contiguous per-shard static file-layout proxy""}"	4096	STATIC_DERIVED	NA
4398395677622815eb3719b6f78c959c7a761febc6211d83cd9d587cccc06f8c	static-file-layout-scenario	WEIGHT	ALL	scenario_page_count	85004	pages	OFFSET_RANGE_PAGE_UNION_V1	"{""disk_offsets_not_va_or_pa"":true,""not_tlb_working_set_or_miss"":true,""scenario"":""one contiguous per-shard static file-layout proxy""}"	65536	STATIC_DERIVED	NA
4398395677622815eb3719b6f78c959c7a761febc6211d83cd9d587cccc06f8c	static-file-layout-scenario	WEIGHT	ALL	scenario_page_count	2657	pages	OFFSET_RANGE_PAGE_UNION_V1	"{""disk_offsets_not_va_or_pa"":true,""not_tlb_working_set_or_miss"":true,""scenario"":""one contiguous per-shard static file-layout proxy""}"	2097152	STATIC_DERIVED	NA
3cddd8e22bb36a4dc181415c6c88b0f0a149e75f976b38e110919e258ade5856	static-storage	WEIGHT	ALL	allocated_payload_bytes	NA	B	NA	"{""allocation_mode"":""UNVERIFIED_RUNTIME"",""not_gpu_va_or_pa"":true,""runtime_repack"":""UNKNOWN"",""source"":""Safetensors data_offsets""}"	NA	UNRESOLVED	HEADER_LIMITED_OR_INVALID
3cddd8e22bb36a4dc181415c6c88b0f0a149e75f976b38e110919e258ade5856	static-storage	WEIGHT	ALL	reserved_bytes	NA	B	NA	"{""allocation_mode"":""UNVERIFIED_RUNTIME"",""not_gpu_va_or_pa"":true,""runtime_repack"":""UNKNOWN"",""source"":""Safetensors data_offsets""}"	NA	UNRESOLVED	NO_RUNTIME_ALLOCATOR_EVIDENCE
3cddd8e22bb36a4dc181415c6c88b0f0a149e75f976b38e110919e258ade5856	static-storage	WEIGHT	ALL	active_parameter_estimate	NA	B	NA	"{""allocation_mode"":""UNVERIFIED_RUNTIME"",""not_gpu_va_or_pa"":true,""runtime_repack"":""UNKNOWN"",""source"":""Safetensors data_offsets""}"	NA	UNRESOLVED	NO_EXECUTED_EXPERT_OR_RUNTIME_ACTIVITY_EVIDENCE
d30463c604d39cac0d3f615032332fd8b87a4784cdd06c6185a67325a18cbb5c	static-storage	WEIGHT	ALL	allocated_payload_bytes	NA	B	NA	"{""allocation_mode"":""UNVERIFIED_RUNTIME"",""not_gpu_va_or_pa"":true,""runtime_repack"":""UNKNOWN"",""source"":""Safetensors data_offsets""}"	NA	UNRESOLVED	INVALID_OR_UNAVAILABLE_SAFETENSORS_INDEX
d30463c604d39cac0d3f615032332fd8b87a4784cdd06c6185a67325a18cbb5c	static-storage	WEIGHT	ALL	reserved_bytes	NA	B	NA	"{""allocation_mode"":""UNVERIFIED_RUNTIME"",""not_gpu_va_or_pa"":true,""runtime_repack"":""UNKNOWN"",""source"":""Safetensors data_offsets""}"	NA	UNRESOLVED	NO_RUNTIME_ALLOCATOR_EVIDENCE
d30463c604d39cac0d3f615032332fd8b87a4784cdd06c6185a67325a18cbb5c	static-storage	WEIGHT	ALL	active_parameter_estimate	NA	B	NA	"{""allocation_mode"":""UNVERIFIED_RUNTIME"",""not_gpu_va_or_pa"":true,""runtime_repack"":""UNKNOWN"",""source"":""Safetensors data_offsets""}"	NA	UNRESOLVED	NO_EXECUTED_EXPERT_OR_RUNTIME_ACTIVITY_EVIDENCE
b4ae9afb7fd28e4a130ea4cc296b8774cbf3c8d79848774bec28d46f0015db3c	static-storage	WEIGHT	ALL	allocated_payload_bytes	NA	B	NA	"{""allocation_mode"":""UNVERIFIED_RUNTIME"",""not_gpu_va_or_pa"":true,""runtime_repack"":""UNKNOWN"",""source"":""Safetensors data_offsets""}"	NA	UNRESOLVED	HEADER_LIMITED_OR_INVALID
b4ae9afb7fd28e4a130ea4cc296b8774cbf3c8d79848774bec28d46f0015db3c	static-storage	WEIGHT	ALL	reserved_bytes	NA	B	NA	"{""allocation_mode"":""UNVERIFIED_RUNTIME"",""not_gpu_va_or_pa"":true,""runtime_repack"":""UNKNOWN"",""source"":""Safetensors data_offsets""}"	NA	UNRESOLVED	NO_RUNTIME_ALLOCATOR_EVIDENCE
b4ae9afb7fd28e4a130ea4cc296b8774cbf3c8d79848774bec28d46f0015db3c	static-storage	WEIGHT	ALL	active_parameter_estimate	NA	B	NA	"{""allocation_mode"":""UNVERIFIED_RUNTIME"",""not_gpu_va_or_pa"":true,""runtime_repack"":""UNKNOWN"",""source"":""Safetensors data_offsets""}"	NA	UNRESOLVED	NO_EXECUTED_EXPERT_OR_RUNTIME_ACTIVITY_EVIDENCE
