deployment_id	shard	tensor_name	logical_shape_json	stored_shape_json	storage_dtype	role	disk_data_start	disk_data_end	stored_bytes	semantic_alias_group	storage_dedup_basis	source_hash	status
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	model.safetensors	model.embed_tokens.weight	[151936,896]	[151936,896]	BF16	WEIGHT_EMBEDDING_OR_LOGITS	0	272269312	272269312	NA	NO_PROVEN_ALIAS	SAFETENSORS_HEADER_SHA256:bd808652be103f0e4e29786b9aa8829e0f38607880486926c7246ee2de577a76	HEADER_RANGE_VERIFIED
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	model.safetensors	model.layers.0.input_layernorm.weight	[896]	[896]	BF16	WEIGHT_NORM	272269312	272271104	1792	NA	NO_PROVEN_ALIAS	SAFETENSORS_HEADER_SHA256:bd808652be103f0e4e29786b9aa8829e0f38607880486926c7246ee2de577a76	HEADER_RANGE_VERIFIED
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	model.safetensors	model.layers.0.mlp.down_proj.weight	[896,4864]	[896,4864]	BF16	WEIGHT	272271104	280987392	8716288	NA	NO_PROVEN_ALIAS	SAFETENSORS_HEADER_SHA256:bd808652be103f0e4e29786b9aa8829e0f38607880486926c7246ee2de577a76	HEADER_RANGE_VERIFIED
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	model.safetensors	model.layers.0.mlp.gate_proj.weight	[4864,896]	[4864,896]	BF16	WEIGHT	280987392	289703680	8716288	NA	NO_PROVEN_ALIAS	SAFETENSORS_HEADER_SHA256:bd808652be103f0e4e29786b9aa8829e0f38607880486926c7246ee2de577a76	HEADER_RANGE_VERIFIED
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	model.safetensors	model.layers.0.mlp.up_proj.weight	[4864,896]	[4864,896]	BF16	WEIGHT	289703680	298419968	8716288	NA	NO_PROVEN_ALIAS	SAFETENSORS_HEADER_SHA256:bd808652be103f0e4e29786b9aa8829e0f38607880486926c7246ee2de577a76	HEADER_RANGE_VERIFIED
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	model.safetensors	model.layers.0.post_attention_layernorm.weight	[896]	[896]	BF16	WEIGHT_NORM	298419968	298421760	1792	NA	NO_PROVEN_ALIAS	SAFETENSORS_HEADER_SHA256:bd808652be103f0e4e29786b9aa8829e0f38607880486926c7246ee2de577a76	HEADER_RANGE_VERIFIED
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	model.safetensors	model.layers.0.self_attn.k_proj.bias	[128]	[128]	BF16	WEIGHT	298421760	298422016	256	NA	NO_PROVEN_ALIAS	SAFETENSORS_HEADER_SHA256:bd808652be103f0e4e29786b9aa8829e0f38607880486926c7246ee2de577a76	HEADER_RANGE_VERIFIED
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	model.safetensors	model.layers.0.self_attn.k_proj.weight	[128,896]	[128,896]	BF16	WEIGHT	298422016	298651392	229376	NA	NO_PROVEN_ALIAS	SAFETENSORS_HEADER_SHA256:bd808652be103f0e4e29786b9aa8829e0f38607880486926c7246ee2de577a76	HEADER_RANGE_VERIFIED
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	model.safetensors	model.layers.0.self_attn.o_proj.weight	[896,896]	[896,896]	BF16	WEIGHT	298651392	300257024	1605632	NA	NO_PROVEN_ALIAS	SAFETENSORS_HEADER_SHA256:bd808652be103f0e4e29786b9aa8829e0f38607880486926c7246ee2de577a76	HEADER_RANGE_VERIFIED
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	model.safetensors	model.layers.0.self_attn.q_proj.bias	[896]	[896]	BF16	WEIGHT	300257024	300258816	1792	NA	NO_PROVEN_ALIAS	SAFETENSORS_HEADER_SHA256:bd808652be103f0e4e29786b9aa8829e0f38607880486926c7246ee2de577a76	HEADER_RANGE_VERIFIED
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	model.safetensors	model.layers.0.self_attn.q_proj.weight	[896,896]	[896,896]	BF16	WEIGHT	300258816	301864448	1605632	NA	NO_PROVEN_ALIAS	SAFETENSORS_HEADER_SHA256:bd808652be103f0e4e29786b9aa8829e0f38607880486926c7246ee2de577a76	HEADER_RANGE_VERIFIED
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	model.safetensors	model.layers.0.self_attn.v_proj.bias	[128]	[128]	BF16	WEIGHT	301864448	301864704	256	NA	NO_PROVEN_ALIAS	SAFETENSORS_HEADER_SHA256:bd808652be103f0e4e29786b9aa8829e0f38607880486926c7246ee2de577a76	HEADER_RANGE_VERIFIED
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	model.safetensors	model.layers.0.self_attn.v_proj.weight	[128,896]	[128,896]	BF16	WEIGHT	301864704	302094080	229376	NA	NO_PROVEN_ALIAS	SAFETENSORS_HEADER_SHA256:bd808652be103f0e4e29786b9aa8829e0f38607880486926c7246ee2de577a76	HEADER_RANGE_VERIFIED
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	model.safetensors	model.layers.1.input_layernorm.weight	[896]	[896]	BF16	WEIGHT_NORM	302094080	302095872	1792	NA	NO_PROVEN_ALIAS	SAFETENSORS_HEADER_SHA256:bd808652be103f0e4e29786b9aa8829e0f38607880486926c7246ee2de577a76	HEADER_RANGE_VERIFIED
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	model.safetensors	model.layers.1.mlp.down_proj.weight	[896,4864]	[896,4864]	BF16	WEIGHT	302095872	310812160	8716288	NA	NO_PROVEN_ALIAS	SAFETENSORS_HEADER_SHA256:bd808652be103f0e4e29786b9aa8829e0f38607880486926c7246ee2de577a76	HEADER_RANGE_VERIFIED
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	model.safetensors	model.layers.1.mlp.gate_proj.weight	[4864,896]	[4864,896]	BF16	WEIGHT	310812160	319528448	8716288	NA	NO_PROVEN_ALIAS	SAFETENSORS_HEADER_SHA256:bd808652be103f0e4e29786b9aa8829e0f38607880486926c7246ee2de577a76	HEADER_RANGE_VERIFIED
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	model.safetensors	model.layers.1.mlp.up_proj.weight	[4864,896]	[4864,896]	BF16	WEIGHT	319528448	328244736	8716288	NA	NO_PROVEN_ALIAS	SAFETENSORS_HEADER_SHA256:bd808652be103f0e4e29786b9aa8829e0f38607880486926c7246ee2de577a76	HEADER_RANGE_VERIFIED
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	model.safetensors	model.layers.1.post_attention_layernorm.weight	[896]	[896]	BF16	WEIGHT_NORM	328244736	328246528	1792	NA	NO_PROVEN_ALIAS	SAFETENSORS_HEADER_SHA256:bd808652be103f0e4e29786b9aa8829e0f38607880486926c7246ee2de577a76	HEADER_RANGE_VERIFIED
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	model.safetensors	model.layers.1.self_attn.k_proj.bias	[128]	[128]	BF16	WEIGHT	328246528	328246784	256	NA	NO_PROVEN_ALIAS	SAFETENSORS_HEADER_SHA256:bd808652be103f0e4e29786b9aa8829e0f38607880486926c7246ee2de577a76	HEADER_RANGE_VERIFIED
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	model.safetensors	model.layers.1.self_attn.k_proj.weight	[128,896]	[128,896]	BF16	WEIGHT	328246784	328476160	229376	NA	NO_PROVEN_ALIAS	SAFETENSORS_HEADER_SHA256:bd808652be103f0e4e29786b9aa8829e0f38607880486926c7246ee2de577a76	HEADER_RANGE_VERIFIED
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	model.safetensors	model.layers.1.self_attn.o_proj.weight	[896,896]	[896,896]	BF16	WEIGHT	328476160	330081792	1605632	NA	NO_PROVEN_ALIAS	SAFETENSORS_HEADER_SHA256:bd808652be103f0e4e29786b9aa8829e0f38607880486926c7246ee2de577a76	HEADER_RANGE_VERIFIED
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	model.safetensors	model.layers.1.self_attn.q_proj.bias	[896]	[896]	BF16	WEIGHT	330081792	330083584	1792	NA	NO_PROVEN_ALIAS	SAFETENSORS_HEADER_SHA256:bd808652be103f0e4e29786b9aa8829e0f38607880486926c7246ee2de577a76	HEADER_RANGE_VERIFIED
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	model.safetensors	model.layers.1.self_attn.q_proj.weight	[896,896]	[896,896]	BF16	WEIGHT	330083584	331689216	1605632	NA	NO_PROVEN_ALIAS	SAFETENSORS_HEADER_SHA256:bd808652be103f0e4e29786b9aa8829e0f38607880486926c7246ee2de577a76	HEADER_RANGE_VERIFIED
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	model.safetensors	model.layers.1.self_attn.v_proj.bias	[128]	[128]	BF16	WEIGHT	331689216	331689472	256	NA	NO_PROVEN_ALIAS	SAFETENSORS_HEADER_SHA256:bd808652be103f0e4e29786b9aa8829e0f38607880486926c7246ee2de577a76	HEADER_RANGE_VERIFIED
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	model.safetensors	model.layers.1.self_attn.v_proj.weight	[128,896]	[128,896]	BF16	WEIGHT	331689472	331918848	229376	NA	NO_PROVEN_ALIAS	SAFETENSORS_HEADER_SHA256:bd808652be103f0e4e29786b9aa8829e0f38607880486926c7246ee2de577a76	HEADER_RANGE_VERIFIED
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	model.safetensors	model.layers.10.input_layernorm.weight	[896]	[896]	BF16	WEIGHT_NORM	331918848	331920640	1792	NA	NO_PROVEN_ALIAS	SAFETENSORS_HEADER_SHA256:bd808652be103f0e4e29786b9aa8829e0f38607880486926c7246ee2de577a76	HEADER_RANGE_VERIFIED
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	model.safetensors	model.layers.10.mlp.down_proj.weight	[896,4864]	[896,4864]	BF16	WEIGHT	331920640	340636928	8716288	NA	NO_PROVEN_ALIAS	SAFETENSORS_HEADER_SHA256:bd808652be103f0e4e29786b9aa8829e0f38607880486926c7246ee2de577a76	HEADER_RANGE_VERIFIED
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	model.safetensors	model.layers.10.mlp.gate_proj.weight	[4864,896]	[4864,896]	BF16	WEIGHT	340636928	349353216	8716288	NA	NO_PROVEN_ALIAS	SAFETENSORS_HEADER_SHA256:bd808652be103f0e4e29786b9aa8829e0f38607880486926c7246ee2de577a76	HEADER_RANGE_VERIFIED
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	model.safetensors	model.layers.10.mlp.up_proj.weight	[4864,896]	[4864,896]	BF16	WEIGHT	349353216	358069504	8716288	NA	NO_PROVEN_ALIAS	SAFETENSORS_HEADER_SHA256:bd808652be103f0e4e29786b9aa8829e0f38607880486926c7246ee2de577a76	HEADER_RANGE_VERIFIED
