sample_id	roi	compute_index	cold_variant	cold_cycles	full_roi_reference	full_roi_cycles	identity_status	context_status	interpretation
P-FFN-L0	prefill	49	F7-Lseg10	435248	F7-L10	427186	KERNEL_INDEX_JOIN_ONLY	CONFOUNDED	C14 is COLD_MICRO/STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT; binary/telemetry/context identity not sufficient for causal context attribution
P-FFN-L7	prefill	343	F7-Lseg10	437966	F7-L10	429065	KERNEL_INDEX_JOIN_ONLY	CONFOUNDED	C14 is COLD_MICRO/STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT; binary/telemetry/context identity not sufficient for causal context attribution
P-FFN-L15	prefill	679	F7-Lseg10	445451	F7-L10	427975	KERNEL_INDEX_JOIN_ONLY	CONFOUNDED	C14 is COLD_MICRO/STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT; binary/telemetry/context identity not sufficient for causal context attribution
P-AP-L0	prefill	37	F7-Lseg10	139079	F7-L10	140978	KERNEL_INDEX_JOIN_ONLY	CONFOUNDED	C14 is COLD_MICRO/STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT; binary/telemetry/context identity not sufficient for causal context attribution
P-AP-L7	prefill	331	F7-Lseg10	138163	F7-L10	141322	KERNEL_INDEX_JOIN_ONLY	CONFOUNDED	C14 is COLD_MICRO/STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT; binary/telemetry/context identity not sufficient for causal context attribution
P-AP-L15	prefill	667	F7-Lseg10	140732	F7-L10	141904	KERNEL_INDEX_JOIN_ONLY	CONFOUNDED	C14 is COLD_MICRO/STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT; binary/telemetry/context identity not sufficient for causal context attribution
P-EO-691	prefill	691	F7-Lseg10	18699542	F7-L10	18689634	KERNEL_INDEX_JOIN_ONLY	CONFOUNDED	C14 is COLD_MICRO/STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT; binary/telemetry/context identity not sufficient for causal context attribution
P-OTHER-TOP	prefill	460	F7-Lseg10	59497	F7-L10	67126	KERNEL_INDEX_JOIN_ONLY	CONFOUNDED	C14 is COLD_MICRO/STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT; binary/telemetry/context identity not sufficient for causal context attribution
N-FFN-L7	prefill	343	F0	434459	F0	429665	KERNEL_INDEX_JOIN_ONLY	CONFOUNDED	C14 is COLD_MICRO/STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT; binary/telemetry/context identity not sufficient for causal context attribution
N-AP-L7	prefill	331	F0	140838	F0	143154	KERNEL_INDEX_JOIN_ONLY	CONFOUNDED	C14 is COLD_MICRO/STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT; binary/telemetry/context identity not sufficient for causal context attribution
N-EO-691	prefill	691	F0	17581197	F0	17584269	KERNEL_INDEX_JOIN_ONLY	CONFOUNDED	C14 is COLD_MICRO/STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT; binary/telemetry/context identity not sufficient for causal context attribution
N-DECODE-FFN	decode1	592	F0	456541	F0	451763	KERNEL_INDEX_JOIN_ONLY	CONFOUNDED	C14 is COLD_MICRO/STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT; binary/telemetry/context identity not sufficient for causal context attribution
N-DECODE-AP	decode1	625	F0	127062	F0	129541	KERNEL_INDEX_JOIN_ONLY	CONFOUNDED	C14 is COLD_MICRO/STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT; binary/telemetry/context identity not sufficient for causal context attribution
N-DECODE-EO	decode1	739	F0	3758863	F0	3764252	KERNEL_INDEX_JOIN_ONLY	CONFOUNDED	C14 is COLD_MICRO/STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT; binary/telemetry/context identity not sufficient for causal context attribution
N-LOW-DELTA	decode1	424	F0	33994	F0	30202	KERNEL_INDEX_JOIN_ONLY	CONFOUNDED	C14 is COLD_MICRO/STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT; binary/telemetry/context identity not sufficient for causal context attribution
N-LOW-DELTA	decode1	424	F7-L5	33312	F0	30202	KERNEL_INDEX_JOIN_ONLY	CONFOUNDED	C14 is COLD_MICRO/STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT; binary/telemetry/context identity not sufficient for causal context attribution
N-HIGH-DELTA	decode1	739	F0	3758863	F0	3764252	KERNEL_INDEX_JOIN_ONLY	CONFOUNDED	C14 is COLD_MICRO/STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT; binary/telemetry/context identity not sufficient for causal context attribution
N-HIGH-DELTA	decode1	739	F7-L5	3730066	F0	3764252	KERNEL_INDEX_JOIN_ONLY	CONFOUNDED	C14 is COLD_MICRO/STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT; binary/telemetry/context identity not sufficient for causal context attribution
