plan_id	roi	metric	sample_windows	relative_error_fraction	relative_error_percent	relative_error_threshold_fraction	cost_interpretation	status
LAYER_ANCHOR_CHEAP_V1__B12	prefill	gpu_sim_cycle	6	32.8033034749	3280.33034749	0.05	virtual sample count; not actual wall-clock speedup	FAIL
LAYER_ANCHOR_CHEAP_V1__B12	decode1	gpu_sim_cycle	6	12.6388018008	1263.88018008	0.05	virtual sample count; not actual wall-clock speedup	FAIL
LAYER_ANCHOR_CHEAP_V1__B24	prefill	gpu_sim_cycle	12	15.8636227043	1586.36227043	0.05	virtual sample count; not actual wall-clock speedup	FAIL
LAYER_ANCHOR_CHEAP_V1__B24	decode1	gpu_sim_cycle	12	5.9501609825	595.01609825	0.05	virtual sample count; not actual wall-clock speedup	FAIL
LAYER_ANCHOR_CHEAP_V1__B48	prefill	gpu_sim_cycle	23	8.30290448691	830.290448691	0.05	virtual sample count; not actual wall-clock speedup	FAIL
LAYER_ANCHOR_CHEAP_V1__B48	decode1	gpu_sim_cycle	25	3.29451020821	329.451020821	0.05	virtual sample count; not actual wall-clock speedup	FAIL
LAYER_ANCHOR_CHEAP_V1__B8	prefill	gpu_sim_cycle	4	48.1870458711	4818.70458711	0.05	virtual sample count; not actual wall-clock speedup	FAIL
LAYER_ANCHOR_CHEAP_V1__B8	decode1	gpu_sim_cycle	4	19.4859168735	1948.59168735	0.05	virtual sample count; not actual wall-clock speedup	FAIL
STRATIFIED_RANDOM_CHEAP_V1__B12	prefill	gpu_sim_cycle	6	0.748901335064	74.8901335064	0.05	virtual sample count; not actual wall-clock speedup	FAIL
STRATIFIED_RANDOM_CHEAP_V1__B12	decode1	gpu_sim_cycle	6	0.741091754713	74.1091754713	0.05	virtual sample count; not actual wall-clock speedup	FAIL
STRATIFIED_RANDOM_CHEAP_V1__B24	prefill	gpu_sim_cycle	12	0.169842640062	16.9842640062	0.05	virtual sample count; not actual wall-clock speedup	FAIL
STRATIFIED_RANDOM_CHEAP_V1__B24	decode1	gpu_sim_cycle	12	0.0437879080962	4.37879080962	0.05	virtual sample count; not actual wall-clock speedup	PASS
STRATIFIED_RANDOM_CHEAP_V1__B48	prefill	gpu_sim_cycle	23	0.123178236325	12.3178236325	0.05	virtual sample count; not actual wall-clock speedup	FAIL
STRATIFIED_RANDOM_CHEAP_V1__B48	decode1	gpu_sim_cycle	25	0.303471450841	30.3471450841	0.05	virtual sample count; not actual wall-clock speedup	FAIL
STRATIFIED_RANDOM_CHEAP_V1__B8	prefill	gpu_sim_cycle	4	0.301542506527	30.1542506527	0.05	virtual sample count; not actual wall-clock speedup	FAIL
STRATIFIED_RANDOM_CHEAP_V1__B8	decode1	gpu_sim_cycle	4	0.848808432066	84.8808432066	0.05	virtual sample count; not actual wall-clock speedup	FAIL
STRATIFIED_REPRESENTATIVE_CHEAP_V1__B12	prefill	gpu_sim_cycle	6	32.8033034749	3280.33034749	0.05	virtual sample count; not actual wall-clock speedup	FAIL
STRATIFIED_REPRESENTATIVE_CHEAP_V1__B12	decode1	gpu_sim_cycle	6	12.6388018008	1263.88018008	0.05	virtual sample count; not actual wall-clock speedup	FAIL
STRATIFIED_REPRESENTATIVE_CHEAP_V1__B24	prefill	gpu_sim_cycle	12	15.8636227043	1586.36227043	0.05	virtual sample count; not actual wall-clock speedup	FAIL
STRATIFIED_REPRESENTATIVE_CHEAP_V1__B24	decode1	gpu_sim_cycle	12	5.9501609825	595.01609825	0.05	virtual sample count; not actual wall-clock speedup	FAIL
STRATIFIED_REPRESENTATIVE_CHEAP_V1__B48	prefill	gpu_sim_cycle	23	8.30290448691	830.290448691	0.05	virtual sample count; not actual wall-clock speedup	FAIL
STRATIFIED_REPRESENTATIVE_CHEAP_V1__B48	decode1	gpu_sim_cycle	25	3.29451020821	329.451020821	0.05	virtual sample count; not actual wall-clock speedup	FAIL
STRATIFIED_REPRESENTATIVE_CHEAP_V1__B8	prefill	gpu_sim_cycle	4	48.1870458711	4818.70458711	0.05	virtual sample count; not actual wall-clock speedup	FAIL
STRATIFIED_REPRESENTATIVE_CHEAP_V1__B8	decode1	gpu_sim_cycle	4	19.4859168735	1948.59168735	0.05	virtual sample count; not actual wall-clock speedup	FAIL
TRACE_INFORMED_ORACLE_DIAGNOSTIC_V1__B12	prefill	gpu_sim_cycle	6	0.326733849213	32.6733849213	0.05	virtual sample count; not actual wall-clock speedup	FAIL
TRACE_INFORMED_ORACLE_DIAGNOSTIC_V1__B12	decode1	gpu_sim_cycle	6	0.294011166214	29.4011166214	0.05	virtual sample count; not actual wall-clock speedup	FAIL
TRACE_INFORMED_ORACLE_DIAGNOSTIC_V1__B24	prefill	gpu_sim_cycle	12	0.276837469131	27.6837469131	0.05	virtual sample count; not actual wall-clock speedup	FAIL
TRACE_INFORMED_ORACLE_DIAGNOSTIC_V1__B24	decode1	gpu_sim_cycle	12	0.217671413543	21.7671413543	0.05	virtual sample count; not actual wall-clock speedup	FAIL
TRACE_INFORMED_ORACLE_DIAGNOSTIC_V1__B48	prefill	gpu_sim_cycle	23	0.616195432275	61.6195432275	0.05	virtual sample count; not actual wall-clock speedup	FAIL
TRACE_INFORMED_ORACLE_DIAGNOSTIC_V1__B48	decode1	gpu_sim_cycle	25	2.28777646835	228.777646835	0.05	virtual sample count; not actual wall-clock speedup	FAIL
