metric	scope	status	reason
gpu_sim_cycle	C12 historical retrospective only	SAMPLER_NOT_QUALIFIED	cheap phase/order selector has no cheap operator/shape/implementation/dtype/KV/TP features; no deterministic confidence interval
unique_64KiB_pages_KV_CACHE	C12 historical retrospective only	STRUCTURAL_ONLY	cheap phase/order selector has no cheap operator/shape/implementation/dtype/KV/TP features; no deterministic confidence interval
unique_64KiB_pages_UNKNOWN	C12 historical retrospective only	STRUCTURAL_ONLY	cheap phase/order selector has no cheap operator/shape/implementation/dtype/KV/TP features; no deterministic confidence interval
unique_64KiB_pages_WEIGHT	C12 historical retrospective only	STRUCTURAL_ONLY	cheap phase/order selector has no cheap operator/shape/implementation/dtype/KV/TP features; no deterministic confidence interval
vm_l1_tlb_accesses	C12 historical retrospective only	SAMPLER_NOT_QUALIFIED	cheap phase/order selector has no cheap operator/shape/implementation/dtype/KV/TP features; no deterministic confidence interval
vm_l1_tlb_misses	C12 historical retrospective only	SAMPLER_NOT_QUALIFIED	cheap phase/order selector has no cheap operator/shape/implementation/dtype/KV/TP features; no deterministic confidence interval
vm_l2_tlb_accesses	C12 historical retrospective only	SAMPLER_NOT_QUALIFIED	cheap phase/order selector has no cheap operator/shape/implementation/dtype/KV/TP features; no deterministic confidence interval
vm_l2_tlb_misses	C12 historical retrospective only	SAMPLER_NOT_QUALIFIED	cheap phase/order selector has no cheap operator/shape/implementation/dtype/KV/TP features; no deterministic confidence interval
vm_pte_dram_responses	C12 historical retrospective only	SAMPLER_NOT_QUALIFIED	cheap phase/order selector has no cheap operator/shape/implementation/dtype/KV/TP features; no deterministic confidence interval
vm_pte_requests	C12 historical retrospective only	SAMPLER_NOT_QUALIFIED	cheap phase/order selector has no cheap operator/shape/implementation/dtype/KV/TP features; no deterministic confidence interval
vm_translation_walk_starts	C12 historical retrospective only	SAMPLER_NOT_QUALIFIED	cheap phase/order selector has no cheap operator/shape/implementation/dtype/KV/TP features; no deterministic confidence interval
