plan_id	split_id	source_roi	reference_arm	candidate_arm	metric	reference_value	estimate	absolute_error	relative_error	percentage_point_error	interval_kind	interval_low	interval_high	effect_reference	effect_estimate	effect_resolution	prediction_verdict	validation_verdict	test_set_previously_seen	scope
LAYER_ANCHOR_CHEAP_V1__B12	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_WEIGHT	15443	8178	7265	0.470439681409	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
LAYER_ANCHOR_CHEAP_V1__B12	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_KV_CACHE	64	14	50	0.78125	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
LAYER_ANCHOR_CHEAP_V1__B12	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_UNKNOWN	2161	2118	43	0.01989819528	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	PASS	PASS	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
LAYER_ANCHOR_CHEAP_V1__B24	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_WEIGHT	15443	8085	7358	0.476461827365	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
LAYER_ANCHOR_CHEAP_V1__B24	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_KV_CACHE	64	2	62	0.96875	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
LAYER_ANCHOR_CHEAP_V1__B24	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_UNKNOWN	2161	2082	79	0.0365571494678	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	PASS	PASS	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
LAYER_ANCHOR_CHEAP_V1__B48	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_WEIGHT	15443	8343	7100	0.459755228906	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
LAYER_ANCHOR_CHEAP_V1__B48	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_KV_CACHE	64	28	36	0.5625	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
LAYER_ANCHOR_CHEAP_V1__B48	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_UNKNOWN	2161	2116	45	0.0208236927348	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	PASS	PASS	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
LAYER_ANCHOR_CHEAP_V1__B8	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_WEIGHT	15443	8025	7418	0.480347082821	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
LAYER_ANCHOR_CHEAP_V1__B8	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_KV_CACHE	64	0	64	1	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
LAYER_ANCHOR_CHEAP_V1__B8	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_UNKNOWN	2161	2073	88	0.0407218880148	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	PASS	PASS	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
STRATIFIED_RANDOM_CHEAP_V1__B12	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_WEIGHT	15443	1	15442	0.999935245742	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
STRATIFIED_RANDOM_CHEAP_V1__B12	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_KV_CACHE	64	12	52	0.8125	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
STRATIFIED_RANDOM_CHEAP_V1__B12	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_UNKNOWN	2161	150	2011	0.930587690884	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
STRATIFIED_RANDOM_CHEAP_V1__B24	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_WEIGHT	15443	260	15183	0.983163893026	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
STRATIFIED_RANDOM_CHEAP_V1__B24	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_KV_CACHE	64	16	48	0.75	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
