plan_id	universe_hash	basis	stratum	total_mass	represented_stratum_mass	actually_sampled_mass	represented_fraction	sampled_fraction	missing_categories	audited_tail_fraction	status
LAYER_ANCHOR_CHEAP_V1__B8	0ebd92be4c2a97c74b602da14b32d8e6b4076ca412903c33b59fc03dc49ee4af	compute_kernels	prefill	692	692	4	1	0.00578034682081	operator/implementation/dtype/shape/KV/TP unavailable to cheap historical directory	0.5	INFEASIBLE_FINE_STRATA
LAYER_ANCHOR_CHEAP_V1__B8	0ebd92be4c2a97c74b602da14b32d8e6b4076ca412903c33b59fc03dc49ee4af	compute_kernels	decode1	740	740	4	1	0.00540540540541	operator/implementation/dtype/shape/KV/TP unavailable to cheap historical directory	0.5	INFEASIBLE_FINE_STRATA
LAYER_ANCHOR_CHEAP_V1__B12	0ebd92be4c2a97c74b602da14b32d8e6b4076ca412903c33b59fc03dc49ee4af	compute_kernels	prefill	692	692	6	1	0.00867052023121	operator/implementation/dtype/shape/KV/TP unavailable to cheap historical directory	0.333333333333	INFEASIBLE_FINE_STRATA
LAYER_ANCHOR_CHEAP_V1__B12	0ebd92be4c2a97c74b602da14b32d8e6b4076ca412903c33b59fc03dc49ee4af	compute_kernels	decode1	740	740	6	1	0.00810810810811	operator/implementation/dtype/shape/KV/TP unavailable to cheap historical directory	0.333333333333	INFEASIBLE_FINE_STRATA
LAYER_ANCHOR_CHEAP_V1__B24	0ebd92be4c2a97c74b602da14b32d8e6b4076ca412903c33b59fc03dc49ee4af	compute_kernels	prefill	692	692	12	1	0.0173410404624	operator/implementation/dtype/shape/KV/TP unavailable to cheap historical directory	0.166666666667	INFEASIBLE_FINE_STRATA
LAYER_ANCHOR_CHEAP_V1__B24	0ebd92be4c2a97c74b602da14b32d8e6b4076ca412903c33b59fc03dc49ee4af	compute_kernels	decode1	740	740	12	1	0.0162162162162	operator/implementation/dtype/shape/KV/TP unavailable to cheap historical directory	0.166666666667	INFEASIBLE_FINE_STRATA
LAYER_ANCHOR_CHEAP_V1__B48	0ebd92be4c2a97c74b602da14b32d8e6b4076ca412903c33b59fc03dc49ee4af	compute_kernels	prefill	692	692	23	1	0.0332369942197	operator/implementation/dtype/shape/KV/TP unavailable to cheap historical directory	0.0869565217391	INFEASIBLE_FINE_STRATA
LAYER_ANCHOR_CHEAP_V1__B48	0ebd92be4c2a97c74b602da14b32d8e6b4076ca412903c33b59fc03dc49ee4af	compute_kernels	decode1	740	740	25	1	0.0337837837838	operator/implementation/dtype/shape/KV/TP unavailable to cheap historical directory	0.08	INFEASIBLE_FINE_STRATA
STRATIFIED_REPRESENTATIVE_CHEAP_V1__B8	0ebd92be4c2a97c74b602da14b32d8e6b4076ca412903c33b59fc03dc49ee4af	compute_kernels	prefill	692	692	4	1	0.00578034682081	operator/implementation/dtype/shape/KV/TP unavailable to cheap historical directory	0.5	COMPLETE
STRATIFIED_REPRESENTATIVE_CHEAP_V1__B8	0ebd92be4c2a97c74b602da14b32d8e6b4076ca412903c33b59fc03dc49ee4af	compute_kernels	decode1	740	740	4	1	0.00540540540541	operator/implementation/dtype/shape/KV/TP unavailable to cheap historical directory	0.5	COMPLETE
STRATIFIED_REPRESENTATIVE_CHEAP_V1__B12	0ebd92be4c2a97c74b602da14b32d8e6b4076ca412903c33b59fc03dc49ee4af	compute_kernels	prefill	692	692	6	1	0.00867052023121	operator/implementation/dtype/shape/KV/TP unavailable to cheap historical directory	0.333333333333	COMPLETE
STRATIFIED_REPRESENTATIVE_CHEAP_V1__B12	0ebd92be4c2a97c74b602da14b32d8e6b4076ca412903c33b59fc03dc49ee4af	compute_kernels	decode1	740	740	6	1	0.00810810810811	operator/implementation/dtype/shape/KV/TP unavailable to cheap historical directory	0.333333333333	COMPLETE
STRATIFIED_REPRESENTATIVE_CHEAP_V1__B24	0ebd92be4c2a97c74b602da14b32d8e6b4076ca412903c33b59fc03dc49ee4af	compute_kernels	prefill	692	692	12	1	0.0173410404624	operator/implementation/dtype/shape/KV/TP unavailable to cheap historical directory	0.166666666667	COMPLETE
STRATIFIED_REPRESENTATIVE_CHEAP_V1__B24	0ebd92be4c2a97c74b602da14b32d8e6b4076ca412903c33b59fc03dc49ee4af	compute_kernels	decode1	740	740	12	1	0.0162162162162	operator/implementation/dtype/shape/KV/TP unavailable to cheap historical directory	0.166666666667	COMPLETE
STRATIFIED_REPRESENTATIVE_CHEAP_V1__B48	0ebd92be4c2a97c74b602da14b32d8e6b4076ca412903c33b59fc03dc49ee4af	compute_kernels	prefill	692	692	23	1	0.0332369942197	operator/implementation/dtype/shape/KV/TP unavailable to cheap historical directory	0.0869565217391	COMPLETE
STRATIFIED_REPRESENTATIVE_CHEAP_V1__B48	0ebd92be4c2a97c74b602da14b32d8e6b4076ca412903c33b59fc03dc49ee4af	compute_kernels	decode1	740	740	25	1	0.0337837837838	operator/implementation/dtype/shape/KV/TP unavailable to cheap historical directory	0.08	COMPLETE
STRATIFIED_RANDOM_CHEAP_V1__B8	0ebd92be4c2a97c74b602da14b32d8e6b4076ca412903c33b59fc03dc49ee4af	compute_kernels	prefill	692	692	4	1	0.00578034682081	operator/implementation/dtype/shape/KV/TP unavailable to cheap historical directory	0.5	COMPLETE
STRATIFIED_RANDOM_CHEAP_V1__B8	0ebd92be4c2a97c74b602da14b32d8e6b4076ca412903c33b59fc03dc49ee4af	compute_kernels	decode1	740	740	4	1	0.00540540540541	operator/implementation/dtype/shape/KV/TP unavailable to cheap historical directory	0.5	COMPLETE
STRATIFIED_RANDOM_CHEAP_V1__B12	0ebd92be4c2a97c74b602da14b32d8e6b4076ca412903c33b59fc03dc49ee4af	compute_kernels	prefill	692	692	6	1	0.00867052023121	operator/implementation/dtype/shape/KV/TP unavailable to cheap historical directory	0.333333333333	COMPLETE
STRATIFIED_RANDOM_CHEAP_V1__B12	0ebd92be4c2a97c74b602da14b32d8e6b4076ca412903c33b59fc03dc49ee4af	compute_kernels	decode1	740	740	6	1	0.00810810810811	operator/implementation/dtype/shape/KV/TP unavailable to cheap historical directory	0.333333333333	COMPLETE
STRATIFIED_RANDOM_CHEAP_V1__B24	0ebd92be4c2a97c74b602da14b32d8e6b4076ca412903c33b59fc03dc49ee4af	compute_kernels	prefill	692	692	12	1	0.0173410404624	operator/implementation/dtype/shape/KV/TP unavailable to cheap historical directory	0.166666666667	COMPLETE
STRATIFIED_RANDOM_CHEAP_V1__B24	0ebd92be4c2a97c74b602da14b32d8e6b4076ca412903c33b59fc03dc49ee4af	compute_kernels	decode1	740	740	12	1	0.0162162162162	operator/implementation/dtype/shape/KV/TP unavailable to cheap historical directory	0.166666666667	COMPLETE
STRATIFIED_RANDOM_CHEAP_V1__B48	0ebd92be4c2a97c74b602da14b32d8e6b4076ca412903c33b59fc03dc49ee4af	compute_kernels	prefill	692	692	23	1	0.0332369942197	operator/implementation/dtype/shape/KV/TP unavailable to cheap historical directory	0.0869565217391	COMPLETE
STRATIFIED_RANDOM_CHEAP_V1__B48	0ebd92be4c2a97c74b602da14b32d8e6b4076ca412903c33b59fc03dc49ee4af	compute_kernels	decode1	740	740	25	1	0.0337837837838	operator/implementation/dtype/shape/KV/TP unavailable to cheap historical directory	0.08	COMPLETE
TRACE_INFORMED_ORACLE_DIAGNOSTIC_V1__B8	0ebd92be4c2a97c74b602da14b32d8e6b4076ca412903c33b59fc03dc49ee4af	compute_kernels	prefill	692	692	4	1	0.00578034682081	operator/implementation/dtype/shape/KV/TP unavailable to cheap historical directory	0.5	COMPLETE
TRACE_INFORMED_ORACLE_DIAGNOSTIC_V1__B8	0ebd92be4c2a97c74b602da14b32d8e6b4076ca412903c33b59fc03dc49ee4af	compute_kernels	decode1	740	740	4	1	0.00540540540541	operator/implementation/dtype/shape/KV/TP unavailable to cheap historical directory	0.5	COMPLETE
TRACE_INFORMED_ORACLE_DIAGNOSTIC_V1__B12	0ebd92be4c2a97c74b602da14b32d8e6b4076ca412903c33b59fc03dc49ee4af	compute_kernels	prefill	692	692	6	1	0.00867052023121	operator/implementation/dtype/shape/KV/TP unavailable to cheap historical directory	0.333333333333	COMPLETE
TRACE_INFORMED_ORACLE_DIAGNOSTIC_V1__B12	0ebd92be4c2a97c74b602da14b32d8e6b4076ca412903c33b59fc03dc49ee4af	compute_kernels	decode1	740	740	6	1	0.00810810810811	operator/implementation/dtype/shape/KV/TP unavailable to cheap historical directory	0.333333333333	COMPLETE
TRACE_INFORMED_ORACLE_DIAGNOSTIC_V1__B24	0ebd92be4c2a97c74b602da14b32d8e6b4076ca412903c33b59fc03dc49ee4af	compute_kernels	prefill	692	692	12	1	0.0173410404624	operator/implementation/dtype/shape/KV/TP unavailable to cheap historical directory	0.166666666667	COMPLETE
TRACE_INFORMED_ORACLE_DIAGNOSTIC_V1__B24	0ebd92be4c2a97c74b602da14b32d8e6b4076ca412903c33b59fc03dc49ee4af	compute_kernels	decode1	740	740	12	1	0.0162162162162	operator/implementation/dtype/shape/KV/TP unavailable to cheap historical directory	0.166666666667	COMPLETE
TRACE_INFORMED_ORACLE_DIAGNOSTIC_V1__B48	0ebd92be4c2a97c74b602da14b32d8e6b4076ca412903c33b59fc03dc49ee4af	compute_kernels	prefill	692	692	23	1	0.0332369942197	operator/implementation/dtype/shape/KV/TP unavailable to cheap historical directory	0.0869565217391	COMPLETE
TRACE_INFORMED_ORACLE_DIAGNOSTIC_V1__B48	0ebd92be4c2a97c74b602da14b32d8e6b4076ca412903c33b59fc03dc49ee4af	compute_kernels	decode1	740	740	25	1	0.0337837837838	operator/implementation/dtype/shape/KV/TP unavailable to cheap historical directory	0.08	COMPLETE
