model_variant	model_id	model_revision	scenario	input_class	batch	context_tokens	decode_steps	token_count	token_payload_sha256	binding_sha256	authority_path	authority_status	notes
DeepSeek-V2-Lite	deepseek-ai/DeepSeek-V2-Lite	604d5664dddd88a0433dbae533b7fe9472482de0	ALL	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	/root/share/c16_recovery_v3/models/deepseek_v2_lite	NO_HISTORICAL_FROZEN_BINDING	preserved; no new binding created
Llama-3.2-1B	meta-llama/Llama-3.2-1B	4e20de362430cd3b72f300e6b0f18e50e7166e08	S0_TEXT	TEXT	1	128	4	128	fc712eb0a158f0fe62231f7826feec3eaabfea51906ca6b1588a55ee81ae3624	7e3c285f0417291fb53faccf222709c8824d94ee90ab887b718d6b8221c8bc0b	/root/share/mnt164/huangrulin/c16_ai_workload/provenance/catalog/C16_AUTHORITY_METADATA_SEED_V1/ADOPTED_LLAMA_INPUT_RECEIPT.json	FUTURE_ADOPTED_S0_AUTHORITY_NOT_HISTORICAL_RECOVERY	future-use only; historical frozen input not recovered
Qwen2.5-0.5B-Instruct	Qwen/Qwen2.5-0.5B-Instruct	7ae557604adf67be50417f59c2c2f167def9a775	S0_TEXT	TEXT	1	128	4	128	7a24af1da33394a34bc7a637399d44ab46091557330cb13da4bcec05eab307f7	119ae14724398e5c59e7a986ce5b4219d010a0051b5a449a7e5b388d76907e6a	/root/share/c16_recovery_v3/staging/qwen2p5_0p5b_instruct_p1_inputs_v2/a_assets/TOKEN_RECEIPTS/c16_qwen25_05b_native_reference/TEXT_T128.json	HASH_CLOSED_TOKEN_RECEIPT	Exact token receipt path and hash
Qwen2.5-0.5B-Instruct	Qwen/Qwen2.5-0.5B-Instruct	7ae557604adf67be50417f59c2c2f167def9a775	S1_CODE	CODE	1	256	16	256	1719ecb01893214142873fe234599a747b40e6f8aefe0227f267bfd9540ea424	UNKNOWN_FROM_AUTHORITY_BASIS	/root/share/c16_recovery_v3/staging/qwen2p5_0p5b_instruct_p1_inputs_v2/a_assets/TOKEN_RECEIPTS/c16_qwen25_05b_native_reference/CODE_T256.json	HASH_CLOSED_TOKEN_RECEIPT	Exact token receipt path and hash
Qwen2.5-0.5B-Instruct	Qwen/Qwen2.5-0.5B-Instruct	7ae557604adf67be50417f59c2c2f167def9a775	S2_CODE	CODE	1	2048	32	2048	1d90d02a3261d7adf82e347c906bf05ee0577cf1c70aabe6d2c416bba56f0a22	UNKNOWN_FROM_AUTHORITY_BASIS	/root/share/c16_recovery_v3/staging/qwen2p5_0p5b_instruct_p1_inputs_v2/a_assets/TOKEN_RECEIPTS/c16_qwen25_05b_native_reference/CODE_T2048.json	HASH_CLOSED_TOKEN_RECEIPT	Exact token receipt path and hash
Qwen2.5-0.5B-Instruct	Qwen/Qwen2.5-0.5B-Instruct	7ae557604adf67be50417f59c2c2f167def9a775	S2_STRUCTURED	STRUCTURED	1	2048	32	2048	dddcfb28d6cd52e285f8e7102d81a4c92d19f2ab867ffb91b22083dcc5436237	UNKNOWN_FROM_AUTHORITY_BASIS	/root/share/c16_recovery_v3/staging/qwen2p5_0p5b_instruct_p1_inputs_v2/a_assets/TOKEN_RECEIPTS/c16_qwen25_05b_native_reference/STRUCTURED_T2048.json	HASH_CLOSED_TOKEN_RECEIPT	Exact token receipt path and hash
Qwen2.5-0.5B-Instruct	Qwen/Qwen2.5-0.5B-Instruct	7ae557604adf67be50417f59c2c2f167def9a775	S2_TEXT	TEXT	1	2048	32	2048	099d5c9cc204c2d561b3533631e5a75446d183cac5b71b2d7337bef0954efc31	UNKNOWN_FROM_AUTHORITY_BASIS	/root/share/c16_recovery_v3/staging/qwen2p5_0p5b_instruct_p1_inputs_v2/a_assets/TOKEN_RECEIPTS/c16_qwen25_05b_native_reference/TEXT_T2048.json	HASH_CLOSED_TOKEN_RECEIPT	Exact token receipt path and hash
Qwen2.5-0.5B-Instruct	Qwen/Qwen2.5-0.5B-Instruct	7ae557604adf67be50417f59c2c2f167def9a775	S3_TEXT	TEXT	1	8192	16	8192	4795f7012e3ce0e1b7b1c157925a57d89c8965f713360aaa2216a7ec3ff43b1f	UNKNOWN_FROM_AUTHORITY_BASIS	/root/share/c16_recovery_v3/staging/qwen2p5_0p5b_instruct_p1_inputs_v2/a_assets/TOKEN_RECEIPTS/c16_qwen25_05b_native_reference/TEXT_T8192.json	HASH_CLOSED_TOKEN_RECEIPT	Exact token receipt path and hash
Qwen2.5-0.5B-Instruct	Qwen/Qwen2.5-0.5B-Instruct	7ae557604adf67be50417f59c2c2f167def9a775	S4_STRUCTURED	STRUCTURED	4	2048	16	2048	dddcfb28d6cd52e285f8e7102d81a4c92d19f2ab867ffb91b22083dcc5436237	UNKNOWN_FROM_AUTHORITY_BASIS	/root/share/c16_recovery_v3/staging/qwen2p5_0p5b_instruct_p1_inputs_v2/a_assets/TOKEN_RECEIPTS/c16_qwen25_05b_native_reference/STRUCTURED_T2048.json	HASH_CLOSED_TOKEN_RECEIPT	S4 deliberately reuses the S2 structured payload
Qwen2.5-7B-Instruct raw	Qwen/Qwen2.5-7B-Instruct	a09a35458c702b33eeacc393d103063234e8bc28	S0_TEXT	TEXT	1	128	4	128	47686a0239b496ad096cb25fa326e081d9fbadb2b589b6116e4a852dd50f4ffe	1006bf06419bd8425caecfa8bb7af4470a013637f1e13d1fc760ed9bce505634	/root/share/c16_recovery_v3/staging/qwen2p5_7b_raw_p2_inputs_v1/a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_raw_reference/TEXT_T128.json	MODEL_INPUT_TOKEN_RECEIPT	Exact token receipt path and hash
Qwen2.5-7B-Instruct raw	Qwen/Qwen2.5-7B-Instruct	a09a35458c702b33eeacc393d103063234e8bc28	S1_CODE	CODE	1	256	16	256	b4cd53cabfecb38410ad72d76f488bb14aae3c86318ff7ee45a44bd1baff2155	e3313161185d8fd109533058248224337099a65a0e3beb7ffa4b87fac9dfc29a	/root/share/c16_recovery_v3/staging/qwen2p5_7b_raw_p2_inputs_v1/a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_raw_reference/CODE_T256.json	RUNTIME_BINDING	Exact token receipt path and hash
