tensor_name	logical_group	decoder_layer_id	submodule_role	source_shard	source_shard_sha256_or_receipt_identity	dtype	shape	numel	exact_tensor_bytes
lm_head.weight	lm_head/output		lm_head	model-00004-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	152064x3584	544997376	1089994752
model.embed_tokens.weight	embeddings		embeddings	model-00001-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	152064x3584	544997376	1089994752
model.layers.0.input_layernorm.weight	decoder layer 0 norm-other	0	norm-other:input_layernorm.weight	model-00001-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584	3584	7168
model.layers.0.mlp.down_proj.weight	decoder layer 0 MLP	0	MLP:mlp.down_proj.weight	model-00001-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584x18944	67895296	135790592
model.layers.0.mlp.gate_proj.weight	decoder layer 0 MLP	0	MLP:mlp.gate_proj.weight	model-00001-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	18944x3584	67895296	135790592
model.layers.0.mlp.up_proj.weight	decoder layer 0 MLP	0	MLP:mlp.up_proj.weight	model-00001-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	18944x3584	67895296	135790592
model.layers.0.post_attention_layernorm.weight	decoder layer 0 norm-other	0	norm-other:post_attention_layernorm.weight	model-00001-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584	3584	7168
model.layers.0.self_attn.k_proj.bias	decoder layer 0 attention	0	attention:self_attn.k_proj.bias	model-00001-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	512	512	1024
model.layers.0.self_attn.k_proj.weight	decoder layer 0 attention	0	attention:self_attn.k_proj.weight	model-00001-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	512x3584	1835008	3670016
model.layers.0.self_attn.o_proj.weight	decoder layer 0 attention	0	attention:self_attn.o_proj.weight	model-00001-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584x3584	12845056	25690112
model.layers.0.self_attn.q_proj.bias	decoder layer 0 attention	0	attention:self_attn.q_proj.bias	model-00001-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584	3584	7168
model.layers.0.self_attn.q_proj.weight	decoder layer 0 attention	0	attention:self_attn.q_proj.weight	model-00001-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584x3584	12845056	25690112
model.layers.0.self_attn.v_proj.bias	decoder layer 0 attention	0	attention:self_attn.v_proj.bias	model-00001-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	512	512	1024
model.layers.0.self_attn.v_proj.weight	decoder layer 0 attention	0	attention:self_attn.v_proj.weight	model-00001-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	512x3584	1835008	3670016
model.layers.1.input_layernorm.weight	decoder layer 1 norm-other	1	norm-other:input_layernorm.weight	model-00001-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584	3584	7168
model.layers.1.mlp.down_proj.weight	decoder layer 1 MLP	1	MLP:mlp.down_proj.weight	model-00001-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584x18944	67895296	135790592
model.layers.1.mlp.gate_proj.weight	decoder layer 1 MLP	1	MLP:mlp.gate_proj.weight	model-00001-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	18944x3584	67895296	135790592
model.layers.1.mlp.up_proj.weight	decoder layer 1 MLP	1	MLP:mlp.up_proj.weight	model-00001-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	18944x3584	67895296	135790592
model.layers.1.post_attention_layernorm.weight	decoder layer 1 norm-other	1	norm-other:post_attention_layernorm.weight	model-00001-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584	3584	7168
model.layers.1.self_attn.k_proj.bias	decoder layer 1 attention	1	attention:self_attn.k_proj.bias	model-00001-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	512	512	1024
model.layers.1.self_attn.k_proj.weight	decoder layer 1 attention	1	attention:self_attn.k_proj.weight	model-00001-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	512x3584	1835008	3670016
model.layers.1.self_attn.o_proj.weight	decoder layer 1 attention	1	attention:self_attn.o_proj.weight	model-00001-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584x3584	12845056	25690112
model.layers.1.self_attn.q_proj.bias	decoder layer 1 attention	1	attention:self_attn.q_proj.bias	model-00001-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584	3584	7168
