run	static_index	classification	events	pages4k	pages64k	pages2m	lines128	format
C16R_deepseek-v2-lite_s2-text_decode_nvbit-warp-mref-shard_v26-qk-mixed_20260917T130000Z_c26c26c26c26	55	EXECUTED_SHARD	263168	2	1	1	16	PASS
C16R_deepseek-v2-lite_s2-text_decode_nvbit-warp-mref-shard_v26-qk-mixed_20260917T130000Z_c26c26c26c26	61	EXECUTED_SHARD	263168	2	1	1	16	PASS
C16R_deepseek-v2-lite_s2-text_decode_nvbit-warp-mref-shard_v26-qk-mixed_20260917T130000Z_c26c26c26c26	68	EXECUTED_SHARD	263168	2	1	1	16	PASS
C16R_deepseek-v2-lite_s2-text_decode_nvbit-warp-mref-shard_v26-qk-mixed_20260917T130000Z_c26c26c26c26	101	EXECUTED_SHARD	524544	3074	193	7	32784	PASS
C16R_deepseek-v2-lite_s2-text_decode_nvbit-warp-mref-shard_v26-qk-mixed_20260917T130000Z_c26c26c26c26	102	EXECUTED_SHARD	524544	3074	193	7	32784	PASS
C16R_deepseek-v2-lite_s2-text_decode_nvbit-warp-mref-shard_v26-qk-mixed_20260917T130000Z_c26c26c26c26	103	EXECUTED_SHARD	524544	3074	193	7	32784	PASS
C16R_deepseek-v2-lite_s2-text_decode_nvbit-warp-mref-shard_v26-qk-mixed_20260917T130000Z_c26c26c26c26	104	EXECUTED_SHARD	524544	3074	193	7	32784	PASS
C16R_deepseek-v2-lite_s2-text_decode_nvbit-warp-mref-shard_v26-qk-mixed_20260917T130000Z_c26c26c26c26	105	EXECUTED_SHARD	524544	3074	193	7	32784	PASS
C16R_deepseek-v2-lite_s2-text_decode_nvbit-warp-mref-shard_v26-qk-mixed_20260917T130000Z_c26c26c26c26	106	EXECUTED_SHARD	524544	3074	193	7	32784	PASS
C16R_deepseek-v2-lite_s2-text_decode_nvbit-warp-mref-shard_v26-qk-mixed_20260917T130000Z_c26c26c26c26	107	EXECUTED_SHARD	524544	3074	193	7	32784	PASS
C16R_deepseek-v2-lite_s2-text_decode_nvbit-warp-mref-shard_v26-qk-mixed_20260917T130000Z_c26c26c26c26	108	EXECUTED_SHARD	524544	3074	193	7	32784	PASS
C16R_deepseek-v2-lite_s2-text_decode_nvbit-warp-mref-shard_v26-qk-mixed_20260917T130000Z_c26c26c26c26	147	EXECUTED_SHARD	524544	3074	193	7	32784	PASS
