global_dynamic_order	decode_iteration	exact_function	grid	block	stream	semantic_layer	semantic_identity	trace_artifact	size_bytes	context	device_reported	receiver_accepted	raw_records	drop_count	overflow_count	reported_path	xz_integrity
2926	1	void at::native::(anonymous namespace)::indexSelectSmallIndex<c10::Half, long, unsigned int, 2, 2, -2>(at::cuda::detail::TensorInfo<c10::Half, unsigned int>, at::cuda::detail::TensorInfo<c10::Half const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, long)	28,1,1	128,1,1	0		UNKNOWN	kernel-2926-ctx_0x5c1527a3dbe0.trace.xz	43600	0x5c1527a3dbe0	10416	10416	10416	0	0	/data/c16/e1_bounded_decode_trace_v1/formal_d1_d3_20260925_v3/raw/kernel-2926-ctx_0x5c1527a3dbe0.trace.xz	PASS
2927	1	void (anonymous namespace)::elementwise_kernel_with_index<int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}, function_traits<at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>::result_type*)	1,1,1	64,1,1	0		UNKNOWN	kernel-2927-ctx_0x5c1527a3dbe0.trace.xz	780	0x5c1527a3dbe0	23	23	23	0	0	/data/c16/e1_bounded_decode_trace_v1/formal_d1_d3_20260925_v3/raw/kernel-2927-ctx_0x5c1527a3dbe0.trace.xz	PASS
2928	1	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)	1,1,1	128,1,1	0		UNKNOWN	kernel-2928-ctx_0x5c1527a3dbe0.trace.xz	1368	0x5c1527a3dbe0	118	118	118	0	0	/data/c16/e1_bounded_decode_trace_v1/formal_d1_d3_20260925_v3/raw/kernel-2928-ctx_0x5c1527a3dbe0.trace.xz	PASS
2929	1	void gemmk1_kernel<int, float, 256, 5, true, false, false, false, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float, 0>(cublasGemmk1Params<float, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float, biasType<cublasGemvTensorStridedBatched<float>::value_type, float>::type>)	2,1,1	256,1,1	0		UNKNOWN	kernel-2929-ctx_0x5c1527a3dbe0.trace.xz	3988	0x5c1527a3dbe0	992	992	992	0	0	/data/c16/e1_bounded_decode_trace_v1/formal_d1_d3_20260925_v3/raw/kernel-2929-ctx_0x5c1527a3dbe0.trace.xz	PASS
2930	1	void at::native::(anonymous namespace)::CatArrayBatchedCopy_aligned16_contig<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 3, 128, 1>(at::native::(anonymous namespace)::OpaqueType<4u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)	1,2,1	128,1,1	0		UNKNOWN	kernel-2930-ctx_0x5c1527a3dbe0.trace.xz	2704	0x5c1527a3dbe0	408	408	408	0	0	/data/c16/e1_bounded_decode_trace_v1/formal_d1_d3_20260925_v3/raw/kernel-2930-ctx_0x5c1527a3dbe0.trace.xz	PASS
2931	1	void at::native::vectorized_elementwise_kernel<4, at::native::cos_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2> >(int, at::native::cos_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2>)	1,1,1	128,1,1	0		UNKNOWN	kernel-2931-ctx_0x5c1527a3dbe0.trace.xz	1940	0x5c1527a3dbe0	292	292	292	0	0	/data/c16/e1_bounded_decode_trace_v1/formal_d1_d3_20260925_v3/raw/kernel-2931-ctx_0x5c1527a3dbe0.trace.xz	PASS
2932	1	void at::native::vectorized_elementwise_kernel<4, at::native::sin_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2> >(int, at::native::sin_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2>)	1,1,1	128,1,1	0		UNKNOWN	kernel-2932-ctx_0x5c1527a3dbe0.trace.xz	1908	0x5c1527a3dbe0	288	288	288	0	0	/data/c16/e1_bounded_decode_trace_v1/formal_d1_d3_20260925_v3/raw/kernel-2932-ctx_0x5c1527a3dbe0.trace.xz	PASS
2933	1	void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2> >(int, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2>)	1,1,1	128,1,1	0		UNKNOWN	kernel-2933-ctx_0x5c1527a3dbe0.trace.xz	1144	0x5c1527a3dbe0	128	128	128	0	0	/data/c16/e1_bounded_decode_trace_v1/formal_d1_d3_20260925_v3/raw/kernel-2933-ctx_0x5c1527a3dbe0.trace.xz	PASS
2934	1	void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2> >(int, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2>)	1,1,1	128,1,1	0		UNKNOWN	kernel-2934-ctx_0x5c1527a3dbe0.trace.xz	1128	0x5c1527a3dbe0	128	128	128	0	0	/data/c16/e1_bounded_decode_trace_v1/formal_d1_d3_20260925_v3/raw/kernel-2934-ctx_0x5c1527a3dbe0.trace.xz	PASS
2935	1	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1}, at::detail::Array<char*, 2>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1}, at::detail::Array<char*, 2>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)	1,1,1	128,1,1	0		UNKNOWN	kernel-2935-ctx_0x5c1527a3dbe0.trace.xz	1820	0x5c1527a3dbe0	260	260	260	0	0	/data/c16/e1_bounded_decode_trace_v1/formal_d1_d3_20260925_v3/raw/kernel-2935-ctx_0x5c1527a3dbe0.trace.xz	PASS
