global_dynamic_order	traceg_artifact	size_bytes	thread_blocks	instructions	trace_version	opcode_counts_json	grammar_status
2926	kernel-2926-ctx_0x5c1527a3dbe0.traceg.xz	2148	28	10416	5	"{""BRA"":448,""BSSY"":224,""BSYNC"":224,""EXIT"":224,""F2I.FTZ.U32.TRUNC.NTZ"":224,""I2F.U32.RP"":224,""IADD3"":1456,""IMAD"":1680,""IMAD.HI.U32"":448,""IMAD.IADD"":112,""IMAD.MOV"":336,""IMAD.MOV.U32"":448,""IMAD.WIDE.U32"":336,""ISETP.GE.AND.EX"":112,""ISETP.GE.U32.AND"":896,""ISETP.NE.AND"":112,""ISETP.NE.U32.AND"":224,""LDG.E"":112,""LDG.E.U16"":112,""LOP3.LUT"":224,""MOV"":448,""MUFU.RCP"":224,""S2R"":224,""SEL"":224,""STG.E.U16"":112,""UIMAD"":224,""ULDC"":448,""ULDC.64"":224,""UMOV"":112}"	TRACEG_GRAMMAR_PASS
2927	kernel-2927-ctx_0x5c1527a3dbe0.traceg.xz	796	1	23	5	"{""EXIT"":3,""IADD3"":1,""IMAD"":2,""IMAD.WIDE"":1,""IMAD.WIDE.U32"":1,""ISETP.GE.AND"":2,""LEA"":2,""MOV"":4,""S2R"":4,""SHF.R.S32.HI"":1,""STG.E.64"":1,""ULDC.64"":1}"	TRACEG_GRAMMAR_PASS
2928	kernel-2928-ctx_0x5c1527a3dbe0.traceg.xz	1260	1	118	5	"{""BRA"":18,""BSSY"":5,""BSYNC"":6,""EXIT"":5,""I2F.S64"":1,""IADD3"":4,""IMAD"":9,""IMAD.MOV.U32"":26,""IMAD.X"":2,""ISETP.GE.AND"":10,""ISETP.GT.AND"":6,""ISETP.NE.AND"":5,""LDC.U8"":2,""LDG.E.64"":1,""P2R"":2,""PRMT"":2,""S2R"":9,""STG.E"":1,""ULDC.64"":4}"	TRACEG_GRAMMAR_PASS
2929	kernel-2929-ctx_0x5c1527a3dbe0.traceg.xz	1460	2	992	5	"{""BAR.SYNC"":16,""BRA"":84,""BSSY"":48,""BSYNC"":50,""EXIT"":32,""FMUL"":18,""FSETP.NEU.AND"":16,""IADD3"":34,""IMAD"":108,""IMAD.IADD"":16,""IMAD.MOV.U32"":112,""IMAD.SHL.U32"":16,""IMAD.WIDE.U32"":20,""ISETP.GE.AND"":100,""ISETP.GT.AND"":14,""ISETP.NE.AND"":16,""LDG.E"":36,""LDS"":32,""LEA"":20,""LEA.HI.X"":20,""LOP3.LUT"":16,""MOV"":32,""S2R"":64,""SHF.R.S32.HI"":36,""STG.E"":16,""STS"":4,""ULDC.64"":16}"	TRACEG_GRAMMAR_PASS
2930	kernel-2930-ctx_0x5c1527a3dbe0.traceg.xz	2052	2	408	5	"{""BRA"":4,""BSSY"":2,""BSYNC"":2,""EXIT"":10,""F2I.FTZ.U32.TRUNC.NTZ"":4,""I2F.U32.RP"":4,""IADD3"":62,""IMAD"":88,""IMAD.HI.U32"":20,""IMAD.IADD"":10,""IMAD.MOV"":26,""IMAD.MOV.U32"":20,""IMAD.SHL.U32"":2,""IMAD.WIDE.U32"":10,""ISETP.GE.U32.AND"":40,""ISETP.GT.U32.AND"":6,""ISETP.NE.AND"":4,""ISETP.NE.U32.AND"":4,""LDC"":12,""LDC.64"":2,""LDG.E.128"":2,""LOP3.LUT"":4,""MOV"":4,""MUFU.RCP"":4,""S2R"":24,""SEL"":20,""SHF.L.U32"":8,""STG.E"":8,""ULDC.64"":2}"	TRACEG_GRAMMAR_PASS
2931	kernel-2931-ctx_0x5c1527a3dbe0.traceg.xz	1360	1	292	5	"{""BRA"":32,""BSSY"":24,""BSYNC"":24,""CS2R"":4,""EXIT"":8,""F2I.NTZ"":4,""FFMA"":36,""FMUL"":8,""FSEL"":12,""FSETP.GE.AND"":4,""I2FP.F32.S32"":4,""IADD3"":24,""IMAD.IADD"":8,""IMAD.MOV.U32"":36,""IMAD.SHL.U32"":4,""IMAD.WIDE.U32"":8,""ISETP.GE.AND"":24,""LDG.E"":4,""LOP3.LUT"":8,""S2R"":8,""STG.E"":4,""ULDC.64"":4}"	TRACEG_GRAMMAR_PASS
2932	kernel-2932-ctx_0x5c1527a3dbe0.traceg.xz	1344	1	288	5	"{""BRA"":32,""BSSY"":24,""BSYNC"":24,""CS2R"":4,""EXIT"":8,""F2I.NTZ"":4,""FFMA"":36,""FMUL"":8,""FSEL"":12,""FSETP.GE.AND"":4,""I2FP.F32.S32"":4,""IADD3"":20,""IMAD.IADD"":8,""IMAD.MOV.U32"":36,""IMAD.SHL.U32"":4,""IMAD.WIDE.U32"":8,""ISETP.GE.AND"":24,""LDG.E"":4,""LOP3.LUT"":8,""S2R"":8,""STG.E"":4,""ULDC.64"":4}"	TRACEG_GRAMMAR_PASS
2933	kernel-2933-ctx_0x5c1527a3dbe0.traceg.xz	900	1	128	5	"{""BRA"":12,""BSSY"":4,""BSYNC"":4,""CS2R"":4,""EXIT"":8,""FMUL"":4,""IADD3"":20,""IMAD.MOV.U32"":8,""IMAD.WIDE.U32"":8,""ISETP.GE.AND"":20,""LDG.E"":4,""MOV"":12,""S2R"":8,""SHF.L.U32"":4,""STG.E"":4,""ULDC.64"":4}"	TRACEG_GRAMMAR_PASS
2934	kernel-2934-ctx_0x5c1527a3dbe0.traceg.xz	900	1	128	5	"{""BRA"":12,""BSSY"":4,""BSYNC"":4,""CS2R"":4,""EXIT"":8,""FMUL"":4,""IADD3"":20,""IMAD.MOV.U32"":8,""IMAD.WIDE.U32"":8,""ISETP.GE.AND"":20,""LDG.E"":4,""MOV"":12,""S2R"":8,""SHF.L.U32"":4,""STG.E"":4,""ULDC.64"":4}"	TRACEG_GRAMMAR_PASS
2935	kernel-2935-ctx_0x5c1527a3dbe0.traceg.xz	1296	1	260	5	"{""BRA"":52,""BSSY"":4,""BSYNC"":4,""EXIT"":8,""F2FP.PACK_AB"":4,""IADD3"":16,""IMAD"":24,""IMAD.MOV.U32"":12,""IMAD.X"":8,""ISETP.GE.AND"":16,""ISETP.GT.AND"":24,""ISETP.NE.AND"":12,""LDC.U8"":8,""LDG.E"":4,""P2R"":8,""PRMT"":36,""S2R"":12,""STG.E.U16"":4,""ULDC.64"":4}"	TRACEG_GRAMMAR_PASS
