role	M	implementation	median_ms	min_ms	max_ms	cv	samples_ms
q_proj	1	RAW_BF16	0.066094	0.062642	0.069783	0.03229437647409458	[0.066316, 0.063905, 0.066765, 0.069783, 0.062642, 0.064866, 0.066094]
q_proj	1	RAW_FP16	0.059172	0.05798	0.076542	0.11825415223208638	[0.062011, 0.076542, 0.05805, 0.059172, 0.074441, 0.05798, 0.058232]
q_proj	1	AWQ_FP16_INPUT	0.057996	0.052325	0.062801	0.071258649283093	[0.05582, 0.057996, 0.062318, 0.061828, 0.052325, 0.062801, 0.052877]
q_proj	256	RAW_BF16	0.113455	0.105381	0.115735	0.03569928325549436	[0.106103, 0.114216, 0.114877, 0.109586, 0.115735, 0.113455, 0.105381]
q_proj	256	RAW_FP16	0.111356	0.103605	0.120979	0.05105658424214039	[0.120979, 0.103782, 0.111356, 0.111302, 0.103605, 0.111367, 0.115311]
q_proj	256	AWQ_FP16_INPUT	0.145259	0.138835	0.152894	0.032551450929169966	[0.152894, 0.145259, 0.140909, 0.151564, 0.144687, 0.138835, 0.14571]
down_proj	1	RAW_BF16	0.231014	0.226916	0.23226	0.00814545423515257	[0.230996, 0.232178, 0.226916, 0.231371, 0.231014, 0.23226, 0.228341]
down_proj	1	RAW_FP16	0.222373	0.220741	0.233458	0.023582795647145258	[0.221944, 0.233422, 0.22297, 0.222373, 0.233458, 0.220946, 0.220741]
down_proj	1	AWQ_FP16_INPUT	0.11142	0.100093	0.119564	0.06868300860009165	[0.102639, 0.118967, 0.111843, 0.10175, 0.119564, 0.11142, 0.100093]
down_proj	256	RAW_BF16	0.400636	0.391658	0.402123	0.011232196239176042	[0.392484, 0.401816, 0.400636, 0.394244, 0.402123, 0.402082, 0.391658]
down_proj	256	RAW_FP16	0.392341	0.384062	0.396138	0.011870482963293573	[0.395844, 0.384121, 0.392808, 0.392341, 0.384062, 0.391635, 0.396138]
down_proj	256	AWQ_FP16_INPUT	0.500564	0.484013	0.51316	0.019569438384912284	[0.508418, 0.500564, 0.487333, 0.51316, 0.500508, 0.484013, 0.503101]
up_proj	1	RAW_BF16	0.226941	0.220383	0.239216	0.030359555507221418	[0.237594, 0.220383, 0.224013, 0.230781, 0.221693, 0.226941, 0.239216]
up_proj	1	RAW_FP16	0.220928	0.218132	0.22744	0.01604966651245493	[0.221193, 0.22744, 0.219013, 0.220928, 0.227246, 0.218132, 0.219541]
up_proj	1	AWQ_FP16_INPUT	0.088424	0.085472	0.097244	0.043089604141120556	[0.088424, 0.088193, 0.097244, 0.085472, 0.089216, 0.093222, 0.086063]
up_proj	256	RAW_BF16	0.366538	0.359738	0.374187	0.012630288339980271	[0.364652, 0.374187, 0.369271, 0.361738, 0.369892, 0.366538, 0.359738]
up_proj	256	RAW_FP16	0.362578	0.355981	0.364845	0.008959860868600887	[0.364845, 0.355981, 0.364144, 0.363582, 0.35713, 0.362578, 0.361947]
up_proj	256	AWQ_FP16_INPUT	0.677573	0.663457	0.683463	0.011129212906464838	[0.679701, 0.677573, 0.664331, 0.683463, 0.672885, 0.663457, 0.681587]
