condition	set_name	decode_index	median_ms	min_ms	max_ms	cv	samples_ms
CONTROL_N1	N1	0	26.807296752929688	26.583839416503906	27.052032470703125	0.004995780627328372	[26.583839416503906, 27.052032470703125, 26.810367584228516, 26.807296752929688, 26.69798469543457, 26.83184051513672, 26.7325439453125]
CONTROL_N1	N1	1	13.694975852966309	13.6878080368042	13.703167915344238	0.00032924261987925566	[13.690879821777344, 13.692928314208984, 13.69702434539795, 13.694975852966309, 13.694975852966309, 13.6878080368042, 13.703167915344238]
CONTROL_N1	N1	2	13.68883228302002	13.6878080368042	13.696000099182129	0.00022412585957894357	[13.6878080368042, 13.68883228302002, 13.68883228302002, 13.68883228302002, 13.689855575561523, 13.694975852966309, 13.696000099182129]
CONTROL_N1	N1	3	13.692928314208984	13.680959701538086	13.700096130371094	0.0004249568882533986	[13.692928314208984, 13.690879821777344, 13.698047637939453, 13.700096130371094, 13.680959701538086, 13.696000099182129, 13.691328048706055]
FAIR_N1	N1	0	26.73423957824707	26.656768798828125	26.953472137451172	0.0042635911994335736	[26.91779136657715, 26.883840560913086, 26.683391571044922, 26.953472137451172, 26.656768798828125, 26.73423957824707, 26.704864501953125]
FAIR_N1	N1	1	13.700160026550293	13.694975852966309	13.714431762695312	0.0005039567966722028	[13.694975852966309, 13.714431762695312, 13.700160026550293, 13.705216407775879, 13.698047637939453, 13.712800025939941, 13.700096130371094]
FAIR_N1	N1	2	13.700096130371094	13.68883228302002	13.713472366333008	0.0005739518486227007	[13.700096130371094, 13.713472366333008, 13.69702434539795, 13.705216407775879, 13.709440231323242, 13.696000099182129, 13.68883228302002]
FAIR_N1	N1	3	13.698047637939453	13.68166446685791	13.710335731506348	0.0005992066842244984	[13.694368362426758, 13.698047637939453, 13.701120376586914, 13.701120376586914, 13.710335731506348, 13.692928314208984, 13.68166446685791]
CONTROL_N2	N2	0	26.836639404296875	26.688255310058594	26.894336700439453	0.0025807512740895736	[26.838848114013672, 26.894336700439453, 26.836639404296875, 26.86012840270996, 26.688255310058594, 26.730207443237305, 26.77129554748535]
CONTROL_N2	N2	1	13.691904067993164	13.684736251831055	13.700096130371094	0.0003638700749551847	[13.6878080368042, 13.684736251831055, 13.700096130371094, 13.691904067993164, 13.692928314208984, 13.690879821777344, 13.698047637939453]
CONTROL_N2	N2	2	13.698047637939453	13.691904067993164	13.702367782592773	0.0002783247111895715	[13.702143669128418, 13.691904067993164, 13.693951606750488, 13.693951606750488, 13.698047637939453, 13.698047637939453, 13.702367782592773]
CONTROL_N2	N2	3	13.697407722473145	13.689184188842773	13.705216407775879	0.0004060758582236606	[13.698047637939453, 13.689184188842773, 13.697407722473145, 13.700096130371094, 13.705216407775879, 13.6910400390625, 13.689855575561523]
FAIR_N2	N2	0	26.832895278930664	26.633119583129883	26.8799991607666	0.0030434948095600964	[26.818559646606445, 26.739456176757812, 26.8799991607666, 26.633119583129883, 26.839872360229492, 26.832895278930664, 26.875520706176758]
FAIR_N2	N2	1	13.655072212219238	13.644800186157227	13.67142391204834	0.0006495316988882479	[13.644800186157227, 13.653247833251953, 13.65715217590332, 13.669376373291016, 13.651968002319336, 13.67142391204834, 13.655072212219238]
FAIR_N2	N2	2	13.636608123779297	13.634559631347656	13.643072128295898	0.0002562444558918617	[13.635583877563477, 13.634559631347656, 13.635583877563477, 13.642751693725586, 13.641728401184082, 13.643072128295898, 13.636608123779297]
FAIR_N2	N2	3	13.64684772491455	13.641887664794922	13.666303634643555	0.0005628958929124933	[13.642751693725586, 13.641887664794922, 13.651968002319336, 13.645919799804688, 13.666303634643555, 13.64684772491455, 13.647871971130371]
CONTROL_N4	N4	0	26.864639282226562	26.702848434448242	26.92300796508789	0.0030196482560807805	[26.864639282226562, 26.88697624206543, 26.92300796508789, 26.72617530822754, 26.77235221862793, 26.883968353271484, 26.702848434448242]
CONTROL_N4	N4	1	13.698047637939453	13.691904067993164	13.718976020812988	0.0006563014474990921	[13.693951606750488, 13.698047637939453, 13.69702434539795, 13.710335731506348, 13.703167915344238, 13.691904067993164, 13.718976020812988]
CONTROL_N4	N4	2	13.699071884155273	13.68883228302002	13.708288192749023	0.0004722622483485705	[13.703167915344238, 13.68883228302002, 13.699071884155273, 13.706239700317383, 13.693951606750488, 13.696000099182129, 13.708288192749023]
