condition	set_name	phase	layer	scope	median_cpu_ns	min_cpu_ns	max_cpu_ns	cv	samples_cpu_ns
CONTROL_N1	N1	D0	0	ONE_UPDATE	10043	9793	10847	0.042077751099439106	[9896, 9793, 10752, 10807, 10847, 10043, 10033]
CONTROL_N1	N1	D1	0	ONE_UPDATE	9245	8352	9474	0.04327572153740118	[8352, 9245, 9102, 8733, 9462, 9474, 9422]
CONTROL_N1	N1	D2	0	ONE_UPDATE	4245	3896	4459	0.036665894929840445	[3896, 4271, 4459, 4245, 4222, 4276, 4219]
CONTROL_N1	N1	D3	0	ONE_UPDATE	4057	3871	4132	0.02261904041753939	[3899, 4057, 4132, 4073, 4002, 3871, 4083]
CONTROL_N1	N1	PREFILL	0	ONE_UPDATE	12134	11696	12820	0.029641030003869615	[12011, 12179, 11743, 11696, 12820, 12134, 12407]
CONTROL_N1	N1	FULL_RUN	ALL	TOTAL_PER_RUN	39798	38054	41353	0.02300079089280639	[38054, 39545, 40188, 39554, 41353, 39798, 40164]
FAIR_N1	N1	D0	0	ONE_UPDATE	9993	9305	11113	0.0538697309191232	[9305, 11113, 9519, 9993, 9879, 10229, 10172]
FAIR_N1	N1	D1	0	ONE_UPDATE	8983	8473	10462	0.06967479659597156	[10462, 9432, 8983, 8858, 8473, 9037, 8482]
FAIR_N1	N1	D2	0	ONE_UPDATE	4045	3896	4338	0.03209556611300249	[4045, 4338, 3990, 4118, 3896, 4156, 4024]
FAIR_N1	N1	D3	0	ONE_UPDATE	4038	3806	4105	0.02687162486193832	[4038, 4004, 3856, 4079, 3806, 4062, 4105]
FAIR_N1	N1	PREFILL	0	ONE_UPDATE	12229	11909	12669	0.021635168567649996	[12669, 12449, 12229, 11909, 12554, 11977, 12194]
FAIR_N1	N1	FULL_RUN	ALL	TOTAL_PER_RUN	38977	38577	41336	0.02463692336561817	[40519, 41336, 38577, 38957, 38608, 39461, 38977]
CONTROL_N2	N2	D0	0	ONE_UPDATE	8697	7967	9336	0.04449878850773923	[9336, 7967, 8561, 8820, 8898, 8520, 8697]
CONTROL_N2	N2	D0	14	ONE_UPDATE	3937	3715	4328	0.04952082384282982	[4064, 3758, 3913, 4112, 3937, 4328, 3715]
CONTROL_N2	N2	D1	0	ONE_UPDATE	6125	5390	6886	0.07907171378367658	[6002, 6125, 6127, 6886, 5390, 6605, 5606]
CONTROL_N2	N2	D1	14	ONE_UPDATE	3801	3622	4045	0.03393996193346939	[3830, 3884, 3674, 3766, 3622, 4045, 3801]
CONTROL_N2	N2	D2	0	ONE_UPDATE	4091	3919	4150	0.02273559915013786	[4112, 3959, 4091, 4150, 4125, 3936, 3919]
CONTROL_N2	N2	D2	14	ONE_UPDATE	3799	3739	3936	0.019242747653288844	[3934, 3799, 3769, 3739, 3847, 3936, 3778]
CONTROL_N2	N2	D3	0	ONE_UPDATE	3986	3843	4224	0.0314586750190271	[4224, 3843, 4023, 3986, 4011, 3860, 3861]
CONTROL_N2	N2	D3	14	ONE_UPDATE	3820	3631	3919	0.02784822228321391	[3919, 3686, 3631, 3912, 3733, 3820, 3872]
CONTROL_N2	N2	PREFILL	0	ONE_UPDATE	12343	11720	13261	0.037205220041488685	[11720, 13261, 11932, 12343, 12149, 12534, 12361]
CONTROL_N2	N2	PREFILL	14	ONE_UPDATE	5843	5556	6725	0.06868306935340375	[6334, 6725, 5664, 5843, 5556, 6383, 5703]
CONTROL_N2	N2	FULL_RUN	ALL	TOTAL_PER_RUN	57007	55268	57967	0.019611793802849022	[57475, 57007, 55385, 57557, 55268, 57967, 55313]
FAIR_N2	N2	D0	0	ONE_UPDATE	8876	8125	11807	0.12229520558931489	[8876, 9173, 11807, 8873, 8125, 8998, 8412]
FAIR_N2	N2	D0	14	ONE_UPDATE	3975	3627	4189	0.04372448008144596	[3940, 3627, 3975, 3940, 4180, 4189, 3998]
FAIR_N2	N2	D1	0	ONE_UPDATE	6849	6010	10412	0.19951522543269126	[6010, 10412, 7031, 7700, 6141, 6140, 6849]
FAIR_N2	N2	D1	14	ONE_UPDATE	3761	3667	3980	0.025691353983117726	[3667, 3761, 3838, 3693, 3818, 3980, 3748]
FAIR_N2	N2	D2	0	ONE_UPDATE	3905	3766	4131	0.03204308016282177	[4075, 3766, 4131, 4007, 3900, 3905, 3801]
FAIR_N2	N2	D2	14	ONE_UPDATE	3768	3652	3869	0.01817432235438936	[3748, 3795, 3768, 3718, 3843, 3869, 3652]
FAIR_N2	N2	D3	0	ONE_UPDATE	3944	3700	4116	0.03294957705074566	[3948, 3826, 4116, 4060, 3891, 3944, 3700]
FAIR_N2	N2	D3	14	ONE_UPDATE	3750	3670	3832	0.013488617574965748	[3779, 3832, 3750, 3731, 3715, 3800, 3670]
FAIR_N2	N2	PREFILL	0	ONE_UPDATE	12257	12026	12592	0.019468721381638625	[12592, 12069, 12257, 12049, 12589, 12498, 12026]
FAIR_N2	N2	PREFILL	14	ONE_UPDATE	6262	5432	7447	0.09978137553810631	[6298, 6387, 5491, 6262, 6203, 7447, 5432]
FAIR_N2	N2	FULL_RUN	ALL	TOTAL_PER_RUN	58033	55288	60648	0.03144926124206756	[56933, 60648, 60164, 58033, 56405, 58770, 55288]
CONTROL_N4	N4	D0	0	ONE_UPDATE	8115	7057	8500	0.06698839049414639	[7163, 8314, 8115, 8192, 8500, 7713, 7057]
CONTROL_N4	N4	D0	7	ONE_UPDATE	3850	3736	4089	0.033751325569986404	[3850, 4089, 3736, 3922, 3783, 4061, 3772]
CONTROL_N4	N4	D0	14	ONE_UPDATE	3595	3491	3964	0.04017434271213872	[3491, 3964, 3704, 3565, 3595, 3678, 3538]
CONTROL_N4	N4	D0	27	ONE_UPDATE	3773	3691	4118	0.03500798739410904	[3728, 4118, 3856, 3691, 3736, 3796, 3773]
CONTROL_N4	N4	D1	0	ONE_UPDATE	5791	5427	6758	0.06955305867436183	[5783, 5427, 6391, 5857, 5785, 5791, 6758]
CONTROL_N4	N4	D1	7	ONE_UPDATE	3804	3608	4021	0.03148980108187271	[3608, 4021, 3900, 3798, 3804, 3915, 3781]
CONTROL_N4	N4	D1	14	ONE_UPDATE	3708	3611	3900	0.028676840774495987	[3659, 3900, 3858, 3611, 3708, 3826, 3642]
