profile_id	role	M	implementation	selected_k	nvtx_range	kernel_count	kernel_names	replay_pass_count	l1tex__t_bytes.sum	lts__t_bytes.sum	dram__bytes.sum	unit	profiler_command
down_proj_M1_AWQ_K1	down_proj	1	AWQ_FP16_INPUT	1	C16_E1_REFILL_DOWN_PROJ_AWQ_K1	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	1	45932544.0	41156224.0	35406848.0	byte	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_REFILL_DOWN_PROJ_AWQ_K1/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum --force-overwrite -o /data/c16/e1_natural_reuse_residency_v1/ncu/refill/reports/down_proj_M1_AWQ_K1 /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_refill_ncu_replay.py --role down_proj --impl AWQ_FP16_INPUT --selected-k 1
down_proj_M1_AWQ_K2	down_proj	1	AWQ_FP16_INPUT	2	C16_E1_REFILL_DOWN_PROJ_AWQ_K2	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	1	45932544.0	41202912.0	78208.0	byte	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_REFILL_DOWN_PROJ_AWQ_K2/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum --force-overwrite -o /data/c16/e1_natural_reuse_residency_v1/ncu/refill/reports/down_proj_M1_AWQ_K2 /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_refill_ncu_replay.py --role down_proj --impl AWQ_FP16_INPUT --selected-k 2
down_proj_M1_AWQ_K4	down_proj	1	AWQ_FP16_INPUT	4	C16_E1_REFILL_DOWN_PROJ_AWQ_K4	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	1	45932544.0	41212224.0	72064.0	byte	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_REFILL_DOWN_PROJ_AWQ_K4/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum --force-overwrite -o /data/c16/e1_natural_reuse_residency_v1/ncu/refill/reports/down_proj_M1_AWQ_K4 /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_refill_ncu_replay.py --role down_proj --impl AWQ_FP16_INPUT --selected-k 4
down_proj_M1_RAW_K1	down_proj	1	RAW_FP16	1	C16_E1_REFILL_DOWN_PROJ_RAW_K1	1	"[""enable_if<!T7, void>::type kernel<int, int, __half, __half, __half, float, 0, 1, 1, 0, 7, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)""]"	1	271695872.0	141574432.0	135858816.0	byte	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_REFILL_DOWN_PROJ_RAW_K1/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum --force-overwrite -o /data/c16/e1_natural_reuse_residency_v1/ncu/refill/reports/down_proj_M1_RAW_K1 /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_refill_ncu_replay.py --role down_proj --impl RAW_FP16 --selected-k 1
down_proj_M1_RAW_K2	down_proj	1	RAW_FP16	2	C16_E1_REFILL_DOWN_PROJ_RAW_K2	1	"[""enable_if<!T7, void>::type kernel<int, int, __half, __half, __half, float, 0, 1, 1, 0, 7, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)""]"	1	271695872.0	141628864.0	135800320.0	byte	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_REFILL_DOWN_PROJ_RAW_K2/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum --force-overwrite -o /data/c16/e1_natural_reuse_residency_v1/ncu/refill/reports/down_proj_M1_RAW_K2 /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_refill_ncu_replay.py --role down_proj --impl RAW_FP16 --selected-k 2
down_proj_M1_RAW_K4	down_proj	1	RAW_FP16	4	C16_E1_REFILL_DOWN_PROJ_RAW_K4	1	"[""enable_if<!T7, void>::type kernel<int, int, __half, __half, __half, float, 0, 1, 1, 0, 7, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)""]"	1	271695872.0	141661280.0	135799936.0	byte	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_REFILL_DOWN_PROJ_RAW_K4/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum --force-overwrite -o /data/c16/e1_natural_reuse_residency_v1/ncu/refill/reports/down_proj_M1_RAW_K4 /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_refill_ncu_replay.py --role down_proj --impl RAW_FP16 --selected-k 4
q_proj_M1_AWQ_K1	q_proj	1	AWQ_FP16_INPUT	1	C16_E1_REFILL_Q_PROJ_AWQ_K1	3	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)"", ""void at::vectorized_elementwise_kernel<4, at::CUDAFunctor_add<c10::Half>, detail::Array<char *, 3>>(int, T2, T3)""]"	1	8967168.0	8550112.0	6775552.0	byte	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_REFILL_Q_PROJ_AWQ_K1/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum --force-overwrite -o /data/c16/e1_natural_reuse_residency_v1/ncu/refill/reports/q_proj_M1_AWQ_K1 /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_refill_ncu_replay.py --role q_proj --impl AWQ_FP16_INPUT --selected-k 1
q_proj_M1_AWQ_K2	q_proj	1	AWQ_FP16_INPUT	2	C16_E1_REFILL_Q_PROJ_AWQ_K2	3	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)"", ""void at::vectorized_elementwise_kernel<4, at::CUDAFunctor_add<c10::Half>, detail::Array<char *, 3>>(int, T2, T3)""]"	1	8967168.0	8549888.0	66304.0	byte	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_REFILL_Q_PROJ_AWQ_K2/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum --force-overwrite -o /data/c16/e1_natural_reuse_residency_v1/ncu/refill/reports/q_proj_M1_AWQ_K2 /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_refill_ncu_replay.py --role q_proj --impl AWQ_FP16_INPUT --selected-k 2
q_proj_M1_AWQ_K4	q_proj	1	AWQ_FP16_INPUT	4	C16_E1_REFILL_Q_PROJ_AWQ_K4	3	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)"", ""void at::vectorized_elementwise_kernel<4, at::CUDAFunctor_add<c10::Half>, detail::Array<char *, 3>>(int, T2, T3)""]"	1	8967168.0	8548000.0	65536.0	byte	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_REFILL_Q_PROJ_AWQ_K4/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum --force-overwrite -o /data/c16/e1_natural_reuse_residency_v1/ncu/refill/reports/q_proj_M1_AWQ_K4 /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_refill_ncu_replay.py --role q_proj --impl AWQ_FP16_INPUT --selected-k 4
q_proj_M1_RAW_K1	q_proj	1	RAW_FP16	1	C16_E1_REFILL_Q_PROJ_RAW_K1	1	"[""enable_if<!T7, void>::type kernel<int, int, __half, __half, __half, float, 0, 1, 1, 0, 6, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)""]"	1	38649856.0	26547328.0	25726848.0	byte	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_REFILL_Q_PROJ_RAW_K1/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum --force-overwrite -o /data/c16/e1_natural_reuse_residency_v1/ncu/refill/reports/q_proj_M1_RAW_K1 /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_refill_ncu_replay.py --role q_proj --impl RAW_FP16 --selected-k 1
