profile_id	condition	role	layer	decode_index	kernel_count	kernel_names	replay_pass_count	l1tex__t_bytes.sum	lts__t_bytes.sum	dram__bytes.sum	gpu__time_duration.sum	lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum	lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum	dram__bytes_read.sum	profiler_command
L0_DOWN_PROJ_D3_CONTROL_DOWN28	CONTROL_DOWN28	down_proj	0	3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	45932544.0	41186240.0	35493248.0	87296.0	157542.0	1102304.0	35365248.0	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_OPF_CONTROL_DOWN28_L0_DOWN_PROJ_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_operator_family_expansion_v1/ncu/primary/reports/L0_DOWN_PROJ_D3_CONTROL_DOWN28 /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_operator_family_natural.py --condition CONTROL_DOWN28 --run-index 600
L0_DOWN_PROJ_D3_CONTROL_GUD84	CONTROL_GUD84	down_proj	0	3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	45932544.0	41180928.0	35496960.0	86848.0	157102.0	1102304.0	35367936.0	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_OPF_CONTROL_GUD84_L0_DOWN_PROJ_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_operator_family_expansion_v1/ncu/primary/reports/L0_DOWN_PROJ_D3_CONTROL_GUD84 /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_operator_family_natural.py --condition CONTROL_GUD84 --run-index 600
L0_DOWN_PROJ_D3_FAIR_DOWN28	FAIR_DOWN28	down_proj	0	3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	45932544.0	41178432.0	35360896.0	86208.0	157478.0	1102152.0	35360640.0	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_OPF_FAIR_DOWN28_L0_DOWN_PROJ_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_operator_family_expansion_v1/ncu/primary/reports/L0_DOWN_PROJ_D3_FAIR_DOWN28 /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_operator_family_natural.py --condition FAIR_DOWN28 --run-index 600
L0_DOWN_PROJ_D3_FAIR_GUD84	FAIR_GUD84	down_proj	0	3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	45932544.0	41186784.0	35287040.0	85984.0	157322.0	1102304.0	35287040.0	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_OPF_FAIR_GUD84_L0_DOWN_PROJ_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_operator_family_expansion_v1/ncu/primary/reports/L0_DOWN_PROJ_D3_FAIR_GUD84 /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_operator_family_natural.py --condition FAIR_GUD84 --run-index 600
L0_GATE_PROJ_D3_CONTROL_GATE28	CONTROL_GATE28	gate_proj	0	3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	47284224.0	41738784.0	39582592.0	70944.0	156608.0	1102304.0	35279744.0	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_OPF_CONTROL_GATE28_L0_GATE_PROJ_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_operator_family_expansion_v1/ncu/primary/reports/L0_GATE_PROJ_D3_CONTROL_GATE28 /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_operator_family_natural.py --condition CONTROL_GATE28 --run-index 600
L0_GATE_PROJ_D3_CONTROL_GUD84	CONTROL_GUD84	gate_proj	0	3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	47284224.0	41705408.0	39714048.0	71840.0	155620.0	1102304.0	35280000.0	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_OPF_CONTROL_GUD84_L0_GATE_PROJ_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_operator_family_expansion_v1/ncu/primary/reports/L0_GATE_PROJ_D3_CONTROL_GUD84 /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_operator_family_natural.py --condition CONTROL_GUD84 --run-index 600
L0_GATE_PROJ_D3_FAIR_GATE28	FAIR_GATE28	gate_proj	0	3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	47284224.0	41708064.0	35338624.0	64032.0	155514.0	1102304.0	35279104.0	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_OPF_FAIR_GATE28_L0_GATE_PROJ_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_operator_family_expansion_v1/ncu/primary/reports/L0_GATE_PROJ_D3_FAIR_GATE28 /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_operator_family_natural.py --condition FAIR_GATE28 --run-index 600
L0_GATE_PROJ_D3_FAIR_GUD84	FAIR_GUD84	gate_proj	0	3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	47284224.0	41734752.0	35344128.0	63680.0	155940.0	1102304.0	35291776.0	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_OPF_FAIR_GUD84_L0_GATE_PROJ_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_operator_family_expansion_v1/ncu/primary/reports/L0_GATE_PROJ_D3_FAIR_GUD84 /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_operator_family_natural.py --condition FAIR_GUD84 --run-index 600
L0_UP_PROJ_D3_CONTROL_GUD84	CONTROL_GUD84	up_proj	0	3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	47284224.0	41730368.0	46611712.0	83296.0	156196.0	1102304.0	35280000.0	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_OPF_CONTROL_GUD84_L0_UP_PROJ_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_operator_family_expansion_v1/ncu/primary/reports/L0_UP_PROJ_D3_CONTROL_GUD84 /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_operator_family_natural.py --condition CONTROL_GUD84 --run-index 600
L0_UP_PROJ_D3_CONTROL_UP28	CONTROL_UP28	up_proj	0	3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	47284224.0	41714848.0	46629888.0	82272.0	155764.0	1102304.0	35279488.0	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_OPF_CONTROL_UP28_L0_UP_PROJ_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_operator_family_expansion_v1/ncu/primary/reports/L0_UP_PROJ_D3_CONTROL_UP28 /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_operator_family_natural.py --condition CONTROL_UP28 --run-index 600
