condition	budget_name	layer	category	decode_index	median_ms	min_ms	max_ms	cv	samples_ms	input_sha256	output_sha256
CONTROL_B8	B8	0	input_layernorm	0	0.06496000289916992	0.062431998550891876	0.06656000018119812	0.01990393675421667	[0.0647680014371872, 0.06656000018119812, 0.062431998550891876, 0.0655359998345375, 0.06496000289916992, 0.06643199920654297, 0.06444799900054932]	f02d7dac8f188060f19372f9bc526a3e7fc90d1650531017a51a07aea79d59eb	2713ccc04641903d4c2b7933200d711f43f567f1796006e00f35d3e29a3cb965
CONTROL_B8	B8	0	input_layernorm	1	0.014976000413298607	0.014336000196635723	0.015359999611973763	0.02993562020743878	[0.015359999611973763, 0.014976000413298607, 0.014336000196635723, 0.014336000196635723, 0.014560000039637089, 0.015359999611973763, 0.015359999611973763]	b639c6d7d6de613bacc2a07839cb0ab59af32415dd9a185088040dcf5b87328d	e0eb03998b667d9421e89321632a49352b4e9a20e5758b4f06fd7bd5c7a1e41f
CONTROL_B8	B8	0	input_layernorm	2	0.014336000196635723	0.014336000196635723	0.014431999996304512	0.0023410174602244305	[0.014336000196635723, 0.014336000196635723, 0.014336000196635723, 0.014431999996304512, 0.014336000196635723, 0.014336000196635723, 0.014336000196635723]	0d33269fd3a6b944a6a01d07b86a4294bfb9df64d151902169f2b6828919ca1d	74ce2716f9703216aac47a8ba2339a4f42703fbbfc883541340c3147dc8fbbb1
CONTROL_B8	B8	0	input_layernorm	3	0.014336000196635723	0.014336000196635723	0.015200000256299973	0.022927675808318594	[0.014336000196635723, 0.015200000256299973, 0.014336000196635723, 0.014527999795973301, 0.014976000413298607, 0.014336000196635723, 0.014336000196635723]	de8cb48f44aa6da14a8abdabff5b1c10ddad562e9a437ec069af6536d8ed7cc0	1bde35998a248633449fc1c58a11817405e39f781f847fa8a94439b154c40570
CONTROL_B8	B8	0	self_attn	0	6.0733442306518555	6.040448188781738	6.134880065917969	0.00579738424279288	[6.118495941162109, 6.116415977478027, 6.042623996734619, 6.070879936218262, 6.134880065917969, 6.040448188781738, 6.0733442306518555]	2713ccc04641903d4c2b7933200d711f43f567f1796006e00f35d3e29a3cb965	d7bb32639ead966f67e5a302eda6052749b1822e0bb80076fe8cdf14bf7bdc60
CONTROL_B8	B8	0	self_attn	1	0.17715199291706085	0.17510400712490082	0.17817600071430206	0.005235541822211785	[0.17715199291706085, 0.17817600071430206, 0.17612800002098083, 0.17612800002098083, 0.17715199291706085, 0.17510400712490082, 0.17715199291706085]	e0eb03998b667d9421e89321632a49352b4e9a20e5758b4f06fd7bd5c7a1e41f	840b1af4ff1da7defcb3482e6bd1b0d62b1fafd9b5b2b86ddd46858f2d33ce30
CONTROL_B8	B8	0	self_attn	2	0.1740799993276596	0.1730560064315796	0.1740799993276596	0.002918346702509713	[0.1740799993276596, 0.1740799993276596, 0.1730560064315796, 0.1740799993276596, 0.1730560064315796, 0.1740799993276596, 0.1730560064315796]	74ce2716f9703216aac47a8ba2339a4f42703fbbfc883541340c3147dc8fbbb1	ecb4997858fbfcdc954fb00f6a3ebf86e62918f2506139d4c1cb2dbe43d6b707
CONTROL_B8	B8	0	self_attn	3	0.1730560064315796	0.17203199863433838	0.1740799993276596	0.004472953801415727	[0.1730560064315796, 0.17203199863433838, 0.1730560064315796, 0.1740799993276596, 0.1730560064315796, 0.17203199863433838, 0.1740799993276596]	1bde35998a248633449fc1c58a11817405e39f781f847fa8a94439b154c40570	df53b6f2185deafac7b34491057bd34be57b87d2d34df1797f00c1e0db5833c9
CONTROL_B8	B8	0	post_attention_layernorm	0	0.06675200164318085	0.0655359998345375	0.07078400254249573	0.027667954289237073	[0.06963200122117996, 0.0655359998345375, 0.06659200042486191, 0.07078400254249573, 0.06963200122117996, 0.06675200164318085, 0.06656000018119812]	f6057f229c3acb966aa67cf0c700ef81463d3a6cd9e0b4dae9c2d297096122e0	1241b8f94067b40d63d7946e485ab95746b0f01055ccf76f2646e7d9f7bf42ef
CONTROL_B8	B8	0	post_attention_layernorm	1	0.015359999611973763	0.014336000196635723	0.015359999611973763	0.02984896977121097	[0.014336000196635723, 0.015359999611973763, 0.015359999611973763, 0.015359999611973763, 0.015135999768972397, 0.014336000196635723, 0.015359999611973763]	ab53ab5e5bbd16152c37d4ec7dd5abe80d3cb6ac96c15374d4ee6c612c99d9d9	d2f9eab5b3cde9b1e8e5c4487a91b5e396c6dc12d30d6dda077361b7ff955a66
CONTROL_B8	B8	0	post_attention_layernorm	2	0.015359999611973763	0.014336000196635723	0.015359999611973763	0.03396176146264696	[0.014336000196635723, 0.015359999611973763, 0.014336000196635723, 0.015359999611973763, 0.014336000196635723, 0.015359999611973763, 0.015359999611973763]	28bd3a4d15cac47d2807a661bb04a793aecae1e7df16fdbd3a16078ed7537e7a	10f11af8b788226f394a91405cc3886e6c7856bde09025a7ad9cd0f7cc361177
CONTROL_B8	B8	0	post_attention_layernorm	3	0.015359999611973763	0.014336000196635723	0.01945599913597107	0.10624707963181944	[0.015359999611973763, 0.014655999839305878, 0.01945599913597107, 0.015359999611973763, 0.014336000196635723, 0.014336000196635723, 0.015359999611973763]	476e27305a3c5227b5c9b03ae10a0d56fa9d70ff6af1e2fa1a1a6fc75350ee0c	9e7734930ffe1cb6f035cd455794ce8e535a9853c7ceb5a236770a4cc2b33a06
CONTROL_B8	B8	0	mlp	0	0.3008959889411926	0.2949120104312897	0.30617600679397583	0.01359569047077297	[0.3047359883785248, 0.2959359884262085, 0.2977280020713806, 0.2949120104312897, 0.3008959889411926, 0.3031040132045746, 0.30617600679397583]	1241b8f94067b40d63d7946e485ab95746b0f01055ccf76f2646e7d9f7bf42ef	b01d6063f53842fa93448b59b0f73631b28568764501577e389ca4cf469de6f7
CONTROL_B8	B8	0	mlp	1	0.24883200228214264	0.2467840015888214	0.24985599517822266	0.004075408882691832	[0.2467840015888214, 0.24985599517822266, 0.24780799448490143, 0.24883200228214264, 0.24883200228214264, 0.24985599517822266, 0.24883200228214264]	d2f9eab5b3cde9b1e8e5c4487a91b5e396c6dc12d30d6dda077361b7ff955a66	b720fdd0913b1dd3b7df909bd50f71ac928a92531d1b9479a454891d873bf4b2
CONTROL_B8	B8	0	mlp	2	0.24883200228214264	0.24883200228214264	0.24985599517822266	0.001856873587146057	[0.24985599517822266, 0.24883200228214264, 0.24883200228214264, 0.24883200228214264, 0.24985599517822266, 0.24883200228214264, 0.24883200228214264]	10f11af8b788226f394a91405cc3886e6c7856bde09025a7ad9cd0f7cc361177	06ecadba2a7ce105244e5594071264b9e30b13b27d33dda9b36d044b6209e5e4
CONTROL_B8	B8	0	mlp	3	0.24883200228214264	0.2467840015888214	0.24883200228214264	0.0030047317633187516	[0.24883200228214264, 0.24780799448490143, 0.24883200228214264, 0.24883200228214264, 0.2467840015888214, 0.24883200228214264, 0.24780799448490143]	9e7734930ffe1cb6f035cd455794ce8e535a9853c7ceb5a236770a4cc2b33a06	edc30fd987ec937b10dc014ec39abf7faf615baf9b01d097462356f5b4887ded
CONTROL_B8	B8	1	input_layernorm	0	0.015359999611973763	0.015359999611973763	0.015936000272631645	0.013052358430906573	[0.015359999611973763, 0.015359999611973763, 0.015936000272631645, 0.015359999611973763, 0.015359999611973763, 0.015359999611973763, 0.015359999611973763]	52b959396867d590c11dc38cd391aead0713bae0b105c9869695a53aa3d981f4	e05a13a33f921bee9af543a68f56521dd64deac1a65b84ea2559c2e1f6bed75b
CONTROL_B8	B8	1	input_layernorm	1	0.015359999611973763	0.015104000456631184	0.015615999698638916	0.008908695022715405	[0.015359999611973763, 0.015359999611973763, 0.015359999611973763, 0.015359999611973763, 0.015615999698638916, 0.015104000456631184, 0.015359999611973763]	80d06e46231fe599ea61171303cfd46b1f65df9247a3061b3f2f603d9c046875	e6c46f3b32281e8dab80b942dd5a6cf816ee71888f8717690e97f0fc6df9c574
CONTROL_B8	B8	1	input_layernorm	2	0.015359999611973763	0.015359999611973763	0.015552000142633915	0.0043039551706074335	[0.015359999611973763, 0.015359999611973763, 0.01539199985563755, 0.015552000142633915, 0.015359999611973763, 0.015359999611973763, 0.015359999611973763]	b1e7fc7c23c127dd8555fc7c66ac78136fdedfc8e045a211c31a0dc5337b00da	818120e3b3fdf794c1dbd49985783b7de26b1f7b6fe9ce439217374ede4c288a
CONTROL_B8	B8	1	input_layernorm	3	0.015807999297976494	0.015359999611973763	0.016383999958634377	0.025732343195207178	[0.016383999958634377, 0.015584000386297703, 0.016383999958634377, 0.016383999958634377, 0.015359999611973763, 0.015615999698638916, 0.015807999297976494]	f62f008e20a7ac78eebe66c645e94dc033859ea623e5b5c8f7bdd75e46141138	167e943085c51957163196dab140a3cf7cb31410b92f158df3933abcd603815b
CONTROL_B8	B8	1	self_attn	0	0.25804799795150757	0.2539519965648651	0.2662400007247925	0.01327383792286955	[0.25804799795150757, 0.2539519965648651, 0.26009601354599, 0.25804799795150757, 0.25804799795150757, 0.2662400007247925, 0.25804799795150757]	e05a13a33f921bee9af543a68f56521dd64deac1a65b84ea2559c2e1f6bed75b	dcbe8920a06372df3992676b6981bdcb20feefc024a2e9e29342eb9cd6ac79ac
CONTROL_B8	B8	1	self_attn	1	0.1730560064315796	0.1730560064315796	0.17337599396705627	0.000776819756273958	[0.1732800006866455, 0.17337599396705627, 0.1730560064315796, 0.1733119934797287, 0.1730560064315796, 0.1730560064315796, 0.1730560064315796]	e6c46f3b32281e8dab80b942dd5a6cf816ee71888f8717690e97f0fc6df9c574	28407f65a05996f9a6acf0535f31553175b9f81ec899ef14d6857f5f97a26c3b
CONTROL_B8	B8	1	self_attn	2	0.1730560064315796	0.1722559928894043	0.1740799993276596	0.0034598417387631726	[0.1730560064315796, 0.1730560064315796, 0.1740799993276596, 0.1740799993276596, 0.1730560064315796, 0.1722559928894043, 0.1730560064315796]	818120e3b3fdf794c1dbd49985783b7de26b1f7b6fe9ce439217374ede4c288a	d91dcf2ffb73b743150fcbe3ff961ece7a0aa96687367ab0a57600ef8a809cb3
CONTROL_B8	B8	1	self_attn	3	0.1730560064315796	0.17203199863433838	0.1740799993276596	0.00325573424326822	[0.1730560064315796, 0.1740799993276596, 0.1730560064315796, 0.17343999445438385, 0.1730560064315796, 0.1730560064315796, 0.17203199863433838]	167e943085c51957163196dab140a3cf7cb31410b92f158df3933abcd603815b	8dbffe0c2349e2182b8a620da447e9c88e9a2862de2b4c56e13844aa98751614
CONTROL_B8	B8	1	post_attention_layernorm	0	0.04726399853825569	0.046911999583244324	0.05244800075888634	0.037614563750134694	[0.04710400104522705, 0.046911999583244324, 0.04835199937224388, 0.04726399853825569, 0.05244800075888634, 0.04819199815392494, 0.04710400104522705]	314b79dfa1556e994d04ce4ebf376646a48ff93c741e6517d0cac8100b84d94a	db6650c0130f05765968af959f30b49088e3776a2723cccf932989e55b9c44da
CONTROL_B8	B8	1	post_attention_layernorm	1	0.015135999768972397	0.014336000196635723	0.015359999611973763	0.03254816527409766	[0.014336000196635723, 0.014336000196635723, 0.015359999611973763, 0.014336000196635723, 0.015359999611973763, 0.015135999768972397, 0.015359999611973763]	23729a5cc8d6786e8c8a77b59ad530025533e62866816c03151cbdef64f56a13	77926c0871ec99596aa206d8f0d9495db1c9fb6244490cbaa74da4ae17104b9c
CONTROL_B8	B8	1	post_attention_layernorm	2	0.01532800029963255	0.014336000196635723	0.015359999611973763	0.029808925948271725	[0.015359999611973763, 0.014336000196635723, 0.015359999611973763, 0.015200000256299973, 0.01532800029963255, 0.014336000196635723, 0.015359999611973763]	3f7383daf1ee14a6a2b87d2990c6907b62981d7ec273c5691756c44b222235df	c794c82c7f47e34ce6f1c4948ca3078047ff7a6aad4b8a192bcbc8f16b489c6f
CONTROL_B8	B8	1	post_attention_layernorm	3	0.015359999611973763	0.015359999611973763	0.01600000075995922	0.014494048355116309	[0.015359999611973763, 0.015359999611973763, 0.015359999611973763, 0.015359999611973763, 0.015359999611973763, 0.01600000075995922, 0.015359999611973763]	1e87f257ffae5a2e9260c88b21501f87dc8df62d54707f901545e30c3cdae3a2	1e5c56c5c3415beb57492c0644c0e933eeb27d164b6b71351726cb9fa0b46272
CONTROL_B8	B8	1	mlp	0	0.27955201268196106	0.27852800488471985	0.2815999984741211	0.003255378676576044	[0.2805120050907135, 0.27955201268196106, 0.28035199642181396, 0.27852800488471985, 0.27955201268196106, 0.2794240117073059, 0.2815999984741211]	db6650c0130f05765968af959f30b49088e3776a2723cccf932989e55b9c44da	fc587d356a45f3f79d0e194514cc6fdbe98a16daa4727b46bd49f27bc7d02e89
