profile_id	kernel_index	nvtx_range_evidence	kernel_name	grid_size	block_size	profiler_replayer_passes	metric_name	unit	value
CODE_down_proj_M1_AWQ_DENSE_MEMORY_PRESSURE	0	"1234444  ""<default domain>:C16_E1_RES_CODE_DOWN_PROJ_M1_AWQ_DENSE_MEMORY_PRESSURE:none:none:none:none:none:none"""	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	1	l1tex__t_bytes.sum	byte	45846528.0
CODE_down_proj_M1_AWQ_DENSE_MEMORY_PRESSURE	0	"1234444  ""<default domain>:C16_E1_RES_CODE_DOWN_PROJ_M1_AWQ_DENSE_MEMORY_PRESSURE:none:none:none:none:none:none"""	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	1	lts__t_bytes.sum	byte	40580384.0
CODE_down_proj_M1_AWQ_DENSE_MEMORY_PRESSURE	0	"1234444  ""<default domain>:C16_E1_RES_CODE_DOWN_PROJ_M1_AWQ_DENSE_MEMORY_PRESSURE:none:none:none:none:none:none"""	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	1	dram__bytes.sum	byte	35332992.0
CODE_down_proj_M1_AWQ_DENSE_MEMORY_PRESSURE	1	"1234444  ""<default domain>:C16_E1_RES_CODE_DOWN_PROJ_M1_AWQ_DENSE_MEMORY_PRESSURE:none:none:none:none:none:none"""	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	1	l1tex__t_bytes.sum	byte	86016.0
CODE_down_proj_M1_AWQ_DENSE_MEMORY_PRESSURE	1	"1234444  ""<default domain>:C16_E1_RES_CODE_DOWN_PROJ_M1_AWQ_DENSE_MEMORY_PRESSURE:none:none:none:none:none:none"""	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	1	lts__t_bytes.sum	byte	603232.0
CODE_down_proj_M1_AWQ_DENSE_MEMORY_PRESSURE	1	"1234444  ""<default domain>:C16_E1_RES_CODE_DOWN_PROJ_M1_AWQ_DENSE_MEMORY_PRESSURE:none:none:none:none:none:none"""	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	1	dram__bytes.sum	byte	70144.0
CODE_down_proj_M1_AWQ_WARM	0	"1234372  ""<default domain>:C16_E1_RES_CODE_DOWN_PROJ_M1_AWQ_WARM:none:none:none:none:none:none"""	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	1	l1tex__t_bytes.sum	byte	45846528.0
CODE_down_proj_M1_AWQ_WARM	0	"1234372  ""<default domain>:C16_E1_RES_CODE_DOWN_PROJ_M1_AWQ_WARM:none:none:none:none:none:none"""	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	1	lts__t_bytes.sum	byte	40605568.0
CODE_down_proj_M1_AWQ_WARM	0	"1234372  ""<default domain>:C16_E1_RES_CODE_DOWN_PROJ_M1_AWQ_WARM:none:none:none:none:none:none"""	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	1	dram__bytes.sum	byte	26752.0
CODE_down_proj_M1_AWQ_WARM	1	"1234372  ""<default domain>:C16_E1_RES_CODE_DOWN_PROJ_M1_AWQ_WARM:none:none:none:none:none:none"""	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	1	l1tex__t_bytes.sum	byte	86016.0
CODE_down_proj_M1_AWQ_WARM	1	"1234372  ""<default domain>:C16_E1_RES_CODE_DOWN_PROJ_M1_AWQ_WARM:none:none:none:none:none:none"""	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	1	lts__t_bytes.sum	byte	599360.0
