input_kind	role	M	implementation	input_sha256	output_sha256
TEXT	down_proj	1	AWQ_FP16_INPUT	e39ee4d42396f044115b2ec20734c5a0b7d41958c642ad264b1cbbe597aa2c59	ccfcd3eb82b4f60eabf13950b9739a6a2098ee23f6bbe347a12492520fc71689
TEXT	down_proj	1	RAW_FP16	e39ee4d42396f044115b2ec20734c5a0b7d41958c642ad264b1cbbe597aa2c59	d99ca2792b2e83587c6f2331e0754c6cba27c6998e0026308bafb546a10d942b
TEXT	q_proj	1	AWQ_FP16_INPUT	9b29f29aea7fc1c13587cb809868624041a2c613c777710c880cfdef46608497	c28496ca7553e9708f87f196539b0d45f8f0a1ae532deddb97458d439403990c
TEXT	q_proj	1	RAW_FP16	9b29f29aea7fc1c13587cb809868624041a2c613c777710c880cfdef46608497	44b6639ba96f86fc125bdef574cd4d734b854dc0268bfa11ba9d89aaa4c1857a
TEXT	up_proj	1	AWQ_FP16_INPUT	b3999f6fe161d47efdff4c7d88aa044e2cec3396f9c69fde63c53f2ba208f82e	5618125fc9563f42860d5df37ae9b4b6569dfc4af1d995eeb7922d9f60b31d99
TEXT	up_proj	1	RAW_FP16	b3999f6fe161d47efdff4c7d88aa044e2cec3396f9c69fde63c53f2ba208f82e	50d389317ff126f2aa1e18dbf36bbf17bd66ddac2753552fc73517c1b7c3d394
TEXT	up_proj	256	AWQ_FP16_INPUT	eeae491edfdbee761de47aa6c4ea35b293bb2796227927778fa51c9e58ef1b41	59b56af85d0480542fa396a655f23179f879eccaa9ab32a7b98ba88e8cb33d50
TEXT	up_proj	256	RAW_FP16	eeae491edfdbee761de47aa6c4ea35b293bb2796227927778fa51c9e58ef1b41	01dbbf90e7d43b86ba49ce61805f11717b7ec9f28e67d7da0ff5f73065757413
CODE	down_proj	1	AWQ_FP16_INPUT	8617167912ed3cc89d5821b8621cde092374638a099965b4e1fe2a9fec4e6077	8138405fa621da78b51b5d050493a2140a5a5725a85519a8d91c61c2b8d0978a
CODE	down_proj	1	RAW_FP16	8617167912ed3cc89d5821b8621cde092374638a099965b4e1fe2a9fec4e6077	bfe831b628e7941de2a50222f0d9d6ed3f3dbb5e38a5861dc28276c00f156512
