semantic_point	range_name	range_occurrence	kernel_id	kernel_name	metric_name	metric_unit	metric_value	input_elements	output_elements	dense_weight_bytes	packed_weight_bytes	source_raw_filename	source_row_identity	raw_ncu_id	grid	block	raw_source_sha256
M1_RAW	C16_E1_NCU_UP_M1_RAW_FP16	0	0	enable_if<!T7, void>::type kernel<int, int, __half, __half, __half, float, 0, 1, 1, 0, 7, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	l1tex__t_bytes.sum	byte	272187392	3584	18944	135790592		RAW_M1_RAW_BASE.csv	3	0	(4736, 1, 1)	(32, 4, 1)	fee38501131d4483191914f6f65298704628ffb7db2cb480b90f501bfb4a5ad5
M1_RAW	C16_E1_NCU_UP_M1_RAW_FP16	0	0	enable_if<!T7, void>::type kernel<int, int, __half, __half, __half, float, 0, 1, 1, 0, 7, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	lts__t_bytes.sum	byte	137167040	3584	18944	135790592		RAW_M1_RAW_BASE.csv	3	0	(4736, 1, 1)	(32, 4, 1)	fee38501131d4483191914f6f65298704628ffb7db2cb480b90f501bfb4a5ad5
M1_RAW	C16_E1_NCU_UP_M1_RAW_FP16	0	0	enable_if<!T7, void>::type kernel<int, int, __half, __half, __half, float, 0, 1, 1, 0, 7, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	dram__bytes.sum	byte	138156416	3584	18944	135790592		RAW_M1_RAW_BASE.csv	3	0	(4736, 1, 1)	(32, 4, 1)	fee38501131d4483191914f6f65298704628ffb7db2cb480b90f501bfb4a5ad5
M1_AWQ	C16_E1_NCU_UP_M1_AWQ	0	0	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	l1tex__t_bytes.sum	byte	46829568	3584	18944	135790592	35273728	RAW_M1_AWQ_BASE.csv	3	0	(1184, 1, 1)	(32, 2, 1)	fe5530367b1131ba26a7992595811beb8db0a03c13314f48a663be65b112e6d9
M1_AWQ	C16_E1_NCU_UP_M1_AWQ	0	0	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	lts__t_bytes.sum	byte	40915520	3584	18944	135790592	35273728	RAW_M1_AWQ_BASE.csv	3	0	(1184, 1, 1)	(32, 2, 1)	fe5530367b1131ba26a7992595811beb8db0a03c13314f48a663be65b112e6d9
M1_AWQ	C16_E1_NCU_UP_M1_AWQ	0	0	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	dram__bytes.sum	byte	640	3584	18944	135790592	35273728	RAW_M1_AWQ_BASE.csv	3	0	(1184, 1, 1)	(32, 2, 1)	fe5530367b1131ba26a7992595811beb8db0a03c13314f48a663be65b112e6d9
M1_AWQ	C16_E1_NCU_UP_M1_AWQ	0	1	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	l1tex__t_bytes.sum	byte	454656	3584	18944	135790592	35273728	RAW_M1_AWQ_BASE.csv	4	1	(37, 1, 1)	(32, 4, 1)	fe5530367b1131ba26a7992595811beb8db0a03c13314f48a663be65b112e6d9
M1_AWQ	C16_E1_NCU_UP_M1_AWQ	0	1	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	lts__t_bytes.sum	byte	983392	3584	18944	135790592	35273728	RAW_M1_AWQ_BASE.csv	4	1	(37, 1, 1)	(32, 4, 1)	fe5530367b1131ba26a7992595811beb8db0a03c13314f48a663be65b112e6d9
M1_AWQ	C16_E1_NCU_UP_M1_AWQ	0	1	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	dram__bytes.sum	byte	0	3584	18944	135790592	35273728	RAW_M1_AWQ_BASE.csv	4	1	(37, 1, 1)	(32, 4, 1)	fe5530367b1131ba26a7992595811beb8db0a03c13314f48a663be65b112e6d9
M256_RAW	C16_E1_NCU_UP_M256_RAW_FP16	0	0	void Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x3_tn_align8>(Params)	l1tex__t_bytes.sum	byte	417071104	917504	4849664	135790592		RAW_M256_RAW_BASE.csv	3	0	(16, 10, 1)	(256, 1, 1)	2047414477d48de21cdb7c1ee79fedd3f64975fbdd87999364aa4d8ff186e28b
M256_RAW	C16_E1_NCU_UP_M256_RAW_FP16	0	0	void Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x3_tn_align8>(Params)	lts__t_bytes.sum	byte	417723360	917504	4849664	135790592		RAW_M256_RAW_BASE.csv	3	0	(16, 10, 1)	(256, 1, 1)	2047414477d48de21cdb7c1ee79fedd3f64975fbdd87999364aa4d8ff186e28b
M256_RAW	C16_E1_NCU_UP_M256_RAW_FP16	0	0	void Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x3_tn_align8>(Params)	dram__bytes.sum	byte	156380160	917504	4849664	135790592		RAW_M256_RAW_BASE.csv	3	0	(16, 10, 1)	(256, 1, 1)	2047414477d48de21cdb7c1ee79fedd3f64975fbdd87999364aa4d8ff186e28b
M256_AWQ	C16_E1_NCU_UP_M256_AWQ	0	0	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	l1tex__t_bytes.sum	byte	1294860288	917504	4849664	135790592	35273728	RAW_M256_AWQ_BASE.csv	3	0	(18944, 1, 1)	(32, 2, 1)	d94b47db18027742699552e8089cec7030a3368958857ee7256de929ef5fdc27
M256_AWQ	C16_E1_NCU_UP_M256_AWQ	0	0	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	lts__t_bytes.sum	byte	1159103648	917504	4849664	135790592	35273728	RAW_M256_AWQ_BASE.csv	3	0	(18944, 1, 1)	(32, 2, 1)	d94b47db18027742699552e8089cec7030a3368958857ee7256de929ef5fdc27
M256_AWQ	C16_E1_NCU_UP_M256_AWQ	0	0	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	dram__bytes.sum	byte	102192512	917504	4849664	135790592	35273728	RAW_M256_AWQ_BASE.csv	3	0	(18944, 1, 1)	(32, 2, 1)	d94b47db18027742699552e8089cec7030a3368958857ee7256de929ef5fdc27
M256_AWQ	C16_E1_NCU_UP_M256_AWQ	0	1	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	l1tex__t_bytes.sum	byte	116391936	917504	4849664	135790592	35273728	RAW_M256_AWQ_BASE.csv	4	1	(9472, 1, 1)	(32, 4, 1)	d94b47db18027742699552e8089cec7030a3368958857ee7256de929ef5fdc27
M256_AWQ	C16_E1_NCU_UP_M256_AWQ	0	1	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	lts__t_bytes.sum	byte	107066944	917504	4849664	135790592	35273728	RAW_M256_AWQ_BASE.csv	4	1	(9472, 1, 1)	(32, 4, 1)	d94b47db18027742699552e8089cec7030a3368958857ee7256de929ef5fdc27
M256_AWQ	C16_E1_NCU_UP_M256_AWQ	0	1	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	dram__bytes.sum	byte	76003328	917504	4849664	135790592	35273728	RAW_M256_AWQ_BASE.csv	4	1	(9472, 1, 1)	(32, 4, 1)	d94b47db18027742699552e8089cec7030a3368958857ee7256de929ef5fdc27
