profile_id	condition	target	decode_index	selected_range	kernel_count	kernel_names	replay_pass_count	profiler_command
L0_DOWN_D3_PERSIST_L0_DOWN	PERSIST_L0_DOWN	L0_DOWN	3	C16_E1_L2P_PERSIST_L0_DOWN_L0_DOWN_D3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_L2P_PERSIST_L0_DOWN_L0_DOWN_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_shared_residency_feasibility_v1/critical/reports/L0_DOWN_D3_PERSIST_L0_DOWN /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_l2_persistence_natural.py --condition PERSIST_L0_DOWN --run-index 300
L0_DOWN_D3_PERSIST_L0_UP	PERSIST_L0_UP	L0_DOWN	3	C16_E1_L2P_PERSIST_L0_UP_L0_DOWN_D3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_L2P_PERSIST_L0_UP_L0_DOWN_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_shared_residency_feasibility_v1/critical/reports/L0_DOWN_D3_PERSIST_L0_UP /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_l2_persistence_natural.py --condition PERSIST_L0_UP --run-index 300
L0_DOWN_D3_SETASIDE_ONLY	SETASIDE_ONLY	L0_DOWN	3	C16_E1_L2P_SETASIDE_ONLY_L0_DOWN_D3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_L2P_SETASIDE_ONLY_L0_DOWN_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_shared_residency_feasibility_v1/critical/reports/L0_DOWN_D3_SETASIDE_ONLY /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_l2_persistence_natural.py --condition SETASIDE_ONLY --run-index 300
L0_UP_D3_BASELINE	BASELINE	L0_UP	3	C16_E1_L2P_BASELINE_L0_UP_D3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_L2P_BASELINE_L0_UP_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_shared_residency_feasibility_v1/critical/reports/L0_UP_D3_BASELINE /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_l2_persistence_natural.py --condition BASELINE --run-index 300
L0_UP_D3_PERSIST_L0_UP	PERSIST_L0_UP	L0_UP	3	C16_E1_L2P_PERSIST_L0_UP_L0_UP_D3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_L2P_PERSIST_L0_UP_L0_UP_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_shared_residency_feasibility_v1/critical/reports/L0_UP_D3_PERSIST_L0_UP /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_l2_persistence_natural.py --condition PERSIST_L0_UP --run-index 300
L0_UP_D3_PERSIST_L14_UP	PERSIST_L14_UP	L0_UP	3	C16_E1_L2P_PERSIST_L14_UP_L0_UP_D3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_L2P_PERSIST_L14_UP_L0_UP_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_shared_residency_feasibility_v1/critical/reports/L0_UP_D3_PERSIST_L14_UP /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_l2_persistence_natural.py --condition PERSIST_L14_UP --run-index 300
L0_UP_D3_SETASIDE_ONLY	SETASIDE_ONLY	L0_UP	3	C16_E1_L2P_SETASIDE_ONLY_L0_UP_D3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_L2P_SETASIDE_ONLY_L0_UP_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_shared_residency_feasibility_v1/critical/reports/L0_UP_D3_SETASIDE_ONLY /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_l2_persistence_natural.py --condition SETASIDE_ONLY --run-index 300
L14_UP_D3_PERSIST_L0_UP	PERSIST_L0_UP	L14_UP	3	C16_E1_L2P_PERSIST_L0_UP_L14_UP_D3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_L2P_PERSIST_L0_UP_L14_UP_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_shared_residency_feasibility_v1/critical/reports/L14_UP_D3_PERSIST_L0_UP /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_l2_persistence_natural.py --condition PERSIST_L0_UP --run-index 300
L14_UP_D3_PERSIST_L14_UP	PERSIST_L14_UP	L14_UP	3	C16_E1_L2P_PERSIST_L14_UP_L14_UP_D3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_L2P_PERSIST_L14_UP_L14_UP_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_shared_residency_feasibility_v1/critical/reports/L14_UP_D3_PERSIST_L14_UP /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_l2_persistence_natural.py --condition PERSIST_L14_UP --run-index 300
L14_UP_D3_SETASIDE_ONLY	SETASIDE_ONLY	L14_UP	3	C16_E1_L2P_SETASIDE_ONLY_L14_UP_D3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_L2P_SETASIDE_ONLY_L14_UP_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_shared_residency_feasibility_v1/critical/reports/L14_UP_D3_SETASIDE_ONLY /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_l2_persistence_natural.py --condition SETASIDE_ONLY --run-index 300
