target	run_id	static_index	occurrence	classification	opcode	sass	access_kind	width_classification	width_bytes	active_lane_events	start_unique_va	start_4k_pages	start_64k_pages	start_2m_pages	start_128b_lines	exact_touched_4k_pages	exact_touched_64k_pages	exact_touched_2m_pages	exact_touched_128b_lines	static_set_sha	trace_sha	address_context_sha
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	216	0	EXECUTED_SHARD	LDGSTS.E.BYPASS.LTC128B.128	LDGSTS.E.BYPASS.LTC128B.128 [R204], [R4.64], P0 ;	READ	EXACT_STATIC_SASS_VALIDATED	16	77824	4096	512	56	2	1024	512	56	2	1024	ec48121a56eec5b6f15fe3bf27a69b4e011adbd9d5871470a86b6077d1308f72	077d4aa5af8e453f8c70f2e8e6c2259d5f45cf95b43bd304d17ef25be87b8d2f	b2ea751f035dbfa7de4fe20618a0ae52cc1a17760015f84625247a55e3185c06
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	240	0	EXECUTED_SHARD	LDGSTS.E.BYPASS.LTC128B.128	LDGSTS.E.BYPASS.LTC128B.128 [R203], [R4.64+UR4], P1 ;	READ	EXACT_STATIC_SASS_VALIDATED	16	77824	4096	512	56	2	1024	512	56	2	1024	ec48121a56eec5b6f15fe3bf27a69b4e011adbd9d5871470a86b6077d1308f72	ce9a7736db7de6c3b4220f5048dd3eab62b562d67a5c859b52114682cf8325ba	f277bf948e523bd873391f16d16b002c12c70fa35441b43edd216ded400fa117
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	252	0	EXECUTED_SHARD	LDGSTS.E.BYPASS.LTC128B.128	LDGSTS.E.BYPASS.LTC128B.128 [R201+0x6000], [R18.64], P1 ;	READ	EXACT_STATIC_SASS_VALIDATED	16	77824	4864	608	133	5	1216	608	133	5	1216	ec48121a56eec5b6f15fe3bf27a69b4e011adbd9d5871470a86b6077d1308f72	e821dd85ab700971b444f4b090f49c38aaa6e404e8a78920d85882bb2372c8fe	e202a32eac1fac86baf1d23958293c9aabdc807027466d3e25889cc826f3c310
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	272	0	EXECUTED_SHARD	LDGSTS.E.BYPASS.LTC128B.128	LDGSTS.E.BYPASS.LTC128B.128 [R201+0x6c00], [R12.64+UR4], P3 ;	READ	EXACT_STATIC_SASS_VALIDATED	16	77824	4864	608	133	5	1216	608	133	5	1216	ec48121a56eec5b6f15fe3bf27a69b4e011adbd9d5871470a86b6077d1308f72	82d93e1d4119cea6523145bbc65a4d9be852cf5364acdfaf14f7a89b3f625dc6	cd66805932fabfc350237f7c47d6ee2e4c5c5e473c80052e1fb16de4baefff52
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	277	0	EXECUTED_SHARD	LDGSTS.E.BYPASS.LTC128B.128	LDGSTS.E.BYPASS.LTC128B.128 [R202+0x6000], [R2.64], P0 ;	READ	EXACT_STATIC_SASS_VALIDATED	16	77824	4864	608	133	5	1216	608	133	5	1216	ec48121a56eec5b6f15fe3bf27a69b4e011adbd9d5871470a86b6077d1308f72	2a417f5bb2e04ea4d39f3886661a09c1977fb66b1cf961294b307ed65024974c	38fff82847f22ce424344f2595a67a912080bc75d71a3ef1cceee0f14717d8e5
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	279	0	EXECUTED_SHARD	LDGSTS.E.BYPASS.LTC128B.128	LDGSTS.E.BYPASS.LTC128B.128 [R202+0x6c00], [R14.64], P2 ;	READ	EXACT_STATIC_SASS_VALIDATED	16	77824	4864	608	133	5	1216	608	133	5	1216	ec48121a56eec5b6f15fe3bf27a69b4e011adbd9d5871470a86b6077d1308f72	82bf53484f59a6ac5e003d393a757cd4c814813468768fe6816229ebcbd0ae53	cfdc388fa4aa92785c676d8d05c0250761632ee36994cd943e97f7018e40c902
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	329	0	EXECUTED_SHARD	LDGSTS.E.BYPASS.LTC128B.128	LDGSTS.E.BYPASS.LTC128B.128 [R204+0x80], [R14.64], P0 ;	READ	EXACT_STATIC_SASS_VALIDATED	16	77824	4096	512	56	2	1024	512	56	2	1024	ec48121a56eec5b6f15fe3bf27a69b4e011adbd9d5871470a86b6077d1308f72	f61f4a4c945b2cbab75de0e113d6661d5af8a35149ef2f004f719ea2da6cf7d1	b3dd4852770526ccbc91d21f40630cd478ff67b7b73dc006e4848cb90a5feb40
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	334	0	EXECUTED_SHARD	LDGSTS.E.BYPASS.LTC128B.128	LDGSTS.E.BYPASS.LTC128B.128 [R203+0x80], [R166.64], P1 ;	READ	EXACT_STATIC_SASS_VALIDATED	16	77824	4096	512	56	2	1024	512	56	2	1024	ec48121a56eec5b6f15fe3bf27a69b4e011adbd9d5871470a86b6077d1308f72	239e86aca21bf2c4c4ae35fdb663f16b3615a7367014c560e3046e7e99f89e17	09ef40ef997594e13709a8abab829e19c9a5bd564354ca9e14cf0855cf479409
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	346	0	EXECUTED_SHARD	LDGSTS.E.BYPASS.LTC128B.128	LDGSTS.E.BYPASS.LTC128B.128 [R202+0x6080], [R8.64], P0 ;	READ	EXACT_STATIC_SASS_VALIDATED	16	77824	4864	608	133	5	1216	608	133	5	1216	ec48121a56eec5b6f15fe3bf27a69b4e011adbd9d5871470a86b6077d1308f72	3d3f196e3ce0c45d302a82cd12fe0db5654548d311d504ec156d6c31f153922a	1d22d930d392f87e9b1fdd89544acb3edfb139459a2e3a073d9d1866cfb5f2b4
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	350	0	EXECUTED_SHARD	LDGSTS.E.BYPASS.LTC128B.128	LDGSTS.E.BYPASS.LTC128B.128 [R201+0x6080], [R6.64], P1 ;	READ	EXACT_STATIC_SASS_VALIDATED	16	77824	4864	608	133	5	1216	608	133	5	1216	ec48121a56eec5b6f15fe3bf27a69b4e011adbd9d5871470a86b6077d1308f72	7e8ec251dc1e87c4530b29884f814d35a6362ac37be4c8861aaa3a862f6bf07f	558aaa6665294a4f45902820449a1e6bab406bef6e711eb08f04eefbd32327db
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	354	0	EXECUTED_SHARD	LDGSTS.E.BYPASS.LTC128B.128	LDGSTS.E.BYPASS.LTC128B.128 [R202+0x6c80], [R10.64], P2 ;	READ	EXACT_STATIC_SASS_VALIDATED	16	77824	4864	608	133	5	1216	608	133	5	1216	ec48121a56eec5b6f15fe3bf27a69b4e011adbd9d5871470a86b6077d1308f72	d5bddb99fca672c8a59962b2f72e0326ca0d27450ccdbb8ad2a4bc20ca34f4e9	54d706433d70ac19ec24d46c3ebe30493dcde47f2b31d91ed117a36a60f1bca6
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	357	0	EXECUTED_SHARD	LDGSTS.E.BYPASS.LTC128B.128	LDGSTS.E.BYPASS.LTC128B.128 [R201+0x6c80], [R164.64], P3 ;	READ	EXACT_STATIC_SASS_VALIDATED	16	77824	4864	608	133	5	1216	608	133	5	1216	ec48121a56eec5b6f15fe3bf27a69b4e011adbd9d5871470a86b6077d1308f72	42ba548c6a18c3c27f42284aaa1b34b561df81506805cd9f3c6b875e79d2b004	58875fb6db56221d95e2e3cf0f73ab2a6662757a76990c8162a34b04adae4374
Q05_S2_PREFILL_GEMM_LDGSTS	C16R_qwen25-05b_s2-text_prefill_nvbit-ldgsts-shard_q05-s2-prefill-gemm-ldgsts_20260915T093229Z_00d7e1404abc	445	0	EXECUTED_SHARD	LDGSTS.E.BYPASS.LTC128B.128	@P0 LDGSTS.E.BYPASS.LTC128B.128 [R204+UR11], [R206.64] ;	READ	EXACT_STATIC_SASS_VALIDATED	16	2023424	106496	512	56	2	13312	512	56	2	13312	ec48121a56eec5b6f15fe3bf27a69b4e011adbd9d5871470a86b6077d1308f72	d65fdb54ad290fc5d67d9d7d3e8e3770e12252ee6ed9c1097cc37f26d9e2a82a	71a29890f276c7c4cf112b5a094fe3f90d2fe8872f004a6b6add4d6420cb57cd
