artifact_id	kind	requiredness	path_or_ref	size_bytes	sha256	closure_status	note
c16_llama32_1b_frozen_compatible:config.json	MODEL_ASSET	REQUIRED_DEPLOYMENT_DELTA	/workspace/model/meta-llama__Llama-3.2-1B_main/config.json	843	bfb5d39c327ee5c3a65e3574596ff30b052a445cfc59a25bdf3b4c0c5a44f4d2	LOCAL_SHA256_VERIFIED	PREEXISTING_LOCAL_FROZEN_CHECKPOINT; LOCAL_CHECKPOINT_FILES_PRESENT
c16_llama32_1b_frozen_compatible:generation_config.json	MODEL_ASSET	REQUIRED_DEPLOYMENT_DELTA	/workspace/model/meta-llama__Llama-3.2-1B_main/generation_config.json	185	da81b0dd4001a8e19fb5840d2b524f6957f44ddde6f5c3fe32b1f36cef5205bf	LOCAL_SHA256_VERIFIED	PREEXISTING_LOCAL_FROZEN_CHECKPOINT; LOCAL_CHECKPOINT_FILES_PRESENT
c16_llama32_1b_frozen_compatible:model.safetensors	MODEL_ASSET	REQUIRED_DEPLOYMENT_DELTA	/workspace/model/meta-llama__Llama-3.2-1B_main/model.safetensors	2471645608	68a2e4be76fa709455a60272fba8e512c02d81c46e6c671cc9449e374fd6809a	LOCAL_SHA256_VERIFIED	PREEXISTING_LOCAL_FROZEN_CHECKPOINT; LOCAL_CHECKPOINT_FILES_PRESENT
c16_llama32_1b_frozen_compatible:special_tokens_map.json	MODEL_ASSET	REQUIRED_DEPLOYMENT_DELTA	/workspace/model/meta-llama__Llama-3.2-1B_main/special_tokens_map.json	301	cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535	LOCAL_SHA256_VERIFIED	PREEXISTING_LOCAL_FROZEN_CHECKPOINT; LOCAL_CHECKPOINT_FILES_PRESENT
c16_llama32_1b_frozen_compatible:tokenizer.json	MODEL_ASSET	REQUIRED_DEPLOYMENT_DELTA	/workspace/model/meta-llama__Llama-3.2-1B_main/tokenizer.json	9085657	79e3e522635f3171300913bb421464a87de6222182a0570b9b2ccba2a964b2b4	LOCAL_SHA256_VERIFIED	PREEXISTING_LOCAL_FROZEN_CHECKPOINT; LOCAL_CHECKPOINT_FILES_PRESENT
c16_llama32_1b_frozen_compatible:tokenizer_config.json	MODEL_ASSET	REQUIRED_DEPLOYMENT_DELTA	/workspace/model/meta-llama__Llama-3.2-1B_main/tokenizer_config.json	50500	8004530facf809ac432114de2a4dcc65fcb632da5ec16d666091aeb6a2ee444a	LOCAL_SHA256_VERIFIED	PREEXISTING_LOCAL_FROZEN_CHECKPOINT; LOCAL_CHECKPOINT_FILES_PRESENT
A_INPUT:CODE.py	FROZEN_INPUT	REQUIRED_DEPLOYMENT_DELTA	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_a/inputs/CODE.py	156	fd7cd54612d072f0832e32cab751ab3fd2c8d9e5588f349910eb0ab3db2758ff	LOCAL_SHA256_VERIFIED	frozen raw input
A_INPUT:STRUCTURED.json	FROZEN_INPUT	REQUIRED_DEPLOYMENT_DELTA	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_a/inputs/STRUCTURED.json	178	0e9ddcb8a03cfed41c2501eb15f761b76a8e8fe376b09a1fb0977c81b58ca765	LOCAL_SHA256_VERIFIED	frozen raw input
A_INPUT:TEXT.txt	FROZEN_INPUT	REQUIRED_DEPLOYMENT_DELTA	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_a/inputs/TEXT.txt	203	bae0b908106146659663fa04f44bc03ec0da18cadb08c9ec357c140afc4d8208	LOCAL_SHA256_VERIFIED	frozen raw input
A_RECEIPT:INPUT_CORPUS.tsv	A_INPUT_OR_SCENARIO_RECEIPT	REQUIRED_DEPLOYMENT_DELTA	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_a/INPUT_CORPUS.tsv	715	c8fc0b95b2f4c19a22ad706044d4e52a73bcef7ecac44cbe1cdc0980f9c45815	LOCAL_SHA256_VERIFIED	frozen CPU-only input/scenario evidence
A_RECEIPT:SCENARIO_MATRIX.tsv	A_INPUT_OR_SCENARIO_RECEIPT	REQUIRED_DEPLOYMENT_DELTA	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_a/SCENARIO_MATRIX.tsv	1214	82291d77429f641aad4490cfb533a2dbf38398d1509b5a95dd25382cc54147b2	LOCAL_SHA256_VERIFIED	frozen CPU-only input/scenario evidence
A_RECEIPT:SCENARIO_POLICY.md	A_INPUT_OR_SCENARIO_RECEIPT	REQUIRED_DEPLOYMENT_DELTA	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_a/SCENARIO_POLICY.md	1120	20ab4ac1d9c48452a6c19d05330c2da1d22c431b187024b2645a8e3a10bbb1d0	LOCAL_SHA256_VERIFIED	frozen CPU-only input/scenario evidence
A_RECEIPT:TOKEN_RECEIPTS/c16_llama32_1b_frozen_compatible/CODE_T128.json	A_INPUT_OR_SCENARIO_RECEIPT	REQUIRED_DEPLOYMENT_DELTA	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_a/TOKEN_RECEIPTS/c16_llama32_1b_frozen_compatible/CODE_T128.json	1884	e7db4caf23d577b3673e32136bfd74f40ae93eee77e005c3fbfb702a1454fb3f	LOCAL_SHA256_VERIFIED	frozen CPU-only input/scenario evidence
A_RECEIPT:TOKEN_RECEIPTS/c16_llama32_1b_frozen_compatible/CODE_T2048.json	A_INPUT_OR_SCENARIO_RECEIPT	REQUIRED_DEPLOYMENT_DELTA	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_a/TOKEN_RECEIPTS/c16_llama32_1b_frozen_compatible/CODE_T2048.json	10526	d1d336f56ecc75378276bafbeaf1a14c2eee446b52f223952675ceb97f3e12eb	LOCAL_SHA256_VERIFIED	frozen CPU-only input/scenario evidence
A_RECEIPT:TOKEN_RECEIPTS/c16_llama32_1b_frozen_compatible/CODE_T256.json	A_INPUT_OR_SCENARIO_RECEIPT	REQUIRED_DEPLOYMENT_DELTA	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_a/TOKEN_RECEIPTS/c16_llama32_1b_frozen_compatible/CODE_T256.json	2464	a28848d490794dcc00285f8c1d6fe8e0717b2cfd7ec7657ddc3006a51988c422	LOCAL_SHA256_VERIFIED	frozen CPU-only input/scenario evidence
A_RECEIPT:TOKEN_RECEIPTS/c16_llama32_1b_frozen_compatible/CODE_T8192.json	A_INPUT_OR_SCENARIO_RECEIPT	REQUIRED_DEPLOYMENT_DELTA	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_a/TOKEN_RECEIPTS/c16_llama32_1b_frozen_compatible/CODE_T8192.json	38173	5c1a021cd86a92af4071225e587459305f412fb22b34e818ef9a2e34e0e929c0	LOCAL_SHA256_VERIFIED	frozen CPU-only input/scenario evidence
A_RECEIPT:TOKEN_RECEIPTS/c16_llama32_1b_frozen_compatible/STRUCTURED_T128.json	A_INPUT_OR_SCENARIO_RECEIPT	REQUIRED_DEPLOYMENT_DELTA	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_a/TOKEN_RECEIPTS/c16_llama32_1b_frozen_compatible/STRUCTURED_T128.json	1981	527f2d8cd8c6533ee26be355ece88acde2899de218e68a9256d9007a53c67cdb	LOCAL_SHA256_VERIFIED	frozen CPU-only input/scenario evidence
A_RECEIPT:TOKEN_RECEIPTS/c16_llama32_1b_frozen_compatible/STRUCTURED_T2048.json	A_INPUT_OR_SCENARIO_RECEIPT	REQUIRED_DEPLOYMENT_DELTA	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_a/TOKEN_RECEIPTS/c16_llama32_1b_frozen_compatible/STRUCTURED_T2048.json	10180	6fb7165aabb6797ae19984004f488da65fea0121267765b680ae05fe0dbcb0a2	LOCAL_SHA256_VERIFIED	frozen CPU-only input/scenario evidence
A_RECEIPT:TOKEN_RECEIPTS/c16_llama32_1b_frozen_compatible/STRUCTURED_T256.json	A_INPUT_OR_SCENARIO_RECEIPT	REQUIRED_DEPLOYMENT_DELTA	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_a/TOKEN_RECEIPTS/c16_llama32_1b_frozen_compatible/STRUCTURED_T256.json	2528	31e236226c7ce4ee4aa764f5a740dcf9ec31f08fdfd729eb19453575a2807c0a	LOCAL_SHA256_VERIFIED	frozen CPU-only input/scenario evidence
