plan_id	selector_kind	universe_id	budget	certainty_units	remaining_after_certainty	stratum_id	N_s	n_s	count_mass	duration_mass_ns	variation_proxy_mass	variation_proxy_source	allocation_score	random_audit_target	random_audit_actual	estimated_capture_cost_ns	status
C16_V2_R_B12_c16_qwen25_7b_awq_S1_DECODE	SELECTOR_R	c16_qwen25_7b_awq|S1|DECODE	12	0	12	DECODE|UNKNOWN_OPERATOR|AUTOAWQ_CAUSAL_LM_EAGER|R2_P2_5xP2_2|float16	112875	12	112875	1388131941	0	NATIVE_CENSUS_PRE_OUTCOME	1	1	1	63077	FROZEN_READY
C16_V2_R_B24_c16_qwen25_7b_awq_S1_DECODE	SELECTOR_R	c16_qwen25_7b_awq|S1|DECODE	24	0	24	DECODE|UNKNOWN_OPERATOR|AUTOAWQ_CAUSAL_LM_EAGER|R2_P2_5xP2_2|float16	112875	24	112875	1388131941	0	NATIVE_CENSUS_PRE_OUTCOME	1	2	2	793933	FROZEN_READY
C16_V2_R_B48_c16_qwen25_7b_awq_S1_DECODE	SELECTOR_R	c16_qwen25_7b_awq|S1|DECODE	48	0	48	DECODE|UNKNOWN_OPERATOR|AUTOAWQ_CAUSAL_LM_EAGER|R2_P2_5xP2_2|float16	112875	48	112875	1388131941	0	NATIVE_CENSUS_PRE_OUTCOME	1	5	5	232727	FROZEN_READY
C16_V2_R_B12_c16_qwen25_7b_awq_S1_FULL_FORWARD_UNATTRIBUTED	SELECTOR_R	c16_qwen25_7b_awq|S1|FULL_FORWARD_UNATTRIBUTED	12	5	7	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|AUTOAWQ_CAUSAL_LM_EAGER|R2_P2_5xP2_2|float16	3385	7	3385	315528544	0	NATIVE_CENSUS_PRE_OUTCOME	1	1	1	22088312	FROZEN_READY
C16_V2_R_B24_c16_qwen25_7b_awq_S1_FULL_FORWARD_UNATTRIBUTED	SELECTOR_R	c16_qwen25_7b_awq|S1|FULL_FORWARD_UNATTRIBUTED	24	5	19	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|AUTOAWQ_CAUSAL_LM_EAGER|R2_P2_5xP2_2|float16	3385	19	3385	315528544	0	NATIVE_CENSUS_PRE_OUTCOME	1	2	2	22134717	FROZEN_READY
C16_V2_R_B48_c16_qwen25_7b_awq_S1_FULL_FORWARD_UNATTRIBUTED	SELECTOR_R	c16_qwen25_7b_awq|S1|FULL_FORWARD_UNATTRIBUTED	48	5	43	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|AUTOAWQ_CAUSAL_LM_EAGER|R2_P2_5xP2_2|float16	3385	43	3385	315528544	0	NATIVE_CENSUS_PRE_OUTCOME	1	5	5	31982033	FROZEN_READY
C16_V2_R_B12_c16_qwen25_7b_awq_S1_PREFILL	SELECTOR_R	c16_qwen25_7b_awq|S1|PREFILL	12	0	12	PREFILL|UNKNOWN_OPERATOR|AUTOAWQ_CAUSAL_LM_EAGER|R2_P2_5xP2_2|float16	3715	12	3715	315615641	0	NATIVE_CENSUS_PRE_OUTCOME	1	1	1	100395	FROZEN_READY
C16_V2_R_B24_c16_qwen25_7b_awq_S1_PREFILL	SELECTOR_R	c16_qwen25_7b_awq|S1|PREFILL	24	0	24	PREFILL|UNKNOWN_OPERATOR|AUTOAWQ_CAUSAL_LM_EAGER|R2_P2_5xP2_2|float16	3715	24	3715	315615641	0	NATIVE_CENSUS_PRE_OUTCOME	1	2	2	3566286	FROZEN_READY
C16_V2_R_B48_c16_qwen25_7b_awq_S1_PREFILL	SELECTOR_R	c16_qwen25_7b_awq|S1|PREFILL	48	0	48	PREFILL|UNKNOWN_OPERATOR|AUTOAWQ_CAUSAL_LM_EAGER|R2_P2_5xP2_2|float16	3715	48	3715	315615641	0	NATIVE_CENSUS_PRE_OUTCOME	1	5	5	9622876	FROZEN_READY
C16_V2_R_B12_c16_qwen25_7b_awq_S2_DECODE	SELECTOR_R	c16_qwen25_7b_awq|S2|DECODE	12	0	12	DECODE|UNKNOWN_OPERATOR|AUTOAWQ_CAUSAL_LM_EAGER|R2_P2_5xP2_1|float16	699825	12	699825	9796497391	0	NATIVE_CENSUS_PRE_OUTCOME	1	1	1	389338	FROZEN_READY
C16_V2_R_B24_c16_qwen25_7b_awq_S2_DECODE	SELECTOR_R	c16_qwen25_7b_awq|S2|DECODE	24	0	24	DECODE|UNKNOWN_OPERATOR|AUTOAWQ_CAUSAL_LM_EAGER|R2_P2_5xP2_1|float16	699825	24	699825	9796497391	0	NATIVE_CENSUS_PRE_OUTCOME	1	2	2	491035	FROZEN_READY
C16_V2_R_B48_c16_qwen25_7b_awq_S2_DECODE	SELECTOR_R	c16_qwen25_7b_awq|S2|DECODE	48	0	48	DECODE|UNKNOWN_OPERATOR|AUTOAWQ_CAUSAL_LM_EAGER|R2_P2_5xP2_1|float16	699825	48	699825	9796497391	0	NATIVE_CENSUS_PRE_OUTCOME	1	5	5	601981	FROZEN_READY
C16_V2_R_B12_c16_qwen25_7b_awq_S2_FULL_FORWARD_UNATTRIBUTED	SELECTOR_R	c16_qwen25_7b_awq|S2|FULL_FORWARD_UNATTRIBUTED	12	0	12	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|AUTOAWQ_CAUSAL_LM_EAGER|R2_P2_5xP2_1|float16	15006	12	15006	5370129105	0	NATIVE_CENSUS_PRE_OUTCOME	1	1	1	5071322	FROZEN_READY
C16_V2_R_B24_c16_qwen25_7b_awq_S2_FULL_FORWARD_UNATTRIBUTED	SELECTOR_R	c16_qwen25_7b_awq|S2|FULL_FORWARD_UNATTRIBUTED	24	0	24	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|AUTOAWQ_CAUSAL_LM_EAGER|R2_P2_5xP2_1|float16	15006	24	15006	5370129105	0	NATIVE_CENSUS_PRE_OUTCOME	1	2	2	11234997	FROZEN_READY
C16_V2_R_B48_c16_qwen25_7b_awq_S2_FULL_FORWARD_UNATTRIBUTED	SELECTOR_R	c16_qwen25_7b_awq|S2|FULL_FORWARD_UNATTRIBUTED	48	0	48	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|AUTOAWQ_CAUSAL_LM_EAGER|R2_P2_5xP2_1|float16	15006	48	15006	5370129105	0	NATIVE_CENSUS_PRE_OUTCOME	1	5	5	14593954	FROZEN_READY
C16_V2_R_B12_c16_qwen25_7b_awq_S2_PREFILL	SELECTOR_R	c16_qwen25_7b_awq|S2|PREFILL	12	0	12	PREFILL|UNKNOWN_OPERATOR|AUTOAWQ_CAUSAL_LM_EAGER|R2_P2_5xP2_1|float16	6309	12	6309	1976027946	0	NATIVE_CENSUS_PRE_OUTCOME	1	1	1	4705035	FROZEN_READY
C16_V2_R_B24_c16_qwen25_7b_awq_S2_PREFILL	SELECTOR_R	c16_qwen25_7b_awq|S2|PREFILL	24	0	24	PREFILL|UNKNOWN_OPERATOR|AUTOAWQ_CAUSAL_LM_EAGER|R2_P2_5xP2_1|float16	6309	24	6309	1976027946	0	NATIVE_CENSUS_PRE_OUTCOME	1	2	2	5481894	FROZEN_READY
C16_V2_R_B48_c16_qwen25_7b_awq_S2_PREFILL	SELECTOR_R	c16_qwen25_7b_awq|S2|PREFILL	48	0	48	PREFILL|UNKNOWN_OPERATOR|AUTOAWQ_CAUSAL_LM_EAGER|R2_P2_5xP2_1|float16	6309	48	6309	1976027946	0	NATIVE_CENSUS_PRE_OUTCOME	1	5	5	28098897	FROZEN_READY
