universe_id	deployment_id	scenario_id	phase	stratum_id	unit_id	launch_ordinal	N_s	certainty_weight	reason	duration_ns	evidence_tier	capture_authorization
c16_llama32_1b_frozen_compatible|S1|FULL_FORWARD_UNATTRIBUTED	c16_llama32_1b_frozen_compatible	S1	FULL_FORWARD_UNATTRIBUTED	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_2|float16	launch:eee03ffd-714e-4c66-beb0-1acd6ed45f79:cuda:0:CUDA_CONTEXT_1:CUDA_STREAM_7:CUDA_CORRELATION_14466:708	708	1	1	PHASE_DURATION_GE_1_PERCENT	2097295	NATIVE_PROFILED	PENDING_G_TARGET_ACCEPTANCE
c16_llama32_1b_frozen_compatible|S1|FULL_FORWARD_UNATTRIBUTED	c16_llama32_1b_frozen_compatible	S1	FULL_FORWARD_UNATTRIBUTED	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_2|float16	launch:eee03ffd-714e-4c66-beb0-1acd6ed45f79:cuda:0:CUDA_CONTEXT_1:CUDA_STREAM_7:CUDA_CORRELATION_187049:12052	12052	1	1	PHASE_DURATION_GE_1_PERCENT	2095185	NATIVE_PROFILED	PENDING_G_TARGET_ACCEPTANCE
c16_llama32_1b_frozen_compatible|S1|FULL_FORWARD_UNATTRIBUTED	c16_llama32_1b_frozen_compatible	S1	FULL_FORWARD_UNATTRIBUTED	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_2|float16	launch:eee03ffd-714e-4c66-beb0-1acd6ed45f79:cuda:0:CUDA_CONTEXT_1:CUDA_STREAM_7:CUDA_CORRELATION_359483:23385	23385	1	1	PHASE_DURATION_GE_1_PERCENT	163947	NATIVE_PROFILED	PENDING_G_TARGET_ACCEPTANCE
c16_llama32_1b_frozen_compatible|S1|FULL_FORWARD_UNATTRIBUTED	c16_llama32_1b_frozen_compatible	S1	FULL_FORWARD_UNATTRIBUTED	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_2|float16	launch:eee03ffd-714e-4c66-beb0-1acd6ed45f79:cuda:0:CUDA_CONTEXT_1:CUDA_STREAM_7:CUDA_CORRELATION_359618:23396	23396	1	1	PHASE_DURATION_GE_1_PERCENT	2098094	NATIVE_PROFILED	PENDING_G_TARGET_ACCEPTANCE
c16_llama32_1b_frozen_compatible|S1|FULL_FORWARD_UNATTRIBUTED	c16_llama32_1b_frozen_compatible	S1	FULL_FORWARD_UNATTRIBUTED	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_2|float16	launch:eee03ffd-714e-4c66-beb0-1acd6ed45f79:cuda:0:CUDA_CONTEXT_1:CUDA_STREAM_7:CUDA_CORRELATION_532052:34729	34729	1	1	PHASE_DURATION_GE_1_PERCENT	163787	NATIVE_PROFILED	PENDING_G_TARGET_ACCEPTANCE
c16_llama32_1b_frozen_compatible|S1|FULL_FORWARD_UNATTRIBUTED	c16_llama32_1b_frozen_compatible	S1	FULL_FORWARD_UNATTRIBUTED	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_2|float16	launch:eee03ffd-714e-4c66-beb0-1acd6ed45f79:cuda:0:CUDA_CONTEXT_1:CUDA_STREAM_7:CUDA_CORRELATION_532187:34740	34740	1	1	PHASE_DURATION_GE_1_PERCENT	2095537	NATIVE_PROFILED	PENDING_G_TARGET_ACCEPTANCE
c16_llama32_1b_frozen_compatible|S1|FULL_FORWARD_UNATTRIBUTED	c16_llama32_1b_frozen_compatible	S1	FULL_FORWARD_UNATTRIBUTED	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_2|float16	launch:eee03ffd-714e-4c66-beb0-1acd6ed45f79:cuda:0:CUDA_CONTEXT_1:CUDA_STREAM_7:CUDA_CORRELATION_704621:46073	46073	1	1	PHASE_DURATION_GE_1_PERCENT	163787	NATIVE_PROFILED	PENDING_G_TARGET_ACCEPTANCE
c16_llama32_1b_frozen_compatible|S1|FULL_FORWARD_UNATTRIBUTED	c16_llama32_1b_frozen_compatible	S1	FULL_FORWARD_UNATTRIBUTED	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_2|float16	launch:eee03ffd-714e-4c66-beb0-1acd6ed45f79:cuda:0:CUDA_CONTEXT_1:CUDA_STREAM_7:CUDA_CORRELATION_704756:46084	46084	1	1	PHASE_DURATION_GE_1_PERCENT	2098893	NATIVE_PROFILED	PENDING_G_TARGET_ACCEPTANCE
c16_llama32_1b_frozen_compatible|S2|FULL_FORWARD_UNATTRIBUTED	c16_llama32_1b_frozen_compatible	S2	FULL_FORWARD_UNATTRIBUTED	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_1|float16	launch:2a4c3b95-7357-432d-ad17-e95709752be8:cuda:0:CUDA_CONTEXT_1:CUDA_STREAM_7:CUDA_CORRELATION_1050320:68580	68580	1	1	PHASE_DURATION_GE_1_PERCENT	14318878	NATIVE_PROFILED	PENDING_G_TARGET_ACCEPTANCE
c16_llama32_1b_frozen_compatible|S2|FULL_FORWARD_UNATTRIBUTED	c16_llama32_1b_frozen_compatible	S2	FULL_FORWARD_UNATTRIBUTED	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_1|float16	launch:2a4c3b95-7357-432d-ad17-e95709752be8:cuda:0:CUDA_CONTEXT_1:CUDA_STREAM_7:CUDA_CORRELATION_1395661:91220	91220	1	1	PHASE_DURATION_GE_1_PERCENT	14319424	NATIVE_PROFILED	PENDING_G_TARGET_ACCEPTANCE
c16_llama32_1b_frozen_compatible|S2|FULL_FORWARD_UNATTRIBUTED	c16_llama32_1b_frozen_compatible	S2	FULL_FORWARD_UNATTRIBUTED	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_1|float16	launch:2a4c3b95-7357-432d-ad17-e95709752be8:cuda:0:CUDA_CONTEXT_1:CUDA_STREAM_7:CUDA_CORRELATION_14291:660	660	1	1	PHASE_DURATION_GE_1_PERCENT	15694678	NATIVE_PROFILED	PENDING_G_TARGET_ACCEPTANCE
c16_llama32_1b_frozen_compatible|S2|FULL_FORWARD_UNATTRIBUTED	c16_llama32_1b_frozen_compatible	S2	FULL_FORWARD_UNATTRIBUTED	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_1|float16	launch:2a4c3b95-7357-432d-ad17-e95709752be8:cuda:0:CUDA_CONTEXT_1:CUDA_STREAM_7:CUDA_CORRELATION_359638:23300	23300	1	1	PHASE_DURATION_GE_1_PERCENT	14326718	NATIVE_PROFILED	PENDING_G_TARGET_ACCEPTANCE
c16_llama32_1b_frozen_compatible|S2|FULL_FORWARD_UNATTRIBUTED	c16_llama32_1b_frozen_compatible	S2	FULL_FORWARD_UNATTRIBUTED	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_1|float16	launch:2a4c3b95-7357-432d-ad17-e95709752be8:cuda:0:CUDA_CONTEXT_1:CUDA_STREAM_7:CUDA_CORRELATION_704979:45940	45940	1	1	PHASE_DURATION_GE_1_PERCENT	14323805	NATIVE_PROFILED	PENDING_G_TARGET_ACCEPTANCE
c16_llama32_1b_frozen_compatible|S3|FULL_FORWARD_UNATTRIBUTED	c16_llama32_1b_frozen_compatible	S3	FULL_FORWARD_UNATTRIBUTED	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_7xP2_2|float16	launch:b1addf2c-091f-435f-b249-1a1c41338894:cuda:0:CUDA_CONTEXT_1:CUDA_STREAM_7:CUDA_CORRELATION_14664:660	660	1	1	PHASE_DURATION_GE_1_PERCENT	57410571	NATIVE_PROFILED	PENDING_G_TARGET_ACCEPTANCE
c16_llama32_1b_frozen_compatible|S3|FULL_FORWARD_UNATTRIBUTED	c16_llama32_1b_frozen_compatible	S3	FULL_FORWARD_UNATTRIBUTED	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_7xP2_2|float16	launch:b1addf2c-091f-435f-b249-1a1c41338894:cuda:0:CUDA_CONTEXT_1:CUDA_STREAM_7:CUDA_CORRELATION_187419:11956	11956	1	1	PHASE_DURATION_GE_1_PERCENT	57403791	NATIVE_PROFILED	PENDING_G_TARGET_ACCEPTANCE
c16_llama32_1b_frozen_compatible|S3|FULL_FORWARD_UNATTRIBUTED	c16_llama32_1b_frozen_compatible	S3	FULL_FORWARD_UNATTRIBUTED	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_7xP2_2|float16	launch:b1addf2c-091f-435f-b249-1a1c41338894:cuda:0:CUDA_CONTEXT_1:CUDA_STREAM_7:CUDA_CORRELATION_360168:23252	23252	1	1	PHASE_DURATION_GE_1_PERCENT	57877665	NATIVE_PROFILED	PENDING_G_TARGET_ACCEPTANCE
c16_llama32_1b_frozen_compatible|S3|FULL_FORWARD_UNATTRIBUTED	c16_llama32_1b_frozen_compatible	S3	FULL_FORWARD_UNATTRIBUTED	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_7xP2_2|float16	launch:b1addf2c-091f-435f-b249-1a1c41338894:cuda:0:CUDA_CONTEXT_1:CUDA_STREAM_7:CUDA_CORRELATION_532917:34548	34548	1	1	PHASE_DURATION_GE_1_PERCENT	57871307	NATIVE_PROFILED	PENDING_G_TARGET_ACCEPTANCE
