universe_id	deployment_id	scenario_id	phase	stratum_id	N_s	certainty_units	operator_class	implementation_key	shape_bucket	dtype_key	split_role	source_cohort	evidence_tier
c16_llama32_1b_frozen_compatible|S1|DECODE	c16_llama32_1b_frozen_compatible	S1	DECODE	DECODE|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_2|float16	53175	0	UNKNOWN_OPERATOR	TRANSFORMERS_CAUSAL_LM_EAGER	R2_P2_5xP2_2	float16	TUNING	TRAIN_TUNE	NATIVE_PROFILED
c16_llama32_1b_frozen_compatible|S1|FULL_FORWARD_UNATTRIBUTED	c16_llama32_1b_frozen_compatible	S1	FULL_FORWARD_UNATTRIBUTED	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_2|float16	1	8	UNKNOWN_OPERATOR	TRANSFORMERS_CAUSAL_LM_EAGER	R2_P2_5xP2_2	float16	TUNING	TRAIN_TUNE	NATIVE_PROFILED
c16_llama32_1b_frozen_compatible|S1|PREFILL	c16_llama32_1b_frozen_compatible	S1	PREFILL	PREFILL|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_2|float16	3502	0	UNKNOWN_OPERATOR	TRANSFORMERS_CAUSAL_LM_EAGER	R2_P2_5xP2_2	float16	TUNING	TRAIN_TUNE	NATIVE_PROFILED
c16_llama32_1b_frozen_compatible|S2|DECODE	c16_llama32_1b_frozen_compatible	S2	DECODE	DECODE|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_1|float16	109895	0	UNKNOWN_OPERATOR	TRANSFORMERS_CAUSAL_LM_EAGER	R2_P2_5xP2_1	float16	TUNING	TRAIN_TUNE	NATIVE_PROFILED
c16_llama32_1b_frozen_compatible|S2|FULL_FORWARD_UNATTRIBUTED	c16_llama32_1b_frozen_compatible	S2	FULL_FORWARD_UNATTRIBUTED	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_1|float16	1	5	UNKNOWN_OPERATOR	TRANSFORMERS_CAUSAL_LM_EAGER	R2_P2_5xP2_1	float16	TUNING	TRAIN_TUNE	NATIVE_PROFILED
c16_llama32_1b_frozen_compatible|S2|PREFILL	c16_llama32_1b_frozen_compatible	S2	PREFILL	PREFILL|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_1|float16	1328	0	UNKNOWN_OPERATOR	TRANSFORMERS_CAUSAL_LM_EAGER	R2_P2_5xP2_1	float16	TUNING	TRAIN_TUNE	NATIVE_PROFILED
c16_llama32_1b_frozen_compatible|S3|DECODE	c16_llama32_1b_frozen_compatible	S3	DECODE	DECODE|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_7xP2_2|float16	53175	0	UNKNOWN_OPERATOR	TRANSFORMERS_CAUSAL_LM	R2_P2_7xP2_2	float16	TUNING	TRAIN_TUNE	NATIVE_PROFILED
c16_llama32_1b_frozen_compatible|S3|FULL_FORWARD_UNATTRIBUTED	c16_llama32_1b_frozen_compatible	S3	FULL_FORWARD_UNATTRIBUTED	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_7xP2_2|float16	2906	5	UNKNOWN_OPERATOR	TRANSFORMERS_CAUSAL_LM	R2_P2_7xP2_2	float16	TUNING	TRAIN_TUNE	NATIVE_PROFILED
c16_llama32_1b_frozen_compatible|S3|PREFILL	c16_llama32_1b_frozen_compatible	S3	PREFILL	PREFILL|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_7xP2_2|float16	366	28	UNKNOWN_OPERATOR	TRANSFORMERS_CAUSAL_LM	R2_P2_7xP2_2	float16	TUNING	TRAIN_TUNE	NATIVE_PROFILED
c16_llama32_1b_frozen_compatible|S4|DECODE	c16_llama32_1b_frozen_compatible	S4	DECODE	DECODE|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_5xP2_2|float16	56775	0	UNKNOWN_OPERATOR	TRANSFORMERS_CAUSAL_LM	R2_P2_5xP2_2	float16	TUNING	TRAIN_TUNE	NATIVE_PROFILED
c16_llama32_1b_frozen_compatible|S4|FULL_FORWARD_UNATTRIBUTED	c16_llama32_1b_frozen_compatible	S4	FULL_FORWARD_UNATTRIBUTED	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_5xP2_2|float16	2957	5	UNKNOWN_OPERATOR	TRANSFORMERS_CAUSAL_LM	R2_P2_5xP2_2	float16	TUNING	TRAIN_TUNE	NATIVE_PROFILED
c16_llama32_1b_frozen_compatible|S4|PREFILL	c16_llama32_1b_frozen_compatible	S4	PREFILL	PREFILL|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_5xP2_2|float16	322	21	UNKNOWN_OPERATOR	TRANSFORMERS_CAUSAL_LM	R2_P2_5xP2_2	float16	TUNING	TRAIN_TUNE	NATIVE_PROFILED
