nvbit_version	tool	instrumentation_granularity	torch_version	torch_cuda	driver	gpu_arch	workload	status	time_to_first_kernel_seconds	trace_generated	failure_stage
1.7.6	instr_count_bb	PER_BASIC_BLOCK	2.5.1+cu124	12.4	570.124.04	sm_86	elementwise	TIMEOUT	NOT_OBSERVED_WITHIN_60	FALSE	ELEMENTWISE_PREPARE_BEFORE_WORKLOAD_KERNEL
1.7.6	instr_count_bb	PER_BASIC_BLOCK	2.5.1+cu124	12.4	570.124.04	sm_86	gemm	TIMEOUT	NOT_OBSERVED_WITHIN_60	FALSE	GEMM_PREPARE_BEFORE_WORKLOAD_KERNEL
1.7.6	mem_trace	PER_MEMORY_INSTRUCTION	2.5.1+cu124	12.4	570.124.04	sm_86	elementwise	TIMEOUT	NOT_OBSERVED_WITHIN_60	FALSE	ELEMENTWISE_PREPARE_BEFORE_WORKLOAD_KERNEL
1.7.6	mem_trace	PER_MEMORY_INSTRUCTION	2.5.1+cu124	12.4	570.124.04	sm_86	gemm	TIMEOUT	NOT_OBSERVED_WITHIN_60	FALSE	GEMM_PREPARE_BEFORE_WORKLOAD_KERNEL
1.8	NONE	NONE	2.5.1+cu124	12.4	570.124.04	sm_86	elementwise	PASS	2	FALSE	NORMAL_EXIT
1.8	instr_count_bb	PER_BASIC_BLOCK	2.5.1+cu124	12.4	570.124.04	sm_86	elementwise	PASS	3	FALSE	KERNEL_OBSERVED
1.8	instr_count	PER_INSTRUCTION	2.5.1+cu124	12.4	570.124.04	sm_86	elementwise	PASS	2	FALSE	KERNEL_OBSERVED
1.8	mem_trace	PER_MEMORY_INSTRUCTION	2.5.1+cu124	12.4	570.124.04	sm_86	elementwise	PASS	3	TRUE	MEMORY_RECORDS_OBSERVED
1.8	NONE	NONE	2.5.1+cu124	12.4	570.124.04	sm_86	gemm	PASS	2	FALSE	NORMAL_EXIT
1.8	instr_count_bb	PER_BASIC_BLOCK	2.5.1+cu124	12.4	570.124.04	sm_86	gemm	PASS	3	FALSE	KERNEL_OBSERVED
1.8	instr_count	PER_INSTRUCTION	2.5.1+cu124	12.4	570.124.04	sm_86	gemm	PASS	3	FALSE	KERNEL_OBSERVED
1.8	mem_trace	PER_MEMORY_INSTRUCTION	2.5.1+cu124	12.4	570.124.04	sm_86	gemm	PASS	3	TRUE	MEMORY_RECORDS_OBSERVED
1.8	C16_MEMORY_TRACER_REBUILT	PER_MEMORY_INSTRUCTION	2.5.1+cu124	12.4	570.124.04	sm_86	elementwise	PASS	3	TRUE	NORMAL_EXIT_WITH_C16_TRACE
1.8	C16_MEMORY_TRACER_REBUILT	PER_MEMORY_INSTRUCTION	2.5.1+cu124	12.4	570.124.04	sm_86	gemm	PASS	4	TRUE	NORMAL_EXIT_WITH_C16_TRACE
