test_id	coverage	expected	observed	result	source_sha256
RTX3090_Q2_PREFILL	lane_events	786432	786432	PASS	cf60a7e063524c080593cef9aea409da0af3e8cad9020a28ed3e416f88725667
RTX3090_Q2_PREFILL	READ	524288	524288	PASS	cf60a7e063524c080593cef9aea409da0af3e8cad9020a28ed3e416f88725667
RTX3090_Q2_PREFILL	WRITE	262144	262144	PASS	cf60a7e063524c080593cef9aea409da0af3e8cad9020a28ed3e416f88725667
RTX3090_Q2_PREFILL	width_2B	524288	524288	PASS	cf60a7e063524c080593cef9aea409da0af3e8cad9020a28ed3e416f88725667
RTX3090_Q2_PREFILL	width_4B	262144	262144	PASS	cf60a7e063524c080593cef9aea409da0af3e8cad9020a28ed3e416f88725667
RTX3090_Q2_PREFILL	unique_exact_va	333952	333952	PASS	cf60a7e063524c080593cef9aea409da0af3e8cad9020a28ed3e416f88725667
RTX3090_Q2_PREFILL	unique_128b_lines	5224	5224	PASS	cf60a7e063524c080593cef9aea409da0af3e8cad9020a28ed3e416f88725667
RTX3090_Q2_PREFILL	unique_4k_pages	164	164	PASS	cf60a7e063524c080593cef9aea409da0af3e8cad9020a28ed3e416f88725667
RTX3090_Q2_PREFILL	unique_2m_pages	20	20	PASS	cf60a7e063524c080593cef9aea409da0af3e8cad9020a28ed3e416f88725667
RTX3090_Q2_DECODE	lane_events	18432	18432	PASS	9ff9ad5481d08d1d88653697fa6086b94965344ffd38feb7169e6c6801d20b8c
RTX3090_Q2_DECODE	READ	12288	12288	PASS	9ff9ad5481d08d1d88653697fa6086b94965344ffd38feb7169e6c6801d20b8c
RTX3090_Q2_DECODE	WRITE	6144	6144	PASS	9ff9ad5481d08d1d88653697fa6086b94965344ffd38feb7169e6c6801d20b8c
RTX3090_Q2_DECODE	width_2B	12288	12288	PASS	9ff9ad5481d08d1d88653697fa6086b94965344ffd38feb7169e6c6801d20b8c
RTX3090_Q2_DECODE	width_4B	6144	6144	PASS	9ff9ad5481d08d1d88653697fa6086b94965344ffd38feb7169e6c6801d20b8c
RTX3090_Q2_DECODE	unique_exact_va	12291	12291	PASS	9ff9ad5481d08d1d88653697fa6086b94965344ffd38feb7169e6c6801d20b8c
RTX3090_Q2_DECODE	unique_128b_lines	195	195	PASS	9ff9ad5481d08d1d88653697fa6086b94965344ffd38feb7169e6c6801d20b8c
RTX3090_Q2_DECODE	unique_4k_pages	9	9	PASS	9ff9ad5481d08d1d88653697fa6086b94965344ffd38feb7169e6c6801d20b8c
RTX3090_Q2_DECODE	unique_2m_pages	7	7	PASS	9ff9ad5481d08d1d88653697fa6086b94965344ffd38feb7169e6c6801d20b8c
Q05_DECODE_EARLY_HEAVY	STATIC_EXECUTED_ZERO_CLOSURE	16	16	PASS	8269bff93a3f53070459128937379e001bc8f133b1d63b1c25ff2016d843f720
Q05_DECODE_EARLY_HEAVY	PRODUCER_UNIQUE_START_VA_DIAGNOSTIC	33	33	PASS	8269bff93a3f53070459128937379e001bc8f133b1d63b1c25ff2016d843f720
Q05_DECODE_EARLY_KV_ATTN	STATIC_EXECUTED_ZERO_CLOSURE	41	41	PASS	0fa680ce633e9e64672406d255f0c9d04b3122c75dfd90881b790129b694a63d
Q05_DECODE_EARLY_KV_ATTN	PRODUCER_UNIQUE_START_VA_DIAGNOSTIC	4158	4158	PASS	0fa680ce633e9e64672406d255f0c9d04b3122c75dfd90881b790129b694a63d
Q05_DECODE_LATE_KV_ATTN	STATIC_EXECUTED_ZERO_CLOSURE	41	41	PASS	f49f440be6e873575a6fbd715d64dc952968fbd9d2ca6902fe7c4d50665d5a9b
Q05_DECODE_LATE_KV_ATTN	PRODUCER_UNIQUE_START_VA_DIAGNOSTIC	4158	4158	PASS	f49f440be6e873575a6fbd715d64dc952968fbd9d2ca6902fe7c4d50665d5a9b
