relative_path	classification	source_role
metadata/Qwen__Qwen3-30B-A3B__ad44e777bcd18fa416d9da3bd8f70d33ebb85d39/model-00001-of-00016.safetensors	MODEL_WEIGHT_SHARD	CANONICAL_MODEL_PAYLOAD_CANDIDATE
metadata/Qwen__Qwen3-30B-A3B__ad44e777bcd18fa416d9da3bd8f70d33ebb85d39/model-00002-of-00016.safetensors	MODEL_WEIGHT_SHARD	CANONICAL_MODEL_PAYLOAD_CANDIDATE
metadata/Qwen__Qwen3-30B-A3B__ad44e777bcd18fa416d9da3bd8f70d33ebb85d39/model-00003-of-00016.safetensors	MODEL_WEIGHT_SHARD	CANONICAL_MODEL_PAYLOAD_CANDIDATE
metadata/Qwen__Qwen3-30B-A3B__ad44e777bcd18fa416d9da3bd8f70d33ebb85d39/model-00004-of-00016.safetensors	MODEL_WEIGHT_SHARD	CANONICAL_MODEL_PAYLOAD_CANDIDATE
metadata/Qwen__Qwen3-30B-A3B__ad44e777bcd18fa416d9da3bd8f70d33ebb85d39/model-00005-of-00016.safetensors	MODEL_WEIGHT_SHARD	CANONICAL_MODEL_PAYLOAD_CANDIDATE
metadata/Qwen__Qwen3-30B-A3B__ad44e777bcd18fa416d9da3bd8f70d33ebb85d39/model-00006-of-00016.safetensors	MODEL_WEIGHT_SHARD	CANONICAL_MODEL_PAYLOAD_CANDIDATE
metadata/Qwen__Qwen3-30B-A3B__ad44e777bcd18fa416d9da3bd8f70d33ebb85d39/model-00007-of-00016.safetensors	MODEL_WEIGHT_SHARD	CANONICAL_MODEL_PAYLOAD_CANDIDATE
metadata/Qwen__Qwen3-30B-A3B__ad44e777bcd18fa416d9da3bd8f70d33ebb85d39/model-00008-of-00016.safetensors	MODEL_WEIGHT_SHARD	CANONICAL_MODEL_PAYLOAD_CANDIDATE
metadata/Qwen__Qwen3-30B-A3B__ad44e777bcd18fa416d9da3bd8f70d33ebb85d39/model-00009-of-00016.safetensors	MODEL_WEIGHT_SHARD	CANONICAL_MODEL_PAYLOAD_CANDIDATE
metadata/Qwen__Qwen3-30B-A3B__ad44e777bcd18fa416d9da3bd8f70d33ebb85d39/model-00010-of-00016.safetensors	MODEL_WEIGHT_SHARD	CANONICAL_MODEL_PAYLOAD_CANDIDATE
metadata/Qwen__Qwen3-30B-A3B__ad44e777bcd18fa416d9da3bd8f70d33ebb85d39/model-00011-of-00016.safetensors	MODEL_WEIGHT_SHARD	CANONICAL_MODEL_PAYLOAD_CANDIDATE
metadata/Qwen__Qwen3-30B-A3B__ad44e777bcd18fa416d9da3bd8f70d33ebb85d39/model-00012-of-00016.safetensors	MODEL_WEIGHT_SHARD	CANONICAL_MODEL_PAYLOAD_CANDIDATE
metadata/Qwen__Qwen3-30B-A3B__ad44e777bcd18fa416d9da3bd8f70d33ebb85d39/model-00013-of-00016.safetensors	MODEL_WEIGHT_SHARD	CANONICAL_MODEL_PAYLOAD_CANDIDATE
metadata/Qwen__Qwen3-30B-A3B__ad44e777bcd18fa416d9da3bd8f70d33ebb85d39/model-00014-of-00016.safetensors	MODEL_WEIGHT_SHARD	CANONICAL_MODEL_PAYLOAD_CANDIDATE
metadata/Qwen__Qwen3-30B-A3B__ad44e777bcd18fa416d9da3bd8f70d33ebb85d39/model-00015-of-00016.safetensors	MODEL_WEIGHT_SHARD	CANONICAL_MODEL_PAYLOAD_CANDIDATE
metadata/Qwen__Qwen3-30B-A3B__ad44e777bcd18fa416d9da3bd8f70d33ebb85d39/model-00016-of-00016.safetensors	MODEL_WEIGHT_SHARD	CANONICAL_MODEL_PAYLOAD_CANDIDATE
runtime/immutable_verified_receipts/c16_qwen3_30b_a3b_native_moe/model-00001-of-00016.safetensors.json	DOWNLOAD_RECEIPT	HISTORICAL_DOWNLOAD_PROVENANCE_ONLY
runtime/immutable_verified_receipts/c16_qwen3_30b_a3b_native_moe/model-00002-of-00016.safetensors.json	DOWNLOAD_RECEIPT	HISTORICAL_DOWNLOAD_PROVENANCE_ONLY
runtime/immutable_verified_receipts/c16_qwen3_30b_a3b_native_moe/model-00003-of-00016.safetensors.json	DOWNLOAD_RECEIPT	HISTORICAL_DOWNLOAD_PROVENANCE_ONLY
runtime/immutable_verified_receipts/c16_qwen3_30b_a3b_native_moe/model-00004-of-00016.safetensors.json	DOWNLOAD_RECEIPT	HISTORICAL_DOWNLOAD_PROVENANCE_ONLY
runtime/immutable_verified_receipts/c16_qwen3_30b_a3b_native_moe/model-00005-of-00016.safetensors.json	DOWNLOAD_RECEIPT	HISTORICAL_DOWNLOAD_PROVENANCE_ONLY
runtime/immutable_verified_receipts/c16_qwen3_30b_a3b_native_moe/model-00006-of-00016.safetensors.json	DOWNLOAD_RECEIPT	HISTORICAL_DOWNLOAD_PROVENANCE_ONLY
runtime/immutable_verified_receipts/c16_qwen3_30b_a3b_native_moe/model-00007-of-00016.safetensors.json	DOWNLOAD_RECEIPT	HISTORICAL_DOWNLOAD_PROVENANCE_ONLY
runtime/immutable_verified_receipts/c16_qwen3_30b_a3b_native_moe/model-00008-of-00016.safetensors.json	DOWNLOAD_RECEIPT	HISTORICAL_DOWNLOAD_PROVENANCE_ONLY
runtime/immutable_verified_receipts/c16_qwen3_30b_a3b_native_moe/model-00009-of-00016.safetensors.json	DOWNLOAD_RECEIPT	HISTORICAL_DOWNLOAD_PROVENANCE_ONLY
runtime/immutable_verified_receipts/c16_qwen3_30b_a3b_native_moe/model-00010-of-00016.safetensors.json	DOWNLOAD_RECEIPT	HISTORICAL_DOWNLOAD_PROVENANCE_ONLY
runtime/immutable_verified_receipts/c16_qwen3_30b_a3b_native_moe/model-00011-of-00016.safetensors.json	DOWNLOAD_RECEIPT	HISTORICAL_DOWNLOAD_PROVENANCE_ONLY
runtime/immutable_verified_receipts/c16_qwen3_30b_a3b_native_moe/model-00012-of-00016.safetensors.json	DOWNLOAD_RECEIPT	HISTORICAL_DOWNLOAD_PROVENANCE_ONLY
runtime/immutable_verified_receipts/c16_qwen3_30b_a3b_native_moe/model-00013-of-00016.safetensors.json	DOWNLOAD_RECEIPT	HISTORICAL_DOWNLOAD_PROVENANCE_ONLY
runtime/immutable_verified_receipts/c16_qwen3_30b_a3b_native_moe/model-00014-of-00016.safetensors.json	DOWNLOAD_RECEIPT	HISTORICAL_DOWNLOAD_PROVENANCE_ONLY
runtime/immutable_verified_receipts/c16_qwen3_30b_a3b_native_moe/model-00015-of-00016.safetensors.json	DOWNLOAD_RECEIPT	HISTORICAL_DOWNLOAD_PROVENANCE_ONLY
runtime/immutable_verified_receipts/c16_qwen3_30b_a3b_native_moe/model-00016-of-00016.safetensors.json	DOWNLOAD_RECEIPT	HISTORICAL_DOWNLOAD_PROVENANCE_ONLY
runtime/logs/c16_qwen3_30b_downloader.log	DOWNLOAD_LOG	HISTORICAL_DOWNLOAD_PROVENANCE_ONLY
runtime/pids/c16_qwen3_30b_downloader.lock	DOWNLOAD_STATE	HISTORICAL_DOWNLOAD_PROVENANCE_ONLY
runtime/pids/c16_qwen3_30b_downloader.pid	DOWNLOAD_STATE	HISTORICAL_DOWNLOAD_PROVENANCE_ONLY
runtime/status/C16_QWEN3_30B_A3B_PROGRESS.json	DOWNLOAD_STATE	HISTORICAL_DOWNLOAD_PROVENANCE_ONLY
runtime/status/C16_QWEN3_30B_A3B_WORKER.json	DOWNLOAD_STATE	HISTORICAL_DOWNLOAD_PROVENANCE_ONLY
