shard	size	sha256	prior_evidence_commit	final_source_rehash	destination_rehash	status
model-00001-of-00016.safetensors	3999417504	454e77b346a61bfb201d54df60e15158838cf930617ee135113556204f2802b5	6c98e6f70c7eb6240c90e49cf84875e56b9aaa9f	454e77b346a61bfb201d54df60e15158838cf930617ee135113556204f2802b5	454e77b346a61bfb201d54df60e15158838cf930617ee135113556204f2802b5	PASS
model-00002-of-00016.safetensors	3999974192	47f015d6e5bb1782a834d75c06113c5e8c77ddca1cb7daf89686a4ec0deda19e	6c98e6f70c7eb6240c90e49cf84875e56b9aaa9f	47f015d6e5bb1782a834d75c06113c5e8c77ddca1cb7daf89686a4ec0deda19e	47f015d6e5bb1782a834d75c06113c5e8c77ddca1cb7daf89686a4ec0deda19e	PASS
model-00003-of-00016.safetensors	3997360832	ac0bf5990f2da995c1e8b77a3149dee71900b4fe1b8a614231dea9647193d96b	6c98e6f70c7eb6240c90e49cf84875e56b9aaa9f	ac0bf5990f2da995c1e8b77a3149dee71900b4fe1b8a614231dea9647193d96b	ac0bf5990f2da995c1e8b77a3149dee71900b4fe1b8a614231dea9647193d96b	PASS
model-00004-of-00016.safetensors	3999975056	89b01fd34a683c70fdb7f22c2e7090538d65063335ba0db46f3654642b17d1e5	6c98e6f70c7eb6240c90e49cf84875e56b9aaa9f	89b01fd34a683c70fdb7f22c2e7090538d65063335ba0db46f3654642b17d1e5	89b01fd34a683c70fdb7f22c2e7090538d65063335ba0db46f3654642b17d1e5	PASS
model-00005-of-00016.safetensors	3999975400	9849eb3584d928e35bf5956ccfd91b64207467e1fad8304aae68dc4d92d6d6d9	6c98e6f70c7eb6240c90e49cf84875e56b9aaa9f	9849eb3584d928e35bf5956ccfd91b64207467e1fad8304aae68dc4d92d6d6d9	9849eb3584d928e35bf5956ccfd91b64207467e1fad8304aae68dc4d92d6d6d9	PASS
model-00006-of-00016.safetensors	3999975400	f7a0f1525557d740158fb692986ad43506e1b5901e7406ae65808c6457bc53ad	6c98e6f70c7eb6240c90e49cf84875e56b9aaa9f	f7a0f1525557d740158fb692986ad43506e1b5901e7406ae65808c6457bc53ad	f7a0f1525557d740158fb692986ad43506e1b5901e7406ae65808c6457bc53ad	PASS
model-00007-of-00016.safetensors	3999975472	920702a50f27a009e5f676da3b02978dbd794f6ad7854f301d709136154c1a84	6c98e6f70c7eb6240c90e49cf84875e56b9aaa9f	920702a50f27a009e5f676da3b02978dbd794f6ad7854f301d709136154c1a84	920702a50f27a009e5f676da3b02978dbd794f6ad7854f301d709136154c1a84	PASS
model-00008-of-00016.safetensors	3997362064	a85bf0cc8a8047c116172d4c08cf4792eb59d4375032708ba3e1a7ffca0f708a	6c98e6f70c7eb6240c90e49cf84875e56b9aaa9f	a85bf0cc8a8047c116172d4c08cf4792eb59d4375032708ba3e1a7ffca0f708a	a85bf0cc8a8047c116172d4c08cf4792eb59d4375032708ba3e1a7ffca0f708a	PASS
model-00009-of-00016.safetensors	3999975408	25cd8aaed86b8e17685efb152912f92448ea3fffb1bdc247f257f04d05907604	6c98e6f70c7eb6240c90e49cf84875e56b9aaa9f	25cd8aaed86b8e17685efb152912f92448ea3fffb1bdc247f257f04d05907604	25cd8aaed86b8e17685efb152912f92448ea3fffb1bdc247f257f04d05907604	PASS
model-00010-of-00016.safetensors	3999975400	7c3307ee214797c4bc61c0994f81d690e768150df5f14d18edf84e53ba4810dc	6c98e6f70c7eb6240c90e49cf84875e56b9aaa9f	7c3307ee214797c4bc61c0994f81d690e768150df5f14d18edf84e53ba4810dc	7c3307ee214797c4bc61c0994f81d690e768150df5f14d18edf84e53ba4810dc	PASS
