tensor_name	shard	size	dtype	shape	component_class	layer_id	expert_id	semantic_role
lm_head.weight	model-00016-of-00016.safetensors	622329856	BF16	[151936,2048]	LM_HEAD			weight
model.embed_tokens.weight	model-00001-of-00016.safetensors	622329856	BF16	[151936,2048]	EMBEDDING			weight
model.layers.0.input_layernorm.weight	model-00001-of-00016.safetensors	4096	BF16	[2048]	NORM	0		weight
model.layers.0.mlp.experts.0.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	0	weight
model.layers.0.mlp.experts.0.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	0	weight
model.layers.0.mlp.experts.0.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	0	weight
model.layers.0.mlp.experts.1.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	1	weight
model.layers.0.mlp.experts.1.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	1	weight
model.layers.0.mlp.experts.1.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	1	weight
model.layers.0.mlp.experts.10.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	10	weight
model.layers.0.mlp.experts.10.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	10	weight
model.layers.0.mlp.experts.10.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	10	weight
model.layers.0.mlp.experts.100.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	100	weight
model.layers.0.mlp.experts.100.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	100	weight
model.layers.0.mlp.experts.100.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	100	weight
model.layers.0.mlp.experts.101.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	101	weight
model.layers.0.mlp.experts.101.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	101	weight
model.layers.0.mlp.experts.101.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	101	weight
model.layers.0.mlp.experts.102.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	102	weight
model.layers.0.mlp.experts.102.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	102	weight
model.layers.0.mlp.experts.102.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	102	weight
model.layers.0.mlp.experts.103.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	103	weight
model.layers.0.mlp.experts.103.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	103	weight
model.layers.0.mlp.experts.103.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	103	weight
model.layers.0.mlp.experts.104.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	104	weight
model.layers.0.mlp.experts.104.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	104	weight
model.layers.0.mlp.experts.104.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	104	weight
model.layers.0.mlp.experts.105.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	105	weight
model.layers.0.mlp.experts.105.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	105	weight
model.layers.0.mlp.experts.105.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	105	weight
model.layers.0.mlp.experts.106.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	106	weight
model.layers.0.mlp.experts.106.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	106	weight
model.layers.0.mlp.experts.106.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	106	weight
model.layers.0.mlp.experts.107.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	107	weight
model.layers.0.mlp.experts.107.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	107	weight
model.layers.0.mlp.experts.107.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	107	weight
model.layers.0.mlp.experts.108.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	108	weight
model.layers.0.mlp.experts.108.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	108	weight
model.layers.0.mlp.experts.108.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	108	weight
model.layers.0.mlp.experts.109.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	109	weight
model.layers.0.mlp.experts.109.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	109	weight
model.layers.0.mlp.experts.109.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	109	weight
model.layers.0.mlp.experts.11.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	11	weight
model.layers.0.mlp.experts.11.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	11	weight
model.layers.0.mlp.experts.11.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	11	weight
model.layers.0.mlp.experts.110.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	110	weight
model.layers.0.mlp.experts.110.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	110	weight
model.layers.0.mlp.experts.110.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	110	weight
model.layers.0.mlp.experts.111.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	111	weight
model.layers.0.mlp.experts.111.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	111	weight
model.layers.0.mlp.experts.111.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	111	weight
model.layers.0.mlp.experts.112.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	112	weight
model.layers.0.mlp.experts.112.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	112	weight
model.layers.0.mlp.experts.112.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	112	weight
