phase	decode_step	layer	key_shape	key_bytes	value_shape	value_bytes
PREFILL		0	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		1	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		2	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		3	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		4	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		5	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		6	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		7	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		8	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		9	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		10	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		11	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		12	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		13	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		14	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		15	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		16	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		17	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		18	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		19	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		20	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		21	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		22	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		23	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		24	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		25	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		26	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		27	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		28	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		29	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		30	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		31	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		32	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		33	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		34	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		35	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		36	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		37	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		38	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		39	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		40	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		41	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		42	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		43	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		44	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		45	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		46	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		47	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
DECODE	0	0	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	1	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	2	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	3	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	4	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	5	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	6	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	7	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	8	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	9	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	10	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	11	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	12	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	13	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	14	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	15	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	16	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	17	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	18	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	19	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	20	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	21	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	22	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	23	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	24	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	25	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	26	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
