phase	decode_step	layer	input_shape	output_shape	output_sha	weight_bytes	kv_key_shape	kv_key_bytes	kv_value_shape	kv_value_bytes
PREFILL		0	[1, 2048, 2048]	[1, 2048, 2048]	40ac08538b31b196f6fbc03615c773fe0c66e1e7e0c2f60ef8e006f2ad19fcb3	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		1	[1, 2048, 2048]	[1, 2048, 2048]	881b3739639f597ed13d41bbfa275cd67a358134fe909b0f04b1fef4c49d2cec	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		2	[1, 2048, 2048]	[1, 2048, 2048]	27099b3a5b300d47d969fd525617cdc1b4579273478fe68adaff92e6d2a199b6	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		3	[1, 2048, 2048]	[1, 2048, 2048]	a97b442e1ad2789352a996ca23fb1760bdb652bcda72fbe7e89234cbdf568be8	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		4	[1, 2048, 2048]	[1, 2048, 2048]	e8583a2996e309445609e411b611c0f1bc72e33cc7b4ed26411cb7291073dbf6	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		5	[1, 2048, 2048]	[1, 2048, 2048]	3e7e59cf6fffce7a8c1f46bb7786e6143224c29558caa1570a6ec54e37dd901b	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		6	[1, 2048, 2048]	[1, 2048, 2048]	512971da502936c14a74b150933200264c308377b6f9eadc993f607846770e7d	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		7	[1, 2048, 2048]	[1, 2048, 2048]	c557fcba42add8fd55bddd008e002540c12d0bf39fb5cc00deb9fc1b12219f88	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		8	[1, 2048, 2048]	[1, 2048, 2048]	afa5c584072f14916bd90e296bf51db516a3c070a3b45358de2793c564fece17	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		9	[1, 2048, 2048]	[1, 2048, 2048]	cdfb97770d419879448819af38fe7aa1e22fe87a56152da578c64fe9ae1f4697	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
