payload	result
deepseek-v2-lite__S0_TEXT.json	PASS
deepseek-v2-lite__S1_CODE.json	PASS
deepseek-v2-lite__S2_CODE.json	PASS
deepseek-v2-lite__S2_STRUCTURED.json	PASS
deepseek-v2-lite__S2_TEXT.json	PASS
deepseek-v2-lite__S3_TEXT.json	PASS
deepseek-v2-lite__S4_STRUCTURED.json	PASS
llama-3.2-1b__S0_TEXT.json	PASS
llama-3.2-1b__S1_CODE.json	PASS
llama-3.2-1b__S2_CODE.json	PASS
llama-3.2-1b__S2_STRUCTURED.json	PASS
llama-3.2-1b__S2_TEXT.json	PASS
llama-3.2-1b__S3_TEXT.json	PASS
llama-3.2-1b__S4_STRUCTURED.json	PASS
qwen2.5-0.5b-instruct__S0_TEXT.json	PASS
qwen2.5-0.5b-instruct__S1_CODE.json	PASS
qwen2.5-0.5b-instruct__S2_CODE.json	PASS
qwen2.5-0.5b-instruct__S2_STRUCTURED.json	PASS
qwen2.5-0.5b-instruct__S2_TEXT.json	PASS
qwen2.5-0.5b-instruct__S3_TEXT.json	PASS
qwen2.5-0.5b-instruct__S4_STRUCTURED.json	PASS
qwen2.5-7b-instruct-awq__S0_TEXT.json	PASS
qwen2.5-7b-instruct-awq__S1_CODE.json	PASS
qwen2.5-7b-instruct-awq__S2_CODE.json	PASS
qwen2.5-7b-instruct-awq__S2_STRUCTURED.json	PASS
qwen2.5-7b-instruct-awq__S2_TEXT.json	PASS
qwen2.5-7b-instruct-awq__S3_TEXT.json	PASS
qwen2.5-7b-instruct-awq__S4_STRUCTURED.json	PASS
qwen2.5-7b-instruct-raw__S0_TEXT.json	PASS
qwen2.5-7b-instruct-raw__S1_CODE.json	PASS
qwen2.5-7b-instruct-raw__S2_CODE.json	PASS
qwen2.5-7b-instruct-raw__S2_STRUCTURED.json	PASS
qwen2.5-7b-instruct-raw__S2_TEXT.json	PASS
qwen2.5-7b-instruct-raw__S3_TEXT.json	PASS
qwen2.5-7b-instruct-raw__S4_STRUCTURED.json	PASS
qwen3-8b__S0_TEXT.json	PASS
qwen3-8b__S1_CODE.json	PASS
qwen3-8b__S2_CODE.json	PASS
qwen3-8b__S2_STRUCTURED.json	PASS
qwen3-8b__S2_TEXT.json	PASS
qwen3-8b__S3_TEXT.json	PASS
qwen3-8b__S4_STRUCTURED.json	PASS
