metric	qwen25_raw	qwen3	evidence_status	evidence_source
label	layer0.mlp.down_proj	layer0.mlp.down_proj	PROVEN	manifest target
static_count	243	243	PROVEN	raw manifests
executed	193	129	PROVEN	decoded headers
zero	50	114	PROVEN	decoded headers
events	51387392	100667392	PROVEN	active masks
event_distribution	{'min': 7168, 'median': 344064, 'max': 344064, 'p90': 344064}	{'min': 4096, 'median': 786432, 'max': 786432, 'p90': 786432}	PROVEN	per shard
pages4k_distribution	{'min': 1, 'median': 1, 'max': 3, 'p90': 1}	{'min': 1, 'median': 1, 'max': 3, 'p90': 1}	PROVEN	active addresses
lines128_distribution	{'min': 1, 'median': 1, 'max': 56, 'p90': 1}	{'min': 1, 'median': 1, 'max': 64, 'p90': 1}	PROVEN	active addresses
absolute_va			NOT_COMPARABLE	separate processes
NCU			NOT_COMPARABLE	no explicit comparable units
