run	static_index	classification	active_lane_events	unique_va	pages4k	pages64k	pages2m	lines128	object
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	220	EXECUTED_SHARD	66304	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	222	EXECUTED_SHARD	1060864	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	225	EXECUTED_SHARD	1060864	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	231	EXECUTED_SHARD	1060864	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	232	EXECUTED_SHARD	1060864	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	234	EXECUTED_SHARD	1060864	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	237	EXECUTED_SHARD	1060864	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	240	EXECUTED_SHARD	1060864	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	244	EXECUTED_SHARD	1060864	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	246	EXECUTED_SHARD	1060864	1	1	1	1	1	UNKNOWN_RUNTIME
