metric	disabled	ideal	generic	generic_vs_ideal_ratio
gpu_tot_ipc	507.9348	507.9348	401.3472	0.790154957
gpu_tot_issued_cta	630314	630314	630314	1.000000000
gpu_tot_occupancy	25.5192%	25.5192%	25.6426%	NOT_AVAILABLE
gpu_tot_sim_cycle	36328725	36328725	45976701	1.265574308
gpu_tot_sim_insn	18452620427	18452620427	18452620427	1.000000000
vm_disabled_bypasses	113269567	0	0	NOT_AVAILABLE
vm_functional_completed	NOT_AVAILABLE	NOT_AVAILABLE	93876539	NOT_AVAILABLE
vm_functional_mapper_lookups	NOT_AVAILABLE	NOT_AVAILABLE	22783	NOT_AVAILABLE
vm_ideal_translations	0	113269567	93876539	0.828788716
vm_identity_equal	0	113269567	0	0.000000000
vm_l1_tlb_accesses	NOT_AVAILABLE	NOT_AVAILABLE	93933006	NOT_AVAILABLE
vm_l1_tlb_evictions	NOT_AVAILABLE	NOT_AVAILABLE	1244769	NOT_AVAILABLE
vm_l1_tlb_hits	NOT_AVAILABLE	NOT_AVAILABLE	92686765	NOT_AVAILABLE
vm_l1_tlb_lookup_completions	NOT_AVAILABLE	NOT_AVAILABLE	93933006	NOT_AVAILABLE
vm_l1_tlb_lookup_latency_cycles	NOT_AVAILABLE	NOT_AVAILABLE	10	NOT_AVAILABLE
vm_l1_tlb_lookup_launches	NOT_AVAILABLE	NOT_AVAILABLE	93933006	NOT_AVAILABLE
vm_l1_tlb_lookup_service_cycles	NOT_AVAILABLE	NOT_AVAILABLE	939330060	NOT_AVAILABLE
vm_l1_tlb_misses	NOT_AVAILABLE	NOT_AVAILABLE	1246241	NOT_AVAILABLE
vm_l1_tlb_occupancy	NOT_AVAILABLE	NOT_AVAILABLE	1472	NOT_AVAILABLE
vm_l1_tlb_port_stalls	NOT_AVAILABLE	NOT_AVAILABLE	0	NOT_AVAILABLE
vm_l2_tlb_accesses	NOT_AVAILABLE	NOT_AVAILABLE	1246241	NOT_AVAILABLE
vm_l2_tlb_evictions	NOT_AVAILABLE	NOT_AVAILABLE	22015	NOT_AVAILABLE
vm_l2_tlb_hits	NOT_AVAILABLE	NOT_AVAILABLE	1189774	NOT_AVAILABLE
vm_l2_tlb_lookup_completions	NOT_AVAILABLE	NOT_AVAILABLE	1246241	NOT_AVAILABLE
vm_l2_tlb_lookup_latency_cycles	NOT_AVAILABLE	NOT_AVAILABLE	80	NOT_AVAILABLE
vm_l2_tlb_lookup_launches	NOT_AVAILABLE	NOT_AVAILABLE	1246241	NOT_AVAILABLE
vm_l2_tlb_lookup_service_cycles	NOT_AVAILABLE	NOT_AVAILABLE	99699280	NOT_AVAILABLE
vm_l2_tlb_misses	NOT_AVAILABLE	NOT_AVAILABLE	56467	NOT_AVAILABLE
vm_l2_tlb_occupancy	NOT_AVAILABLE	NOT_AVAILABLE	768	NOT_AVAILABLE
vm_l2_tlb_port_stalls	NOT_AVAILABLE	NOT_AVAILABLE	2167618	NOT_AVAILABLE
vm_l2_tlb_replacement_incoming_KV_CACHE_victim_KV_CACHE	NOT_AVAILABLE	NOT_AVAILABLE	22	NOT_AVAILABLE
vm_l2_tlb_replacement_incoming_KV_CACHE_victim_UNKNOWN	NOT_AVAILABLE	NOT_AVAILABLE	83	NOT_AVAILABLE
vm_l2_tlb_replacement_incoming_KV_CACHE_victim_WEIGHT	NOT_AVAILABLE	NOT_AVAILABLE	57	NOT_AVAILABLE
vm_l2_tlb_replacement_incoming_UNKNOWN_victim_KV_CACHE	NOT_AVAILABLE	NOT_AVAILABLE	32	NOT_AVAILABLE
vm_l2_tlb_replacement_incoming_UNKNOWN_victim_UNKNOWN	NOT_AVAILABLE	NOT_AVAILABLE	3890	NOT_AVAILABLE
vm_l2_tlb_replacement_incoming_UNKNOWN_victim_WEIGHT	NOT_AVAILABLE	NOT_AVAILABLE	2950	NOT_AVAILABLE
vm_l2_tlb_replacement_incoming_WEIGHT_victim_KV_CACHE	NOT_AVAILABLE	NOT_AVAILABLE	158	NOT_AVAILABLE
vm_l2_tlb_replacement_incoming_WEIGHT_victim_UNKNOWN	NOT_AVAILABLE	NOT_AVAILABLE	2542	NOT_AVAILABLE
vm_l2_tlb_replacement_incoming_WEIGHT_victim_WEIGHT	NOT_AVAILABLE	NOT_AVAILABLE	12281	NOT_AVAILABLE
vm_object_KV_CACHE_completed	NOT_AVAILABLE	NOT_AVAILABLE	2042159	NOT_AVAILABLE
vm_object_KV_CACHE_l1_hits	NOT_AVAILABLE	NOT_AVAILABLE	2006395	NOT_AVAILABLE
vm_object_KV_CACHE_l1_lookup_launches	NOT_AVAILABLE	NOT_AVAILABLE	2042159	NOT_AVAILABLE
vm_object_KV_CACHE_l1_misses	NOT_AVAILABLE	NOT_AVAILABLE	35764	NOT_AVAILABLE
vm_object_KV_CACHE_l2_fills	NOT_AVAILABLE	NOT_AVAILABLE	212	NOT_AVAILABLE
vm_object_KV_CACHE_l2_hits	NOT_AVAILABLE	NOT_AVAILABLE	33413	NOT_AVAILABLE
vm_object_KV_CACHE_l2_lookup_launches	NOT_AVAILABLE	NOT_AVAILABLE	35764	NOT_AVAILABLE
vm_object_KV_CACHE_l2_misses	NOT_AVAILABLE	NOT_AVAILABLE	2351	NOT_AVAILABLE
vm_object_KV_CACHE_mshr_allocations	NOT_AVAILABLE	NOT_AVAILABLE	212	NOT_AVAILABLE
vm_object_KV_CACHE_mshr_merges	NOT_AVAILABLE	NOT_AVAILABLE	2139	NOT_AVAILABLE
vm_object_KV_CACHE_pte_dram_responses	NOT_AVAILABLE	NOT_AVAILABLE	79	NOT_AVAILABLE
vm_object_KV_CACHE_pte_l2_only_responses	NOT_AVAILABLE	NOT_AVAILABLE	135	NOT_AVAILABLE
vm_object_KV_CACHE_pte_memory_wait_cycles_max	NOT_AVAILABLE	NOT_AVAILABLE	586	NOT_AVAILABLE
vm_object_KV_CACHE_pte_memory_wait_cycles_total	NOT_AVAILABLE	NOT_AVAILABLE	74851	NOT_AVAILABLE
vm_object_KV_CACHE_pte_requests	NOT_AVAILABLE	NOT_AVAILABLE	214	NOT_AVAILABLE
vm_object_KV_CACHE_pwc_accesses	NOT_AVAILABLE	NOT_AVAILABLE	636	NOT_AVAILABLE
vm_object_KV_CACHE_pwc_hits	NOT_AVAILABLE	NOT_AVAILABLE	634	NOT_AVAILABLE
vm_object_KV_CACHE_pwc_misses	NOT_AVAILABLE	NOT_AVAILABLE	2	NOT_AVAILABLE
vm_object_KV_CACHE_requester_latency_cycles_max	NOT_AVAILABLE	NOT_AVAILABLE	1037	NOT_AVAILABLE
vm_object_KV_CACHE_requester_latency_cycles_total	NOT_AVAILABLE	NOT_AVAILABLE	23886732	NOT_AVAILABLE
vm_object_KV_CACHE_requester_mshr_wait_cycles_max	NOT_AVAILABLE	NOT_AVAILABLE	947	NOT_AVAILABLE
vm_object_KV_CACHE_requester_mshr_wait_cycles_total	NOT_AVAILABLE	NOT_AVAILABLE	580188	NOT_AVAILABLE
vm_object_KV_CACHE_translation_requesters	NOT_AVAILABLE	NOT_AVAILABLE	2042159	NOT_AVAILABLE
vm_object_KV_CACHE_unique_translation_keys	NOT_AVAILABLE	NOT_AVAILABLE	64	NOT_AVAILABLE
vm_object_KV_CACHE_walk_starts	NOT_AVAILABLE	NOT_AVAILABLE	212	NOT_AVAILABLE
vm_object_UNKNOWN_completed	NOT_AVAILABLE	NOT_AVAILABLE	43919213	NOT_AVAILABLE
vm_object_UNKNOWN_l1_hits	NOT_AVAILABLE	NOT_AVAILABLE	42806006	NOT_AVAILABLE
vm_object_UNKNOWN_l1_lookup_launches	NOT_AVAILABLE	NOT_AVAILABLE	43919213	NOT_AVAILABLE
vm_object_UNKNOWN_l1_misses	NOT_AVAILABLE	NOT_AVAILABLE	1113207	NOT_AVAILABLE
vm_object_UNKNOWN_l2_fills	NOT_AVAILABLE	NOT_AVAILABLE	7123	NOT_AVAILABLE
vm_object_UNKNOWN_l2_hits	NOT_AVAILABLE	NOT_AVAILABLE	1089946	NOT_AVAILABLE
vm_object_UNKNOWN_l2_lookup_launches	NOT_AVAILABLE	NOT_AVAILABLE	1113207	NOT_AVAILABLE
vm_object_UNKNOWN_l2_misses	NOT_AVAILABLE	NOT_AVAILABLE	23261	NOT_AVAILABLE
vm_object_UNKNOWN_mshr_allocations	NOT_AVAILABLE	NOT_AVAILABLE	7122	NOT_AVAILABLE
vm_object_UNKNOWN_mshr_merges	NOT_AVAILABLE	NOT_AVAILABLE	16139	NOT_AVAILABLE
vm_object_UNKNOWN_pte_dram_responses	NOT_AVAILABLE	NOT_AVAILABLE	6312	NOT_AVAILABLE
vm_object_UNKNOWN_pte_l2_only_responses	NOT_AVAILABLE	NOT_AVAILABLE	833	NOT_AVAILABLE
vm_object_UNKNOWN_pte_memory_wait_cycles_max	NOT_AVAILABLE	NOT_AVAILABLE	3020	NOT_AVAILABLE
vm_object_UNKNOWN_pte_memory_wait_cycles_total	NOT_AVAILABLE	NOT_AVAILABLE	3275127	NOT_AVAILABLE
vm_object_UNKNOWN_pte_requests	NOT_AVAILABLE	NOT_AVAILABLE	7145	NOT_AVAILABLE
vm_object_UNKNOWN_pwc_accesses	NOT_AVAILABLE	NOT_AVAILABLE	21366	NOT_AVAILABLE
vm_object_UNKNOWN_pwc_hits	NOT_AVAILABLE	NOT_AVAILABLE	21343	NOT_AVAILABLE
vm_object_UNKNOWN_pwc_misses	NOT_AVAILABLE	NOT_AVAILABLE	23	NOT_AVAILABLE
vm_object_UNKNOWN_requester_latency_cycles_max	NOT_AVAILABLE	NOT_AVAILABLE	3113	NOT_AVAILABLE
vm_object_UNKNOWN_requester_latency_cycles_total	NOT_AVAILABLE	NOT_AVAILABLE	537398458	NOT_AVAILABLE
vm_object_UNKNOWN_requester_mshr_wait_cycles_max	NOT_AVAILABLE	NOT_AVAILABLE	3023	NOT_AVAILABLE
vm_object_UNKNOWN_requester_mshr_wait_cycles_total	NOT_AVAILABLE	NOT_AVAILABLE	8858116	NOT_AVAILABLE
vm_object_UNKNOWN_translation_requesters	NOT_AVAILABLE	NOT_AVAILABLE	43919213	NOT_AVAILABLE
vm_object_UNKNOWN_unique_translation_keys	NOT_AVAILABLE	NOT_AVAILABLE	2171	NOT_AVAILABLE
vm_object_UNKNOWN_walk_starts	NOT_AVAILABLE	NOT_AVAILABLE	7122	NOT_AVAILABLE
vm_object_WEIGHT_completed	NOT_AVAILABLE	NOT_AVAILABLE	47971634	NOT_AVAILABLE
vm_object_WEIGHT_l1_hits	NOT_AVAILABLE	NOT_AVAILABLE	47874364	NOT_AVAILABLE
vm_object_WEIGHT_l1_lookup_launches	NOT_AVAILABLE	NOT_AVAILABLE	47971634	NOT_AVAILABLE
vm_object_WEIGHT_l1_misses	NOT_AVAILABLE	NOT_AVAILABLE	97270	NOT_AVAILABLE
vm_object_WEIGHT_l2_fills	NOT_AVAILABLE	NOT_AVAILABLE	15448	NOT_AVAILABLE
vm_object_WEIGHT_l2_hits	NOT_AVAILABLE	NOT_AVAILABLE	66415	NOT_AVAILABLE
vm_object_WEIGHT_l2_lookup_launches	NOT_AVAILABLE	NOT_AVAILABLE	97270	NOT_AVAILABLE
vm_object_WEIGHT_l2_misses	NOT_AVAILABLE	NOT_AVAILABLE	30855	NOT_AVAILABLE
vm_object_WEIGHT_mshr_allocations	NOT_AVAILABLE	NOT_AVAILABLE	15449	NOT_AVAILABLE
vm_object_WEIGHT_mshr_merges	NOT_AVAILABLE	NOT_AVAILABLE	15406	NOT_AVAILABLE
vm_object_WEIGHT_pte_dram_responses	NOT_AVAILABLE	NOT_AVAILABLE	3993	NOT_AVAILABLE
vm_object_WEIGHT_pte_l2_only_responses	NOT_AVAILABLE	NOT_AVAILABLE	11522	NOT_AVAILABLE
vm_object_WEIGHT_pte_memory_wait_cycles_max	NOT_AVAILABLE	NOT_AVAILABLE	1268	NOT_AVAILABLE
vm_object_WEIGHT_pte_memory_wait_cycles_total	NOT_AVAILABLE	NOT_AVAILABLE	4567185	NOT_AVAILABLE
vm_object_WEIGHT_pte_requests	NOT_AVAILABLE	NOT_AVAILABLE	15515	NOT_AVAILABLE
vm_object_WEIGHT_pwc_accesses	NOT_AVAILABLE	NOT_AVAILABLE	46347	NOT_AVAILABLE
vm_object_WEIGHT_pwc_hits	NOT_AVAILABLE	NOT_AVAILABLE	46281	NOT_AVAILABLE
vm_object_WEIGHT_pwc_misses	NOT_AVAILABLE	NOT_AVAILABLE	66	NOT_AVAILABLE
vm_object_WEIGHT_requester_latency_cycles_max	NOT_AVAILABLE	NOT_AVAILABLE	1364	NOT_AVAILABLE
vm_object_WEIGHT_requester_latency_cycles_total	NOT_AVAILABLE	NOT_AVAILABLE	496511843	NOT_AVAILABLE
vm_object_WEIGHT_requester_mshr_wait_cycles_max	NOT_AVAILABLE	NOT_AVAILABLE	1271	NOT_AVAILABLE
vm_object_WEIGHT_requester_mshr_wait_cycles_total	NOT_AVAILABLE	NOT_AVAILABLE	8894728	NOT_AVAILABLE
vm_object_WEIGHT_translation_requesters	NOT_AVAILABLE	NOT_AVAILABLE	47971634	NOT_AVAILABLE
vm_object_WEIGHT_unique_translation_keys	NOT_AVAILABLE	NOT_AVAILABLE	15443	NOT_AVAILABLE
vm_object_WEIGHT_walk_starts	NOT_AVAILABLE	NOT_AVAILABLE	15449	NOT_AVAILABLE
vm_object_attribution_conservation_pass	NOT_AVAILABLE	NOT_AVAILABLE	1	NOT_AVAILABLE
vm_object_attribution_enabled	NOT_AVAILABLE	NOT_AVAILABLE	1	NOT_AVAILABLE
vm_pte_dram_responses	NOT_AVAILABLE	NOT_AVAILABLE	10384	NOT_AVAILABLE
vm_pte_l2_only_responses	NOT_AVAILABLE	NOT_AVAILABLE	12490	NOT_AVAILABLE
vm_pte_memory_wait_cycles_max	NOT_AVAILABLE	NOT_AVAILABLE	3020	NOT_AVAILABLE
vm_pte_memory_wait_cycles_total	NOT_AVAILABLE	NOT_AVAILABLE	7917163	NOT_AVAILABLE
vm_pte_requests	NOT_AVAILABLE	NOT_AVAILABLE	22874	NOT_AVAILABLE
vm_pte_response_misassociations	NOT_AVAILABLE	NOT_AVAILABLE	0	NOT_AVAILABLE
vm_pte_responses	NOT_AVAILABLE	NOT_AVAILABLE	22874	NOT_AVAILABLE
vm_pwc_accesses	NOT_AVAILABLE	NOT_AVAILABLE	68349	NOT_AVAILABLE
vm_pwc_entries_configured	NOT_AVAILABLE	NOT_AVAILABLE	128	NOT_AVAILABLE
vm_pwc_evictions	NOT_AVAILABLE	NOT_AVAILABLE	0	NOT_AVAILABLE
vm_pwc_hits	NOT_AVAILABLE	NOT_AVAILABLE	68258	NOT_AVAILABLE
vm_pwc_inserts	NOT_AVAILABLE	NOT_AVAILABLE	45	NOT_AVAILABLE
vm_pwc_level_0_accesses	NOT_AVAILABLE	NOT_AVAILABLE	22783	NOT_AVAILABLE
vm_pwc_level_0_hits	NOT_AVAILABLE	NOT_AVAILABLE	22780	NOT_AVAILABLE
vm_pwc_level_0_misses	NOT_AVAILABLE	NOT_AVAILABLE	3	NOT_AVAILABLE
vm_pwc_level_0_pte_requests_skipped	NOT_AVAILABLE	NOT_AVAILABLE	22780	NOT_AVAILABLE
vm_pwc_level_1_accesses	NOT_AVAILABLE	NOT_AVAILABLE	22783	NOT_AVAILABLE
vm_pwc_level_1_hits	NOT_AVAILABLE	NOT_AVAILABLE	22780	NOT_AVAILABLE
vm_pwc_level_1_misses	NOT_AVAILABLE	NOT_AVAILABLE	3	NOT_AVAILABLE
vm_pwc_level_1_pte_requests_skipped	NOT_AVAILABLE	NOT_AVAILABLE	22780	NOT_AVAILABLE
vm_pwc_level_2_accesses	NOT_AVAILABLE	NOT_AVAILABLE	22783	NOT_AVAILABLE
vm_pwc_level_2_hits	NOT_AVAILABLE	NOT_AVAILABLE	22698	NOT_AVAILABLE
vm_pwc_level_2_misses	NOT_AVAILABLE	NOT_AVAILABLE	85	NOT_AVAILABLE
vm_pwc_level_2_pte_requests_skipped	NOT_AVAILABLE	NOT_AVAILABLE	22698	NOT_AVAILABLE
vm_pwc_level_3_accesses	NOT_AVAILABLE	NOT_AVAILABLE	0	NOT_AVAILABLE
vm_pwc_level_3_hits	NOT_AVAILABLE	NOT_AVAILABLE	0	NOT_AVAILABLE
vm_pwc_level_3_misses	NOT_AVAILABLE	NOT_AVAILABLE	0	NOT_AVAILABLE
vm_pwc_level_3_pte_requests_skipped	NOT_AVAILABLE	NOT_AVAILABLE	0	NOT_AVAILABLE
vm_pwc_lookup_latency_cycles	NOT_AVAILABLE	NOT_AVAILABLE	1	NOT_AVAILABLE
vm_pwc_misses	NOT_AVAILABLE	NOT_AVAILABLE	91	NOT_AVAILABLE
vm_pwc_mode	NOT_AVAILABLE	NOT_AVAILABLE	1	NOT_AVAILABLE
vm_pwc_occupancy	NOT_AVAILABLE	NOT_AVAILABLE	45	NOT_AVAILABLE
vm_pwc_occupancy_high_watermark	NOT_AVAILABLE	NOT_AVAILABLE	45	NOT_AVAILABLE
vm_pwc_service_cycles	NOT_AVAILABLE	NOT_AVAILABLE	68349	NOT_AVAILABLE
vm_requests	113269567	113269567	1151673572	10.167546345
vm_translation_lookup_inflight_bypasses	NOT_AVAILABLE	NOT_AVAILABLE	945530995	NOT_AVAILABLE
vm_translation_lookup_requests	NOT_AVAILABLE	NOT_AVAILABLE	93933006	NOT_AVAILABLE
vm_translation_mshr_active	NOT_AVAILABLE	NOT_AVAILABLE	0	NOT_AVAILABLE
vm_translation_mshr_allocations	NOT_AVAILABLE	NOT_AVAILABLE	22783	NOT_AVAILABLE
vm_translation_mshr_entries_completed	NOT_AVAILABLE	NOT_AVAILABLE	22783	NOT_AVAILABLE
vm_translation_mshr_full_events	NOT_AVAILABLE	NOT_AVAILABLE	0	NOT_AVAILABLE
vm_translation_mshr_lifetime_cycles_max	NOT_AVAILABLE	NOT_AVAILABLE	3023	NOT_AVAILABLE
vm_translation_mshr_lifetime_cycles_total	NOT_AVAILABLE	NOT_AVAILABLE	8212917	NOT_AVAILABLE
vm_translation_mshr_merges	NOT_AVAILABLE	NOT_AVAILABLE	33684	NOT_AVAILABLE
vm_translation_mshr_occupancy_high_watermark	NOT_AVAILABLE	NOT_AVAILABLE	30	NOT_AVAILABLE
vm_translation_mshr_waiter_depth_max	NOT_AVAILABLE	NOT_AVAILABLE	46	NOT_AVAILABLE
vm_translation_mshr_waiter_depth_total	NOT_AVAILABLE	NOT_AVAILABLE	56467	NOT_AVAILABLE
vm_translation_page_size_bytes	NOT_AVAILABLE	NOT_AVAILABLE	65536	NOT_AVAILABLE
vm_translation_pending_waiter_bypasses	NOT_AVAILABLE	NOT_AVAILABLE	18333032	NOT_AVAILABLE
