ordinal	kernel_uid	request_uid	coalesced_simva	bits_63_56	bits_55_49	bit48	lower49	canonical49_match	source	label
1	7	85183	0xfffdc0000000c0	0x00	0x7f	1	0x1fdc0000000c0	no	trace_raw_coalesced	TRACE_ENCODING_OBSERVATION
2	7	85272	0xfffdc0000000a0	0x00	0x7f	1	0x1fdc0000000a0	no	trace_raw_coalesced	TRACE_ENCODING_OBSERVATION
3	9	184466	0xfffdc0000000c0	0x00	0x7f	1	0x1fdc0000000c0	no	trace_raw_coalesced	TRACE_ENCODING_OBSERVATION
4	9	202526	0xfffdc000000060	0x00	0x7f	1	0x1fdc0000000060	no	trace_raw_coalesced	TRACE_ENCODING_OBSERVATION
5	9	202852	0xfffdc000000080	0x00	0x7f	1	0x1fdc0000000080	no	trace_raw_coalesced	TRACE_ENCODING_OBSERVATION
6	9	202859	0xfffdc000000020	0x00	0x7f	1	0x1fdc0000000020	no	trace_raw_coalesced	TRACE_ENCODING_OBSERVATION
7	9	203797	0xfffdc0000000c0	0x00	0x7f	1	0x1fdc0000000c0	no	trace_raw_coalesced	TRACE_ENCODING_OBSERVATION
8	9	212426	0xfffdc000000020	0x00	0x7f	1	0x1fdc0000000020	no	trace_raw_coalesced	TRACE_ENCODING_OBSERVATION
9	9	214212	0xfffdc000000080	0x00	0x7f	1	0x1fdc0000000080	no	trace_raw_coalesced	TRACE_ENCODING_OBSERVATION
10	9	215002	0xfffdc0000000c0	0x00	0x7f	1	0x1fdc0000000c0	no	trace_raw_coalesced	TRACE_ENCODING_OBSERVATION
11	9	218616	0xfffdc000000060	0x00	0x7f	1	0x1fdc0000000060	no	trace_raw_coalesced	TRACE_ENCODING_OBSERVATION
12	9	239256	0xfffdc000000060	0x00	0x7f	1	0x1fdc0000000060	no	trace_raw_coalesced	TRACE_ENCODING_OBSERVATION
