workload	mode	space	source	transactions	min_sim_va_hex	max_sim_va_hex	high_ge_2pow49	max_required_width	status
LUD	functional	global	trace_raw_coalesced	2394	0x7fe033700020	0x7fe033703fe0	0	47	VERIFIED_RUN
LUD	functional	local	no_transaction_reached_vm_hook	0	NA	NA	0	NA	VERIFIED_RUN
LUD	functional	param_local	no_transaction_reached_vm_hook	0	NA	NA	0	NA	VERIFIED_RUN
BFS	functional_until_first_offender	global	trace_raw_coalesced	5711	0x1c0	0xfffdc0000000c0	1	56	VERIFIED_RUN_ASSERT
BFS	functional_until_first_offender	local	no_transaction_reached_vm_hook	0	NA	NA	0	NA	VERIFIED_RUN_ASSERT
BFS	functional_until_first_offender	param_local	no_transaction_reached_vm_hook	0	NA	NA	0	NA	VERIFIED_RUN_ASSERT
BFS	disabled	global	trace_raw_coalesced	49047	0x20	0xfffdc0000000c0	12	56	VERIFIED_RUN
BFS	disabled	local	no_transaction_reached_vm_hook	0	NA	NA	0	NA	VERIFIED_RUN
BFS	disabled	param_local	no_transaction_reached_vm_hook	0	NA	NA	0	NA	VERIFIED_RUN
BFS	ideal_identity	global	trace_raw_coalesced	49047	0x20	0xfffdc0000000c0	12	56	VERIFIED_RUN
BFS	ideal_identity	local	no_transaction_reached_vm_hook	0	NA	NA	0	NA	VERIFIED_RUN
BFS	ideal_identity	param_local	no_transaction_reached_vm_hook	0	NA	NA	0	NA	VERIFIED_RUN
