roi	arm	lseg	classification	config_path	config_sha256	trace_list_sha256	registration_sha256	charged_bits	realized_geometry	framework_head	core_head	binary_sha256
decode1	F0	NONE	PRIMARY_EQUAL_COST	configs/vm_tlb/c5_configs/C11_C5_DECODE1_F0.config	cef8605b2168904a9f41e71f95967c478d8a5b358b16dcfc993df06ca23b820b	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	66000	exact-768	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a
decode1	F1	NONE	PRIMARY_EQUAL_COST;REFERENCE_APPROX_SUBENTRY_16	configs/vm_tlb/c5_configs/C11_C5_DECODE1_F1.config	e7aa34ced62726c488ae3cdeed18753d19ea5b01a0ab6323ca14d993119d7d49	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	59802	subentry-G96	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a
decode1	F2	NONE	PRIMARY_EQUAL_COST	configs/vm_tlb/c5_configs/C11_C5_DECODE1_F2.config	fe9f0913fdbb57ce4393ed4be66e49a94a216b4111b31beec2faa6d88aad42e4	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	59125	exact-688	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a
decode1	F5	NONE	PRIMARY_EQUAL_COST	configs/vm_tlb/c5_configs/C11_C5_DECODE1_F5.config	ddbe7ffdb7d8dccbd3244b7ccf4df927bc86ecc43fd27adb34cd9a4d6507ebcc	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	64745	physical-PWC-120+exact-656	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a
decode1	F7	5	PRIMARY_EQUAL_COST;SPECULATIVE_CANDIDATE	configs/vm_tlb/c5_configs/C11_C5_DECODE1_F7_Lseg5.config	f246f4cdbc2ea167657c466ac56621fbdde32b0ee6af5b82eeba4baf3bd5c2bc	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	65300	Segment-N8+exact-320	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a
decode1	F7	10	PRIMARY_EQUAL_COST;SPECULATIVE_CANDIDATE	configs/vm_tlb/c5_configs/C11_C5_DECODE1_F7_Lseg10.config	9044b52b024c13fee20ce5dbd70b433b02d746bf91f25e3816b4e01b4cd19af6	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	65300	Segment-N8+exact-320	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a
decode1	F7	20	PRIMARY_EQUAL_COST;SPECULATIVE_CANDIDATE	configs/vm_tlb/c5_configs/C11_C5_DECODE1_F7_Lseg20.config	633986bbb2c4c9bc5d84c11beb00fdb69b33969a3e75379e20d3508a0b2c27ef	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	65300	Segment-N8+exact-320	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a
decode1	F8	5	PRIMARY_EQUAL_COST;REFERENCE_APPROX_SUBENTRY_16;SPECULATIVE_CANDIDATE	configs/vm_tlb/c5_configs/C11_C5_DECODE1_F8_Lseg5.config	4b8235cd50bcaec619a39de73175033ee5024401246537b1109d46e6007b1617	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	57734	Segment-N8+G32	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a
decode1	F8	10	PRIMARY_EQUAL_COST;REFERENCE_APPROX_SUBENTRY_16;SPECULATIVE_CANDIDATE	configs/vm_tlb/c5_configs/C11_C5_DECODE1_F8_Lseg10.config	f03a4e6d1be2c08ffcf3db09d08c36ddfe3da581d52233e456734acc4d274ce7	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	57734	Segment-N8+G32	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a
decode1	F8	20	PRIMARY_EQUAL_COST;REFERENCE_APPROX_SUBENTRY_16;SPECULATIVE_CANDIDATE	configs/vm_tlb/c5_configs/C11_C5_DECODE1_F8_Lseg20.config	6346b811f39f45e9a07c7a8d53ef5fa9e6039590047aedb47b3ed8291f091bfb	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	57734	Segment-N8+G32	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a
decode1	F9	NONE	PRIMARY_EQUAL_COST	configs/vm_tlb/c5_configs/C11_C5_DECODE1_F9.config	09e702871b1d7172eaddb91c4b9643555858ba98b889c4df61a020e73b3b644e	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	56375	exact-656-no-Segment	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a
prefill	F0	NONE	PRIMARY_EQUAL_COST	configs/vm_tlb/c5_configs/C11_C5_PREFILL_F0.config	16f9f1866a541ac5686a02f15b8f3abf5fd8723601ff8795db77a64fffb8d446	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	66000	exact-768	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a
