roi	arm	lseg	framework_anchor	core_head	binary_sha256	config_sha256	trace_sha256	registration_sha256	charged_bits	raw_log_sha256	kernel_markers	telemetry_records	peak_rss_kb	elapsed_seconds	terminal_status
decode1	F0	NONE	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	cef8605b2168904a9f41e71f95967c478d8a5b358b16dcfc993df06ca23b820b	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	66000	96097ee02fff4b31219339bf673e53af826d8b9c98cb3dd1d3657767b8e0025d	740	740	659456	30657.0	PASS
decode1	F1	NONE	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	e7aa34ced62726c488ae3cdeed18753d19ea5b01a0ab6323ca14d993119d7d49	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	59802	a1b42ccfb45000670fbd2fd7a6daa6df8cc030563b29fd39da805bbd2b4d0618	740	740	676524	24030.0	PASS
decode1	F2	NONE	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	fe9f0913fdbb57ce4393ed4be66e49a94a216b4111b31beec2faa6d88aad42e4	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	59125	62acffd0a634a532db5fe5a1e8028ff2898aa2ee8a8753121c87205e8023a642	740	740	519128	32832.0	PASS
decode1	F5	NONE	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	ddbe7ffdb7d8dccbd3244b7ccf4df927bc86ecc43fd27adb34cd9a4d6507ebcc	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	64745	673bce96c31510bd471baf9d9076217df48f8f5d23dc0f2b0ef7b2082a3a3c5c	740	740	591864	33548.0	PASS
decode1	F7	10	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	9044b52b024c13fee20ce5dbd70b433b02d746bf91f25e3816b4e01b4cd19af6	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	65300	da8055ea20b99d14267a992b59435af6f02d12da42a766f426082e7bc1d6b72a	740	740	569608	34676.0	PASS
decode1	F7	20	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	633986bbb2c4c9bc5d84c11beb00fdb69b33969a3e75379e20d3508a0b2c27ef	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	65300	14003dcfd4fe25434cabfbaece13260a55b56d7abdad138e1554bd09edf2e26f	740	740	585544	25907.0	PASS
decode1	F7	5	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	f246f4cdbc2ea167657c466ac56621fbdde32b0ee6af5b82eeba4baf3bd5c2bc	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	65300	520600c19e2681fc6b8be6848076762af530071a4307358f7f6246c968e8d79a	740	740	687660	24154.0	PASS
decode1	F8	10	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	f03a4e6d1be2c08ffcf3db09d08c36ddfe3da581d52233e456734acc4d274ce7	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	57734	d392792b5f1fd09f53affe9e36c07c34db57b8e07a236a761cd432b72a7ae963	740	740	676136	32270.0	PASS
decode1	F8	20	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	6346b811f39f45e9a07c7a8d53ef5fa9e6039590047aedb47b3ed8291f091bfb	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	57734	8b1254b6ccc526766473ea17131086341c7058a78d3cd530d19238c6cc5b4d08	740	740	564540	26474.0	PASS
decode1	F8	5	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	4b8235cd50bcaec619a39de73175033ee5024401246537b1109d46e6007b1617	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	57734	aca4ea013f92f0239cded624027b5766e2d577a672ff6ed726f3bab763aff5cc	740	740	685528	26227.0	PASS
decode1	F9	NONE	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	09e702871b1d7172eaddb91c4b9643555858ba98b889c4df61a020e73b3b644e	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	56375	b8628dae1c47866a0d739f07c921d89d64722f62e5eefbe0d45b4ffadd253d8c	740	740	641512	28182.0	PASS
prefill	F0	NONE	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	16f9f1866a541ac5686a02f15b8f3abf5fd8723601ff8795db77a64fffb8d446	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	66000	8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7	692	692	1795232	77144.0	PASS
