phase	utc	mem_available_kb	swap_free_kb	memory_psi_full_avg10	io_psi_full_avg10	pswpin	pswpout	cpu_iowait_ticks	cpu_total_ticks	loadavg_1	loadavg_5	loadavg_15	c12_simulator_count	c12_worker_rss_kb	swap_in_mib_s	swap_out_mib_s	cpu_iowait_pct
independent_live_monitor	2026-09-08T07:56:11+00:00	197881636	96	0.0	0.0	2997754	8769285	1111516437	285224396529	590.26	506.86	500.49	2	1130907:823296;1130953:417792	NOT_APPLICABLE_FIRST_SAMPLE	NOT_APPLICABLE_FIRST_SAMPLE	NOT_APPLICABLE_FIRST_SAMPLE
batch_before_launch	2026-09-08T07:57:42+00:00	199241364	144	0.0	0.0	2997770	8769285	1111517070	285229082081	603.47	532.49	510.15	2	1130907:823296;1130953:417792	0.000687	0.000000	0.0135
independent_live_monitor	2026-09-08T07:58:11+00:00	197832560	148	0.0	0.0	2997770	8769285	1111517080	285230557729	605.96	539.91	513.33	6	1130907:823296;1130953:425984;1162513:323584;1162534:339968;1162615:196608;1162625:196608	0.000000	0.000000	0.0007
batch_running	2026-09-08T07:58:13+00:00	197718756	148	0.0	0.0	2997770	8769285	1111517080	285230640896	605.96	539.91	513.33	6	1130907:823296;1130953:425984;1162513:323584;1162534:339968;1162615:212992;1162625:217088	0.000000	0.000000	0.0000
independent_live_monitor	2026-09-08T07:58:41+00:00	197649056	180	0.0	0.0	2997775	8769285	1111517083	285232119049	608.71	546.91	516.51	6	1130907:823296;1130953:425984;1162513:348160;1162534:344064;1162615:294912;1162625:270336	0.000698	0.000000	0.0002
batch_running	2026-09-08T07:58:43+00:00	197596544	180	0.0	0.0	2997775	8769285	1111517084	285232178080	608.71	546.91	516.51	6	1130907:823296;1130953:425984;1162513:348160;1162534:344064;1162615:294912;1162625:270336	0.000000	0.000000	0.0017
independent_live_monitor	2026-09-08T07:59:12+00:00	197686008	180	0.0	0.0	2997775	8769285	1111517086	285233678710	606.60	552.29	519.27	6	1130907:823296;1130953:425984;1162513:360448;1162534:356352;1162615:294912;1162625:270336	0.000000	0.000000	0.0001
batch_running	2026-09-08T07:59:13+00:00	197651128	180	0.0	0.0	2997775	8769285	1111517086	285233715199	606.60	552.29	519.27	6	1130907:823296;1130953:425984;1162513:360448;1162534:356352;1162615:294912;1162625:270336	0.000000	0.000000	0.0000
independent_live_monitor	2026-09-08T07:59:42+00:00	197746324	232	0.0	0.0	2997787	8769285	1111517116	285235238147	592.20	554.39	521.04	6	1130907:823296;1130953:425984;1162513:360448;1162534:360448;1162615:294912;1162625:270336	0.001616	0.000000	0.0020
batch_running	2026-09-08T07:59:43+00:00	197722732	232	0.0	0.0	2997787	8769285	1111517116	285235252945	592.20	554.39	521.04	6	1130907:823296;1130953:425984;1162513:360448;1162534:360448;1162615:294912;1162625:270336	0.000000	0.000000	0.0000
