roi	operator_class	family	lseg	layer_count	improve_layers	regress_layers	tie_layers	median_cycle_delta	p25_cycle_delta	p75_cycle_delta	min_cycle_delta	max_cycle_delta	max_abs_layer_id	max_abs_layer_delta	max_abs_layer_share	top4_abs_layer_share	outlier_signal	scope
prefill	ATTENTION_PROJECTION	F7	5	16	16	0	0	-36740	-38574.5	-34585.75	-39376	-31714	8	-39376	0.0674951576133	0.266360410703	NO	DIRECT_PARAMETER_RANGE_LAYER_ONLY
prefill	ATTENTION_PROJECTION	F7	10	16	15	1	0	-5480.5	-6800.5	-2511.75	-8195	687	5	-8195	0.10734167267	0.409496365184	NO	DIRECT_PARAMETER_RANGE_LAYER_ONLY
prefill	ATTENTION_PROJECTION	F7	20	16	0	16	0	107405.5	106340	108273.25	99969	112473	3	112473	0.0655141562023	0.257065286403	NO	DIRECT_PARAMETER_RANGE_LAYER_ONLY
prefill	ATTENTION_PROJECTION	F8	5	16	16	0	0	-35617	-39686	-34301.25	-43038	-31206	5	-43038	0.0737661928088	0.283824502346	NO	DIRECT_PARAMETER_RANGE_LAYER_ONLY
prefill	ATTENTION_PROJECTION	F8	10	16	16	0	0	-5464.5	-6851.75	-4278.25	-8050	-1092	6	-8050	0.0961768219833	0.35890083632	NO	DIRECT_PARAMETER_RANGE_LAYER_ONLY
prefill	ATTENTION_PROJECTION	F8	20	16	0	16	0	107635	106426.75	109224.25	100047	112821	3	112821	0.065438340774	0.25761840656	NO	DIRECT_PARAMETER_RANGE_LAYER_ONLY
prefill	FFN_MLP	F7	5	16	16	0	0	-170804.5	-186055.75	-156280.75	-206229	-124921	8	-206229	0.0755934553044	0.291260360107	NO	DIRECT_PARAMETER_RANGE_LAYER_ONLY
prefill	FFN_MLP	F7	10	16	16	0	0	-5893	-6735.25	-4826.25	-9198	-3309	10	-9198	0.0966481033939	0.338415467059	NO	DIRECT_PARAMETER_RANGE_LAYER_ONLY
prefill	FFN_MLP	F7	20	16	0	16	0	464955.5	464420.75	465717.25	463510	468729	3	468729	0.062964412733	0.251027490923	NO	DIRECT_PARAMETER_RANGE_LAYER_ONLY
prefill	FFN_MLP	F8	5	16	16	0	0	-170964.5	-184530.25	-145953.5	-217086	-116615	10	-217086	0.0814678824715	0.293982171231	NO	DIRECT_PARAMETER_RANGE_LAYER_ONLY
prefill	FFN_MLP	F8	10	16	16	0	0	-5550	-6670.5	-4634.5	-7979	-1027	1	-7979	0.0914205183437	0.345734320218	NO	DIRECT_PARAMETER_RANGE_LAYER_ONLY
prefill	FFN_MLP	F8	20	16	0	16	0	465136	463945.75	466005	462571	469056	3	469056	0.0630013313319	0.251469810788	NO	DIRECT_PARAMETER_RANGE_LAYER_ONLY
prefill	NORM	F7	5	16	16	0	0	-9404.5	-9703	-9274	-9951	-8856	2	-9951	0.0657482656095	0.259385530228	NO	DIRECT_PARAMETER_RANGE_LAYER_ONLY
prefill	NORM	F7	10	16	16	0	0	-1015.5	-1260.25	-877.75	-1546	-611	5	-1546	0.0913873618254	0.322870485311	NO	DIRECT_PARAMETER_RANGE_LAYER_ONLY
prefill	NORM	F7	20	16	0	16	0	18658	18355.25	18804.5	18110	19019	10	19019	0.0639644578374	0.254462108651	NO	DIRECT_PARAMETER_RANGE_LAYER_ONLY
prefill	NORM	F8	5	16	16	0	0	-9502	-9712	-9333	-9951	-9213	9	-9951	0.0652691507992	0.257816753137	NO	DIRECT_PARAMETER_RANGE_LAYER_ONLY
prefill	NORM	F8	10	16	16	0	0	-1102.5	-1338.5	-932.25	-1587	-573	13	-1587	0.0878494326045	0.323277055079	NO	DIRECT_PARAMETER_RANGE_LAYER_ONLY
prefill	NORM	F8	20	16	0	16	0	18648	18492.5	18934	18116	19370	15	19370	0.064799946474	0.255583433695	NO	DIRECT_PARAMETER_RANGE_LAYER_ONLY
decode1	ATTENTION_PROJECTION	F7	5	16	16	0	0	-3265	-3776.25	-2564.75	-4096	-1556	7	-4096	0.0820891035533	0.317874822134	NO	DIRECT_PARAMETER_RANGE_LAYER_ONLY
decode1	ATTENTION_PROJECTION	F7	10	16	16	0	0	-1633.5	-2315	-899.75	-2850	-653	4	-2850	0.107652791418	0.411913575584	NO	DIRECT_PARAMETER_RANGE_LAYER_ONLY
decode1	ATTENTION_PROJECTION	F7	20	16	0	16	0	1640.5	1151.75	2446	362	3255	2	3255	0.114002521715	0.427430652844	NO	DIRECT_PARAMETER_RANGE_LAYER_ONLY
decode1	ATTENTION_PROJECTION	F8	5	16	16	0	0	-3265	-3776.25	-2564.75	-4096	-1556	7	-4096	0.0820891035533	0.317874822134	NO	DIRECT_PARAMETER_RANGE_LAYER_ONLY
decode1	ATTENTION_PROJECTION	F8	10	16	16	0	0	-1633.5	-2315	-899.75	-2850	-653	4	-2850	0.107652791418	0.411913575584	NO	DIRECT_PARAMETER_RANGE_LAYER_ONLY
decode1	ATTENTION_PROJECTION	F8	20	16	0	16	0	1640.5	1151.75	2446	362	3255	2	3255	0.114002521715	0.427430652844	NO	DIRECT_PARAMETER_RANGE_LAYER_ONLY
decode1	FFN_MLP	F7	5	16	16	0	0	-30913.5	-31048.25	-30552.5	-31271	-30114	14	-31271	0.0634098268908	0.252955955203	NO	DIRECT_PARAMETER_RANGE_LAYER_ONLY
decode1	FFN_MLP	F7	10	16	16	0	0	-2201.5	-2335	-2001.75	-3164	-1258	12	-3164	0.0912762520194	0.305013847219	NO	DIRECT_PARAMETER_RANGE_LAYER_ONLY
decode1	FFN_MLP	F7	20	16	0	16	0	54292	54135.5	54666.75	53713	55394	13	55394	0.0636156920391	0.252633331802	NO	DIRECT_PARAMETER_RANGE_LAYER_ONLY
decode1	FFN_MLP	F8	5	16	16	0	0	-30913.5	-31048.25	-30552.5	-31271	-30114	14	-31271	0.0634098268908	0.252955955203	NO	DIRECT_PARAMETER_RANGE_LAYER_ONLY
decode1	FFN_MLP	F8	10	16	16	0	0	-2201.5	-2335	-2001.75	-3164	-1258	12	-3164	0.0912762520194	0.305013847219	NO	DIRECT_PARAMETER_RANGE_LAYER_ONLY
