point_id	source	kernel_index	trace_filename	operator_class	cycles	full_roi_cycles	cycle_share	evidence_kind
C12-PREFILL-F0-LNONE	C12_IMMUTABLE	691	kernel-1458-ctx_0x55f2413c4de0.traceg.xz	EMBEDDING_OUTPUT	17584269	62490238	0.281392255219	DIRECT_PARAMETER_RANGE
C12-PREFILL-F7-L10	C12_IMMUTABLE	691	kernel-1458-ctx_0x55f2413c4de0.traceg.xz	EMBEDDING_OUTPUT	18689634	63370888	0.294924603234	DIRECT_PARAMETER_RANGE
C12-PREFILL-F7-L20	C12_IMMUTABLE	691	kernel-1458-ctx_0x55f2413c4de0.traceg.xz	EMBEDDING_OUTPUT	21743173	76131192	0.285601373482	DIRECT_PARAMETER_RANGE
C12-PREFILL-F7-L5	C12_IMMUTABLE	691	kernel-1458-ctx_0x55f2413c4de0.traceg.xz	EMBEDDING_OUTPUT	18413738	59834219	0.307745940496	DIRECT_PARAMETER_RANGE
C13-CAP-P320	C13_MEASURED	691	kernel-1458-ctx_0x55f2413c4de0.traceg.xz	EMBEDDING_OUTPUT	17494959	62377411	0.280469463537	DIRECT_PARAMETER_RANGE
C13-CAP-P768S10	C13_MEASURED	691	kernel-1458-ctx_0x55f2413c4de0.traceg.xz	EMBEDDING_OUTPUT	17369674	62058600	0.279891489657	DIRECT_PARAMETER_RANGE
C13-LAT-P8	C13_MEASURED	691	kernel-1458-ctx_0x55f2413c4de0.traceg.xz	EMBEDDING_OUTPUT	17056855	59939210	0.284569232728	DIRECT_PARAMETER_RANGE
C13-LAT-P9	C13_MEASURED	691	kernel-1458-ctx_0x55f2413c4de0.traceg.xz	EMBEDDING_OUTPUT	17120861	60906959	0.281098601557	DIRECT_PARAMETER_RANGE
C13-SEL-P10	C13_MEASURED	691	kernel-1458-ctx_0x55f2413c4de0.traceg.xz	EMBEDDING_OUTPUT	17495700	62202481	0.281270131331	DIRECT_PARAMETER_RANGE
C13-SEL-P10-CTRL-NEWBIN	C13_MEASURED	691	kernel-1458-ctx_0x55f2413c4de0.traceg.xz	EMBEDDING_OUTPUT	17369674	62058600	0.279891489657	DIRECT_PARAMETER_RANGE
