sample_id	track	variant	run_directory	terminal_status	gpu_cycles	instructions	requester_latency_cycles	local_ldst_head_blocked_cycles	l2_misses	walk_starts	pte_dram	segment_winners	segment_winner_l2_not_issued	segment_winner_mshr_not_allocated	segment_winner_ptw_not_started	segment_winner_pte_not_issued	interpretation_guard
P-FFN-L0	P	F7-Lseg10	/workspace/c14-dual-path-micro-runs/p-ffn-l0	PASS	435248	-	-	-	-	-	-	526302	526302	526302	526302	526302	EXPLORATORY_MICRODIAGNOSTIC;STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT
P-FFN-L7	P	F7-Lseg10	/workspace/c14-dual-path-micro-runs/p-ffn-l7	PASS	437966	-	-	-	-	-	-	526573	526573	526573	526573	526573	EXPLORATORY_MICRODIAGNOSTIC;STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT
P-FFN-L15	P	F7-Lseg10	/workspace/c14-dual-path-micro-runs/p-ffn-l15	PASS	445451	-	-	-	-	-	-	529942	529942	529942	529942	529942	EXPLORATORY_MICRODIAGNOSTIC;STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT
P-AP-L0	P	F7-Lseg10	/workspace/c14-dual-path-micro-runs/p-ap-l0	PASS	139079	-	-	-	-	-	-	132791	132791	132791	132791	132791	EXPLORATORY_MICRODIAGNOSTIC;STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT
P-AP-L7	P	F7-Lseg10	/workspace/c14-dual-path-micro-runs/p-ap-l7-on	PASS	138163	31932416	2309124	-	-	40	-	132553	132553	132553	132553	132553	EXPLORATORY_MICRODIAGNOSTIC;STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT
P-AP-L15	P	F7-Lseg10	/workspace/c14-dual-path-micro-runs/p-ap-l15	PASS	140732	-	-	-	-	-	-	133194	133194	133194	133194	133194	EXPLORATORY_MICRODIAGNOSTIC;STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT
P-EO-691	P	F7-Lseg10	/workspace/c14-dual-path-micro-runs/p-eo-691	PASS	18699542	4391485440	-	-	-	-	-	16420796	16420796	16420796	16420796	16420796	EXPLORATORY_MICRODIAGNOSTIC;STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT
P-OTHER-TOP	P	F7-Lseg10	/workspace/c14-dual-path-micro-runs/p-other-top	PASS	59497	-	-	-	-	-	-	0	0	0	0	0	EXPLORATORY_MICRODIAGNOSTIC;STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT
N-FFN-L7	N	F0	/workspace/c14-dual-path-micro-runs/n-ffn-l7-r1	PASS	434459	91308032	8549602	8549602	193	193	-	-	-	-	-	-	EXPLORATORY_MICRODIAGNOSTIC;STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT
N-AP-L7	N	F0	/workspace/c14-dual-path-micro-runs/n-ap-l7-r1	PASS	140838	31932416	2388326	2388326	-	-	-	-	-	-	-	-	EXPLORATORY_MICRODIAGNOSTIC;STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT
N-EO-691	N	F0	/workspace/c14-dual-path-micro-runs/n-eo-691-r1	RUNNING	-	-	-	-	-	-	-	-	-	-	-	-	EXPLORATORY_MICRODIAGNOSTIC;STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT;NO_INTERPRETATION_UNTIL_TERMINAL
N-DECODE-FFN	N	F0	/workspace/c14-dual-path-micro-runs/n-decode-ffn-r1	PASS	456541	33181696	12946940	12946940	176	132	42	-	-	-	-	-	EXPLORATORY_MICRODIAGNOSTIC;STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT
N-DECODE-AP	N	F0	/workspace/c14-dual-path-micro-runs/n-decode-ap-r1	PASS	127062	10571776	3469118	3469118	-	-	-	-	-	-	-	-	EXPLORATORY_MICRODIAGNOSTIC;STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT
N-DECODE-EO	N	F0	/workspace/c14-dual-path-micro-runs/n-decode-eo-high-f0-r1	PASS	3758863	868036608	58685284	58685284	8306	8060	2082	-	-	-	-	-	EXPLORATORY_MICRODIAGNOSTIC;STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT
N-LOW-DELTA	N	F0	/workspace/c14-dual-path-micro-runs/n-low-f0-r1	PASS	33994	9961472	593653	593653	176	39	17	-	-	-	-	-	EXPLORATORY_MICRODIAGNOSTIC;STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT
N-LOW-DELTA	N	F7-L5	/workspace/c14-dual-path-micro-runs/n-low-f7-l5-r1	PASS	33312	9961472	348913	348913	117	6	7	-	-	-	-	-	EXPLORATORY_MICRODIAGNOSTIC;STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT
N-HIGH-DELTA	N	F0	/workspace/c14-dual-path-micro-runs/n-decode-eo-high-f0-r1	PASS	3758863	868036608	58685284	58685284	8306	8060	2082	-	-	-	-	-	EXPLORATORY_MICRODIAGNOSTIC;STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT
N-HIGH-DELTA	N	F7-L5	/workspace/c14-dual-path-micro-runs/n-high-f7-l5-r1	PASS	3730066	868036608	34439916	34439916	258	37	37	-	-	-	-	-	EXPLORATORY_MICRODIAGNOSTIC;STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT
