sample_id	track	variant	roi	compute_index	trace	geometry	telemetry	terminal_status	evidence_scope	run_directory	note
P-FFN-L0	P	F7-Lseg10	prefill	49	kernel-785-ctx_0x55f2413c4de0.traceg.xz	exact320;segmentN8;L10	on	PASS	EXPLORATORY_MICRODIAGNOSTIC;STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT	/workspace/c14-dual-path-micro-runs/p-ffn-l0	terminal receipt; Segment-race telemetry
P-FFN-L7	P	F7-Lseg10	prefill	343	kernel-1093-ctx_0x55f2413c4de0.traceg.xz	exact320;segmentN8;L10	on	PASS	EXPLORATORY_MICRODIAGNOSTIC;STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT	/workspace/c14-dual-path-micro-runs/p-ffn-l7	terminal receipt; Segment-race telemetry
P-FFN-L15	P	F7-Lseg10	prefill	679	kernel-1445-ctx_0x55f2413c4de0.traceg.xz	exact320;segmentN8;L10	on	PASS	EXPLORATORY_MICRODIAGNOSTIC;STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT	/workspace/c14-dual-path-micro-runs/p-ffn-l15	terminal receipt; Segment-race telemetry
P-AP-L0	P	F7-Lseg10	prefill	37	kernel-772-ctx_0x55f2413c4de0.traceg.xz	exact320;segmentN8;L10	on	PASS	EXPLORATORY_MICRODIAGNOSTIC;STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT	/workspace/c14-dual-path-micro-runs/p-ap-l0	terminal receipt; Segment-race telemetry
P-AP-L7	P	F7-Lseg10	prefill	331	kernel-1080-ctx_0x55f2413c4de0.traceg.xz	exact320;segmentN8;L10	on	PASS	EXPLORATORY_MICRODIAGNOSTIC;STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT	/workspace/c14-dual-path-micro-runs/p-ap-l7-on	terminal telemetry-on receipt; exact off/on timing receipt retained separately
P-AP-L15	P	F7-Lseg10	prefill	667	kernel-1432-ctx_0x55f2413c4de0.traceg.xz	exact320;segmentN8;L10	on	PASS	EXPLORATORY_MICRODIAGNOSTIC;STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT	/workspace/c14-dual-path-micro-runs/p-ap-l15	terminal receipt; Segment-race telemetry
P-EO-691	P	F7-Lseg10	prefill	691	kernel-1458-ctx_0x55f2413c4de0.traceg.xz	exact320;segmentN8;L10	on	RUNNING	EXPLORATORY_MICRODIAGNOSTIC;STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT	/workspace/c14-dual-path-micro-runs/p-eo-691	in-flight at interim checkpoint; no result interpreted
P-OTHER-TOP	P	F7-Lseg10	prefill	460	kernel-1216-ctx_0x55f2413c4de0.traceg.xz	exact320;segmentN8;L10	on	PASS	EXPLORATORY_MICRODIAGNOSTIC;STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT	/workspace/c14-dual-path-micro-runs/p-other-top	terminal receipt; non-Weight control
N-FFN-L7	N	F0	prefill	343	kernel-1093-ctx_0x55f2413c4de0.traceg.xz	exact768;segment-disabled	on	PASS	EXPLORATORY_MICRODIAGNOSTIC;STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT	/workspace/c14-dual-path-micro-runs/n-ffn-l7-r1	terminal telemetry-on receipt; exact off/on timing receipt retained separately
N-AP-L7	N	F0	prefill	331	kernel-1080-ctx_0x55f2413c4de0.traceg.xz	exact768;segment-disabled	on	PASS	EXPLORATORY_MICRODIAGNOSTIC;STATE_CONTEXT_NOT_FULL_ROI_EQUIVALENT	/workspace/c14-dual-path-micro-runs/n-ap-l7-r1	terminal receipt
